indicator,sheet,"Chart SF1.1.A. Average size of households by household type, 2024a","Data for Chart SF1.1.A. Average size of households by household type, 2024a",Unnamed: 13,Unnamed: 14,Unnamed: 15,"Table SF1.1.A. Types of household, 2021a",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 10,Unnamed: 12,"Table SF1.1.B. Households by number of children, 2024a",Unnamed: 5,"Chart SF1.2.A. Living arrangements of children, 2023a",Unnamed: 11,Unnamed: 16,Unnamed: 17,"Chart SF1.2.B. Trends in the living arrangements of children, 2005 to 2023","Chart SF1.2.C. Trends in children living with cohabiting parents, 2007 and 2023a",Distribution of children by the presence and marital status of parents,Unnamed: 1,Unnamed: 9,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 0,Table SF1.3.A. Living arrangements of children by age,Table SF1.3.B. Living arrangements of children by relative income poverty status,Table SF1.3.C: Living arrangements of children by mother's level of educational attainment,"Table SF1.3.D: Living arrangements of young adolescents, 2013-14","Chart SF1.4.A. Child and young adult population, 2023","Data for Chart SF1.4.A. Child and young adult population, 2023","Chart SF1.4.B. Age distribution of children and young adults, 2023","Data for Chart SF1.4.B. Age distribution of children and young adults, 2023","Chart SF1.4.C. Trends in the child population, selected OECD countries","Data for Chart SF1.4.C. Trends in child population, selected OECD countries","Chart SF1.4.D. Youth dependency ratio, 1990 and 2023","Data for Chart SF1.4.A. Youth dependency ratio, 1990 and 2023","Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries","Data for Chart SF1.4.E. Estimated (1960-2023) and projected (2024-2060) youth dependency ratios, selected OECD countries",Child and youth population,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Age distribution of children and young people,Unnamed: 36,Unnamed: 37,Youth dependency ratio,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,"Chart SF1.5.A. Children in overcrowded households, 2017","Chart SF1.5.B. Children in households that lack basic facilities, 2017","Chart SF1.5.C. Children living in areas with environmental problems, 2017","Table SF1.5.A. Children in overcrowded households, 2017","Table SF1.5.B. Children in households that lack basic facilities, 2017","Table SF1.5.C. Children living in areas with environmental problems, 2017"
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"b) 'Couple households with children' refer to households with two partnered adults (either married or in a civil or registered partnership, or cohabiting) and at least one child. 'Single parent households with children' are households with a single adult and at least one child. People living in all other types of households, including households with several unrelated cohabiting members and households shared by two or more family units, are not covered in these two categories. 'Children' in this instance are generally defined as dependent resident children under 25, and include both biological children and step- or adopted children, though exact definitions do vary across countries.",Canada,2.4253026498194634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Ireland,2.4,4,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Portugal,2.4,3.5,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Slovenia,2.4,3.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,OECD average,2.3855286356010548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Czechia,2.3,3.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"c) For Australia, Canada, and New Zealand, 'children' are defined as someone of any age who lives with their parent(s) and as long as they do not have a partner or children of their own living in the same household.",Hungary,2.3,3.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Luxembourg,2.3,3.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"d) For Canada, data refer to persons in 'census families'  only. For more detail on census families see the Statistics Canada website (https://www23.statcan.gc.ca/imdb/p3Var.pl?Function=UnitI&Id=381162)",Poland,2.3,3.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,United Kingdom,2.3,3.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"e) For Israel, data on 'children' refer to all children regardless of age. ",EU average,2.262962962962963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"f) For Japan, data on 'couple households with children' refer to married couple households with children, only. 'Children' refers to unmarried children under age 20.",Switzerland,2.2140802815759684,4.017677366526471,2.584312594229482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"f) For Korea, 'children' are defined as all unmarried children regardless of age",Korea,2.214023838365131,3.5534419339338674,2.3433954302309705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,Sources:,Japan,2.2109883809425983,3.8548049935420434,2.7277590903647764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Australia, 2021 Census of Population and Housing",Austria,2.2,3.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Canada, 2021 Census of Canada",Belgium,2.2,3.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Costa Rica, OECD Questionnaire to national authorities",Italy,2.2,3.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for European countries, Eurostat based on the European Union Labour Force Survey (unless otherwise stated)",Bulgaria,2.2,3.5,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Iceland and Switzerland, Eurostat based on Population and housing censuses",France,2.1,3.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Israel, Israeli Central Bureau of Statistics based on the Israeli Labour Force Survey",Latvia,2.1,3.7,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Japan, 2020 Population Census",Sweden,2.1,3.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Korea, Statistics Korea, 2023 Population and Housing Census (Register-based Census)",Germany,2,3.8,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for Mexico, Census of Population and Housing 2020",Netherlands,2,3.9,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for New Zealand, 2023 Census of Population and Dwellings",Norway,2,3.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,"for the United States, U.S. Census Bureau based on the U.S. Current Population Survey",Denmark,1.9,3.9,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Finland,1.9,4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Estonia,1.8,3.8,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Chart SF1.1.A,,Lithuania,1.7,3.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,Distribution (%) of households by household typeb ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,,Couple households:,,,Single parent households:,,,Single person households,Other household types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,,Total,With children,Without children,Total,Single mother households,Single father households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,Australia,55.926052115782944,29.904701145228884,26.021350970554057,10.37354925575754,,,25.12415874982315,8.57612330511371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,Austria,48.92737273508971,21.129492751914853,27.797879983174862,5.628256302912014,4.7795795452994465,0.8486767576125678,38.337314206941734,7.107056755056537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF_1_1_Family_size_and_composition,Table SF1.1.A,,,,,,Belgium,52.21942882285153,23.979842254782906,28.239586568068624,7.4231069501770675,6.077463686911245,1.3456432632658233,35.5023035948151,4.855160632156293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
