Entity,Code,Year,"Crude marriage rate (marriages per 1,000 people)",World regions according to OWID,"Crude marriage rate (marriages per 1,000 people)",Year
Canada,CAN,1988,7,,6.8,1990
Canada,CAN,1989,7,,6.8,1990
Canada,CAN,1990,6.8,,6.8,1990
Canada,CAN,1991,6.1,,6.8,1990
Canada,CAN,1992,5.8,,6.8,1990
Canada,CAN,1993,5.6,,6.8,1990
Canada,CAN,1994,5.5,,6.8,1990
Canada,CAN,1995,5.5,,6.8,1990
Canada,CAN,1996,5.3,,6.8,1990
Canada,CAN,1997,5.1,,6.8,1990
Canada,CAN,1998,5.1,,6.8,1990
Canada,CAN,1999,5.1,,6.8,1990
Canada,CAN,2000,5.1,,6.8,1990
Canada,CAN,2001,4.7,,6.8,1990
Canada,CAN,2002,4.7,,6.8,1990
Canada,CAN,2003,4.7,,6.8,1990
Canada,CAN,2004,4.6,,6.8,1990
Canada,CAN,2005,4.6,,6.8,1990
Canada,CAN,2006,4.6,,6.8,1990
Canada,CAN,2007,4.5,,6.8,1990
Canada,CAN,2008,4.4,,6.8,1990
Canada,CAN,2023,,North America,6.8,1990
Cape Verde,CPV,2023,,Africa,,
Cayman Islands,CYM,2023,,North America,,
Central African Republic,CAF,2023,,Africa,,
Chad,TCD,2023,,Africa,,
Chile,CHL,1970,8.1,,,
Chile,CHL,1985,7.5,,,
Chile,CHL,1992,6.6,,,
Chile,CHL,1993,6.7,,,
Chile,CHL,1994,6.5,,,
Chile,CHL,1995,6.1,,,
Chile,CHL,1996,5.8,,,
Chile,CHL,1997,5.3,,,
Chile,CHL,1998,5,,,
Chile,CHL,1999,4.6,,,
Chile,CHL,2000,4.4,,,
Chile,CHL,2001,4.1,,,
Chile,CHL,2002,3.9,,,
Chile,CHL,2003,3.6,,,
Chile,CHL,2004,3.3,,,
Chile,CHL,2005,3.3,,,
Chile,CHL,2006,3.5,,,
Chile,CHL,2007,3.5,,,
Chile,CHL,2008,3.3,,,
Chile,CHL,2009,3.3,,,
Chile,CHL,2010,3.5,,,
Chile,CHL,2011,3.8,,,
Chile,CHL,2012,3.7,,,
Chile,CHL,2013,3.5,,,
Chile,CHL,2014,3.6,,,
Chile,CHL,2015,3.4,,,
Chile,CHL,2016,3.4,,,
Chile,CHL,2017,3.3,,,
Chile,CHL,2018,3.4,,,
Chile,CHL,2023,,South America,,
China,CHN,2010,9.3,,,
China,CHN,2011,9.3,,,
China,CHN,2012,9.6,,,
China,CHN,2023,,Asia,,
Christmas Island,CXR,2023,,Asia,,
Cocos Islands,CCK,2023,,Asia,,
Colombia,COL,2023,,South America,,
Comoros,COM,2023,,Africa,,
Congo,COG,2023,,Africa,,
Cook Islands,COK,2023,,Oceania,,
Costa Rica,CRI,1960,7.2,,7.5,1990
Costa Rica,CRI,1961,6.7,,7.5,1990
Costa Rica,CRI,1962,5.8,,7.5,1990
Costa Rica,CRI,1963,5.8,,7.5,1990
Costa Rica,CRI,1964,5.5,,7.5,1990
Costa Rica,CRI,1965,5.7,,7.5,1990
Costa Rica,CRI,1966,5.6,,7.5,1990
Costa Rica,CRI,1967,5.5,,7.5,1990
Costa Rica,CRI,1968,5.8,,7.5,1990
Costa Rica,CRI,1969,5.8,,7.5,1990
Costa Rica,CRI,1970,6.3,,7.5,1990
Costa Rica,CRI,1971,6.3,,7.5,1990
Costa Rica,CRI,1972,7,,7.5,1990
Costa Rica,CRI,1973,6.8,,7.5,1990
Costa Rica,CRI,1974,7.3,,7.5,1990
Costa Rica,CRI,1975,7.3,,7.5,1990
Costa Rica,CRI,1976,7.2,,7.5,1990
Costa Rica,CRI,1977,7.3,,7.5,1990
Costa Rica,CRI,1978,7.6,,7.5,1990
Costa Rica,CRI,1979,7.6,,7.5,1990
Costa Rica,CRI,1980,7.6,,7.5,1990
Costa Rica,CRI,1981,7,,7.5,1990
Costa Rica,CRI,1982,7.6,,7.5,1990
Costa Rica,CRI,1983,7.7,,7.5,1990
Costa Rica,CRI,1984,7.9,,7.5,1990
Costa Rica,CRI,1985,8,,7.5,1990
Costa Rica,CRI,1986,7.7,,7.5,1990
Costa Rica,CRI,1987,7.8,,7.5,1990
Costa Rica,CRI,1988,8,,7.5,1990
Costa Rica,CRI,1989,7.8,,7.5,1990
Costa Rica,CRI,1990,7.5,,7.5,1990
Costa Rica,CRI,1991,7.2,,7.5,1990
Costa Rica,CRI,1992,6.6,,7.5,1990
Costa Rica,CRI,1993,6.3,,7.5,1990
Costa Rica,CRI,1994,6.5,,7.5,1990
Costa Rica,CRI,1995,7.1,,7.5,1990
Costa Rica,CRI,1996,6.7,,7.5,1990
Costa Rica,CRI,1997,6.7,,7.5,1990
Costa Rica,CRI,1998,6.7,,7.5,1990
Costa Rica,CRI,1999,6.8,,7.5,1990
Costa Rica,CRI,2000,6.3,,7.5,1990
Costa Rica,CRI,2001,6,,7.5,1990
Costa Rica,CRI,2002,5.9,,7.5,1990
Costa Rica,CRI,2003,6,,7.5,1990
Costa Rica,CRI,2004,6.1,,7.5,1990
Costa Rica,CRI,2005,6.1,,7.5,1990
Costa Rica,CRI,2006,6.2,,7.5,1990
Costa Rica,CRI,2007,6,,7.5,1990
Costa Rica,CRI,2008,5.7,,7.5,1990
Costa Rica,CRI,2009,5.4,,7.5,1990
Costa Rica,CRI,2010,5.3,,7.5,1990
Costa Rica,CRI,2011,5.4,,7.5,1990
Costa Rica,CRI,2012,5.6,,7.5,1990
Costa Rica,CRI,2013,5.5,,7.5,1990
Costa Rica,CRI,2014,5.4,,7.5,1990
Costa Rica,CRI,2015,5.5,,7.5,1990
Costa Rica,CRI,2016,5.5,,7.5,1990
Costa Rica,CRI,2017,5.2,,7.5,1990
Costa Rica,CRI,2018,4.7,,7.5,1990
Costa Rica,CRI,2019,4.5,,7.5,1990
Costa Rica,CRI,2020,3.7,,7.5,1990
Costa Rica,CRI,2023,,North America,7.5,1990
Cote d'Ivoire,CIV,2023,,Africa,,
Croatia,HRV,1960,8.9,,5.8,1990
Croatia,HRV,1961,8.8,,5.8,1990
Croatia,HRV,1962,8.6,,5.8,1990
Croatia,HRV,1963,8,,5.8,1990
Croatia,HRV,1964,8.5,,5.8,1990
Croatia,HRV,1965,9,,5.8,1990
Croatia,HRV,1966,8.6,,5.8,1990
Croatia,HRV,1967,8.3,,5.8,1990
Croatia,HRV,1968,8.1,,5.8,1990
Croatia,HRV,1969,8.1,,5.8,1990
Croatia,HRV,1970,8.5,,5.8,1990
Croatia,HRV,1971,8.5,,5.8,1990
Croatia,HRV,1972,8.5,,5.8,1990
Croatia,HRV,1973,8.3,,5.8,1990
Croatia,HRV,1974,8,,5.8,1990
Croatia,HRV,1975,8,,5.8,1990
Croatia,HRV,1976,7.7,,5.8,1990
Croatia,HRV,1977,7.8,,5.8,1990
Croatia,HRV,1978,7.8,,5.8,1990
Croatia,HRV,1979,7.4,,5.8,1990
Croatia,HRV,1980,7.2,,5.8,1990
Croatia,HRV,1981,7.3,,5.8,1990
Croatia,HRV,1982,7.2,,5.8,1990
Croatia,HRV,1983,7.1,,5.8,1990
Croatia,HRV,1984,6.9,,5.8,1990
Croatia,HRV,1985,6.6,,5.8,1990
Croatia,HRV,1986,6.5,,5.8,1990
Croatia,HRV,1987,6.6,,5.8,1990
Croatia,HRV,1988,6.2,,5.8,1990
Croatia,HRV,1989,6.1,,5.8,1990
Croatia,HRV,1990,5.8,,5.8,1990
Croatia,HRV,1991,4.6,,5.8,1990
Croatia,HRV,1992,4.8,,5.8,1990
Croatia,HRV,1993,5,,5.8,1990
Croatia,HRV,1994,5.2,,5.8,1990
Croatia,HRV,1995,5.3,,5.8,1990
Croatia,HRV,1996,5.4,,5.8,1990
Croatia,HRV,1997,5.4,,5.8,1990
Croatia,HRV,1998,5.3,,5.8,1990
Croatia,HRV,1999,5.3,,5.8,1990
Croatia,HRV,2000,4.9,,5.8,1990
Croatia,HRV,2001,5.1,,5.8,1990
Croatia,HRV,2002,5.3,,5.8,1990
Croatia,HRV,2003,5.2,,5.8,1990
Croatia,HRV,2004,5.3,,5.8,1990
Croatia,HRV,2005,5.1,,5.8,1990
Croatia,HRV,2006,5.1,,5.8,1990
Croatia,HRV,2007,5.4,,5.8,1990
Croatia,HRV,2008,5.4,,5.8,1990
Croatia,HRV,2009,5.2,,5.8,1990
Croatia,HRV,2010,5,,5.8,1990
Croatia,HRV,2011,4.7,,5.8,1990
Croatia,HRV,2012,4.8,,5.8,1990
Croatia,HRV,2013,4.5,,5.8,1990
Croatia,HRV,2014,4.6,,5.8,1990
Croatia,HRV,2015,4.7,,5.8,1990
Croatia,HRV,2016,4.9,,5.8,1990
Croatia,HRV,2017,4.9,,5.8,1990
Croatia,HRV,2018,4.9,,5.8,1990
Croatia,HRV,2019,4.9,,5.8,1990
Croatia,HRV,2020,3.8,,5.8,1990
Croatia,HRV,2023,,Europe,5.8,1990
Cuba,CUB,2023,,North America,,
Curacao,CUW,2023,,North America,,
Cyprus,CYP,1964,4.4,,9.7,1990
Cyprus,CYP,1965,7.6,,9.7,1990
Cyprus,CYP,1966,7.3,,9.7,1990
Cyprus,CYP,1967,8.7,,9.7,1990
Cyprus,CYP,1968,6.1,,9.7,1990
Cyprus,CYP,1969,8.6,,9.7,1990
Cyprus,CYP,1970,8.6,,9.7,1990
Cyprus,CYP,1971,9.6,,9.7,1990
Cyprus,CYP,1972,6.6,,9.7,1990
Cyprus,CYP,1973,8.8,,9.7,1990
Cyprus,CYP,1974,5.4,,9.7,1990
Cyprus,CYP,1975,11.2,,9.7,1990
Cyprus,CYP,1976,7.1,,9.7,1990
Cyprus,CYP,1977,10.1,,9.7,1990
Cyprus,CYP,1978,10,,9.7,1990
Cyprus,CYP,1979,12.6,,9.7,1990
Cyprus,CYP,1980,7.7,,9.7,1990
Cyprus,CYP,1981,11.5,,9.7,1990
Cyprus,CYP,1982,10.8,,9.7,1990
Cyprus,CYP,1983,11.7,,9.7,1990
Cyprus,CYP,1984,7.7,,9.7,1990
Cyprus,CYP,1985,10.5,,9.7,1990
Cyprus,CYP,1986,9.4,,9.7,1990
Cyprus,CYP,1987,10.8,,9.7,1990
Cyprus,CYP,1988,7,,9.7,1990
Cyprus,CYP,1989,9.9,,9.7,1990
Cyprus,CYP,1990,9.7,,9.7,1990
Cyprus,CYP,1991,10.5,,9.7,1990
Cyprus,CYP,1992,8,,9.7,1990
Cyprus,CYP,1993,9.7,,9.7,1990
Cyprus,CYP,1994,9.7,,9.7,1990
Cyprus,CYP,1995,10.2,,9.7,1990
Cyprus,CYP,1996,8.7,,9.7,1990
Cyprus,CYP,1997,10.7,,9.7,1990
Cyprus,CYP,1998,11.4,,9.7,1990
Cyprus,CYP,1999,13.2,,9.7,1990
Cyprus,CYP,2000,13.4,,9.7,1990
Cyprus,CYP,2001,15.1,,9.7,1990
Cyprus,CYP,2002,14.5,,9.7,1990
Cyprus,CYP,2003,7.7,,9.7,1990
Cyprus,CYP,2004,7.3,,9.7,1990
Cyprus,CYP,2005,8,,9.7,1990
Cyprus,CYP,2006,7,,9.7,1990
Cyprus,CYP,2007,8.3,,9.7,1990
Cyprus,CYP,2008,7.8,,9.7,1990
Cyprus,CYP,2009,7.8,,9.7,1990
Cyprus,CYP,2010,7.3,,9.7,1990
Cyprus,CYP,2011,7.3,,9.7,1990
Cyprus,CYP,2012,6.7,,9.7,1990
Cyprus,CYP,2013,6.4,,9.7,1990
Cyprus,CYP,2014,6.3,,9.7,1990
Cyprus,CYP,2015,7.2,,9.7,1990
Cyprus,CYP,2016,7.5,,9.7,1990
Cyprus,CYP,2017,6.8,,9.7,1990
Cyprus,CYP,2018,7.8,,9.7,1990
Cyprus,CYP,2019,8.9,,9.7,1990
Cyprus,CYP,2023,,Europe,9.7,1990
Czechia,CZE,1960,7.7,,8.8,1990
Czechia,CZE,1961,7.7,,8.8,1990
Czechia,CZE,1962,8,,8.8,1990
Czechia,CZE,1963,8.3,,8.8,1990
Czechia,CZE,1964,8.3,,8.8,1990
Czechia,CZE,1965,8.4,,8.8,1990
Czechia,CZE,1966,8.6,,8.8,1990
Czechia,CZE,1967,8.9,,8.8,1990
Czechia,CZE,1968,9,,8.8,1990
Czechia,CZE,1969,9.1,,8.8,1990
Czechia,CZE,1970,9.2,,8.8,1990
Czechia,CZE,1971,9.3,,8.8,1990
Czechia,CZE,1972,9.7,,8.8,1990
Czechia,CZE,1973,10,,8.8,1990
Czechia,CZE,1974,9.8,,8.8,1990
Czechia,CZE,1975,9.7,,8.8,1990
Czechia,CZE,1976,9.4,,8.8,1990
Czechia,CZE,1977,9.1,,8.8,1990
Czechia,CZE,1978,8.8,,8.8,1990
Czechia,CZE,1979,8.2,,8.8,1990
Czechia,CZE,1980,7.6,,8.8,1990
Czechia,CZE,1981,7.5,,8.8,1990
Czechia,CZE,1982,7.5,,8.8,1990
Czechia,CZE,1983,7.8,,8.8,1990
Czechia,CZE,1984,7.9,,8.8,1990
Czechia,CZE,1985,7.8,,8.8,1990
Czechia,CZE,1986,7.9,,8.8,1990
Czechia,CZE,1987,8.1,,8.8,1990
Czechia,CZE,1988,7.9,,8.8,1990
Czechia,CZE,1989,7.8,,8.8,1990
Czechia,CZE,1990,8.8,,8.8,1990
Czechia,CZE,1991,7,,8.8,1990
Czechia,CZE,1992,7.2,,8.8,1990
Czechia,CZE,1993,6.4,,8.8,1990
Czechia,CZE,1994,5.7,,8.8,1990
Czechia,CZE,1995,5.3,,8.8,1990
Czechia,CZE,1996,5.2,,8.8,1990
Czechia,CZE,1997,5.6,,8.8,1990
Czechia,CZE,1998,5.3,,8.8,1990
Czechia,CZE,1999,5.2,,8.8,1990
Czechia,CZE,2000,5.4,,8.8,1990
Czechia,CZE,2001,5.1,,8.8,1990
Czechia,CZE,2002,5.2,,8.8,1990
