country,year,indicator,birth_order,unit,value,source
Poland,1989,births_by_birth_order,Third birth or higher,%,28.7,OECD
Slovenia,1989,births_by_birth_order,First birth,%,47.9,OECD
Slovenia,1989,births_by_birth_order,Second birth,%,38.9,OECD
Slovenia,1989,births_by_birth_order,Third birth or higher,%,13.2,OECD
Spain,1989,births_by_birth_order,First birth,%,50.0,OECD
Spain,1989,births_by_birth_order,Second birth,%,34.0,OECD
Spain,1989,births_by_birth_order,Third birth or higher,%,16.1,OECD
Switzerland,1989,births_by_birth_order,First birth,%,42.6,OECD
Switzerland,1989,births_by_birth_order,Second birth,%,34.6,OECD
Switzerland,1989,births_by_birth_order,Third birth or higher,%,16.9,OECD
Romania,1989,births_by_birth_order,First birth,%,39.2,OECD
Romania,1989,births_by_birth_order,Second birth,%,28.8,OECD
Romania,1989,births_by_birth_order,Third birth or higher,%,32.0,OECD
Austria,1990,births_by_birth_order,First birth,%,46.2,OECD
Austria,1990,births_by_birth_order,Second birth,%,34.9,OECD
Austria,1990,births_by_birth_order,Third birth or higher,%,18.9,OECD
Belgium,1990,births_by_birth_order,First birth,%,47.3,OECD
Belgium,1990,births_by_birth_order,Second birth,%,32.8,OECD
Belgium,1990,births_by_birth_order,Third birth or higher,%,19.9,OECD
Czechia,1990,births_by_birth_order,First birth,%,47.8,OECD
Czechia,1990,births_by_birth_order,Second birth,%,37.2,OECD
Czechia,1990,births_by_birth_order,Third birth or higher,%,15.0,OECD
Estonia,1990,births_by_birth_order,First birth,%,46.2,OECD
Estonia,1990,births_by_birth_order,Second birth,%,32.8,OECD
Estonia,1990,births_by_birth_order,Third birth or higher,%,21.0,OECD
Finland,1990,births_by_birth_order,First birth,%,40.0,OECD
Finland,1990,births_by_birth_order,Second birth,%,33.6,OECD
Finland,1990,births_by_birth_order,Third birth or higher,%,26.5,OECD
Greece,1990,births_by_birth_order,First birth,%,44.6,OECD
Greece,1990,births_by_birth_order,Second birth,%,39.0,OECD
Greece,1990,births_by_birth_order,Third birth or higher,%,16.4,OECD
Iceland,1990,births_by_birth_order,First birth,%,36.1,OECD
Iceland,1990,births_by_birth_order,Second birth,%,30.9,OECD
Iceland,1990,births_by_birth_order,Third birth or higher,%,33.0,OECD
Latvia,1990,births_by_birth_order,First birth,%,47.6,OECD
Latvia,1990,births_by_birth_order,Second birth,%,32.8,OECD
Latvia,1990,births_by_birth_order,Third birth or higher,%,19.6,OECD
Lithuania,1990,births_by_birth_order,First birth,%,47.9,OECD
Lithuania,1990,births_by_birth_order,Second birth,%,36.2,OECD
Lithuania,1990,births_by_birth_order,Third birth or higher,%,15.9,OECD
Luxembourg,1990,births_by_birth_order,First birth,%,39.4,OECD
Luxembourg,1990,births_by_birth_order,Second birth,%,32.8,OECD
Luxembourg,1990,births_by_birth_order,Third birth or higher,%,15.0,OECD
Netherlands,1990,births_by_birth_order,First birth,%,45.1,OECD
Netherlands,1990,births_by_birth_order,Second birth,%,34.4,OECD
Netherlands,1990,births_by_birth_order,Third birth or higher,%,20.5,OECD
Norway,1990,births_by_birth_order,First birth,%,42.9,OECD
Norway,1990,births_by_birth_order,Second birth,%,34.8,OECD
Norway,1990,births_by_birth_order,Third birth or higher,%,22.2,OECD
Poland,1990,births_by_birth_order,First birth,%,39.5,OECD
Poland,1990,births_by_birth_order,Second birth,%,32.1,OECD
Poland,1990,births_by_birth_order,Third birth or higher,%,28.4,OECD
Slovenia,1990,births_by_birth_order,First birth,%,47.7,OECD
Slovenia,1990,births_by_birth_order,Second birth,%,39.5,OECD
Slovenia,1990,births_by_birth_order,Third birth or higher,%,12.8,OECD
Spain,1990,births_by_birth_order,First birth,%,50.3,OECD
Spain,1990,births_by_birth_order,Second birth,%,34.6,OECD
Spain,1990,births_by_birth_order,Third birth or higher,%,15.2,OECD
Switzerland,1990,births_by_birth_order,First birth,%,42.2,OECD
Switzerland,1990,births_by_birth_order,Second birth,%,34.4,OECD
Switzerland,1990,births_by_birth_order,Third birth or higher,%,17.3,OECD
Romania,1990,births_by_birth_order,First birth,%,43.5,OECD
Romania,1990,births_by_birth_order,Second birth,%,29.0,OECD
Romania,1990,births_by_birth_order,Third birth or higher,%,27.5,OECD
Austria,1991,births_by_birth_order,First birth,%,46.5,OECD
Austria,1991,births_by_birth_order,Second birth,%,34.5,OECD
Austria,1991,births_by_birth_order,Third birth or higher,%,19.0,OECD
Belgium,1991,births_by_birth_order,First birth,%,48.1,OECD
Belgium,1991,births_by_birth_order,Second birth,%,32.3,OECD
Belgium,1991,births_by_birth_order,Third birth or higher,%,19.6,OECD
Czechia,1991,births_by_birth_order,First birth,%,50.1,OECD
Czechia,1991,births_by_birth_order,Second birth,%,35.5,OECD
Czechia,1991,births_by_birth_order,Third birth or higher,%,14.4,OECD
Estonia,1991,births_by_birth_order,First birth,%,49.5,OECD
Estonia,1991,births_by_birth_order,Second birth,%,31.2,OECD
Estonia,1991,births_by_birth_order,Third birth or higher,%,19.3,OECD
Finland,1991,births_by_birth_order,First birth,%,40.7,OECD
Finland,1991,births_by_birth_order,Second birth,%,33.5,OECD
Finland,1991,births_by_birth_order,Third birth or higher,%,25.8,OECD
Greece,1991,births_by_birth_order,First birth,%,45.4,OECD
Greece,1991,births_by_birth_order,Second birth,%,37.6,OECD
Greece,1991,births_by_birth_order,Third birth or higher,%,17.0,OECD
Iceland,1991,births_by_birth_order,First birth,%,35.9,OECD
Iceland,1991,births_by_birth_order,Second birth,%,30.7,OECD
Iceland,1991,births_by_birth_order,Third birth or higher,%,33.4,OECD
Latvia,1991,births_by_birth_order,First birth,%,49.0,OECD
Latvia,1991,births_by_birth_order,Second birth,%,31.8,OECD
Latvia,1991,births_by_birth_order,Third birth or higher,%,19.2,OECD
Lithuania,1991,births_by_birth_order,First birth,%,49.6,OECD
Lithuania,1991,births_by_birth_order,Second birth,%,34.8,OECD
Lithuania,1991,births_by_birth_order,Third birth or higher,%,15.6,OECD
Luxembourg,1991,births_by_birth_order,First birth,%,39.7,OECD
Luxembourg,1991,births_by_birth_order,Second birth,%,33.7,OECD
Luxembourg,1991,births_by_birth_order,Third birth or higher,%,14.5,OECD
Netherlands,1991,births_by_birth_order,First birth,%,45.3,OECD
Netherlands,1991,births_by_birth_order,Second birth,%,34.7,OECD
Netherlands,1991,births_by_birth_order,Third birth or higher,%,20.0,OECD
Norway,1991,births_by_birth_order,First birth,%,42.9,OECD
Norway,1991,births_by_birth_order,Second birth,%,34.4,OECD
Norway,1991,births_by_birth_order,Third birth or higher,%,22.7,OECD
Poland,1991,births_by_birth_order,First birth,%,39.7,OECD
Poland,1991,births_by_birth_order,Second birth,%,31.2,OECD
Poland,1991,births_by_birth_order,Third birth or higher,%,29.1,OECD
Slovenia,1991,births_by_birth_order,First birth,%,47.3,OECD
Slovenia,1991,births_by_birth_order,Second birth,%,39.4,OECD
Slovenia,1991,births_by_birth_order,Third birth or higher,%,13.3,OECD
Spain,1991,births_by_birth_order,First birth,%,51.3,OECD
Spain,1991,births_by_birth_order,Second birth,%,34.7,OECD
Spain,1991,births_by_birth_order,Third birth or higher,%,14.0,OECD
Switzerland,1991,births_by_birth_order,First birth,%,42.6,OECD
Switzerland,1991,births_by_birth_order,Second birth,%,34.1,OECD
Switzerland,1991,births_by_birth_order,Third birth or higher,%,16.8,OECD
Romania,1991,births_by_birth_order,First birth,%,51.8,OECD
Romania,1991,births_by_birth_order,Second birth,%,27.3,OECD
Romania,1991,births_by_birth_order,Third birth or higher,%,20.9,OECD
Austria,1992,births_by_birth_order,First birth,%,46.1,OECD
Austria,1992,births_by_birth_order,Second birth,%,34.8,OECD
Austria,1992,births_by_birth_order,Third birth or higher,%,19.1,OECD
Belgium,1992,births_by_birth_order,First birth,%,47.2,OECD
Belgium,1992,births_by_birth_order,Second birth,%,32.8,OECD
Belgium,1992,births_by_birth_order,Third birth or higher,%,20.0,OECD
Czechia,1992,births_by_birth_order,First birth,%,49.8,OECD
Czechia,1992,births_by_birth_order,Second birth,%,35.8,OECD
Czechia,1992,births_by_birth_order,Third birth or higher,%,14.4,OECD
Estonia,1992,births_by_birth_order,First birth,%,50.3,OECD
Estonia,1992,births_by_birth_order,Second birth,%,30.8,OECD
Estonia,1992,births_by_birth_order,Third birth or higher,%,18.9,OECD
Finland,1992,births_by_birth_order,First birth,%,39.6,OECD
Finland,1992,births_by_birth_order,Second birth,%,34.0,OECD
Finland,1992,births_by_birth_order,Third birth or higher,%,26.3,OECD
Greece,1992,births_by_birth_order,First birth,%,46.6,OECD
Greece,1992,births_by_birth_order,Second birth,%,36.5,OECD
Greece,1992,births_by_birth_order,Third birth or higher,%,17.0,OECD
Iceland,1992,births_by_birth_order,First birth,%,36.5,OECD
Iceland,1992,births_by_birth_order,Second birth,%,31.0,OECD
Iceland,1992,births_by_birth_order,Third birth or higher,%,32.5,OECD
Latvia,1992,births_by_birth_order,First birth,%,49.5,OECD
Latvia,1992,births_by_birth_order,Second birth,%,31.8,OECD
Latvia,1992,births_by_birth_order,Third birth or higher,%,18.7,OECD
Lithuania,1992,births_by_birth_order,First birth,%,49.8,OECD
Lithuania,1992,births_by_birth_order,Second birth,%,34.3,OECD
Lithuania,1992,births_by_birth_order,Third birth or higher,%,15.8,OECD
Luxembourg,1992,births_by_birth_order,First birth,%,39.7,OECD
Luxembourg,1992,births_by_birth_order,Second birth,%,32.6,OECD
Luxembourg,1992,births_by_birth_order,Third birth or higher,%,14.9,OECD
Netherlands,1992,births_by_birth_order,First birth,%,44.3,OECD
Netherlands,1992,births_by_birth_order,Second birth,%,35.4,OECD
Netherlands,1992,births_by_birth_order,Third birth or higher,%,20.3,OECD
Norway,1992,births_by_birth_order,First birth,%,42.0,OECD
Norway,1992,births_by_birth_order,Second birth,%,35.3,OECD
Norway,1992,births_by_birth_order,Third birth or higher,%,22.7,OECD
Poland,1992,births_by_birth_order,First birth,%,39.5,OECD
Poland,1992,births_by_birth_order,Second birth,%,31.1,OECD
Poland,1992,births_by_birth_order,Third birth or higher,%,29.4,OECD
Slovenia,1992,births_by_birth_order,First birth,%,49.3,OECD
Slovenia,1992,births_by_birth_order,Second birth,%,37.9,OECD
Slovenia,1992,births_by_birth_order,Third birth or higher,%,12.8,OECD
Spain,1992,births_by_birth_order,First birth,%,51.9,OECD
Spain,1992,births_by_birth_order,Second birth,%,34.8,OECD
Spain,1992,births_by_birth_order,Third birth or higher,%,13.3,OECD
Switzerland,1992,births_by_birth_order,First birth,%,42.1,OECD
Switzerland,1992,births_by_birth_order,Second birth,%,34.7,OECD
Switzerland,1992,births_by_birth_order,Third birth or higher,%,17.0,OECD
Romania,1992,births_by_birth_order,First birth,%,53.9,OECD
Romania,1992,births_by_birth_order,Second birth,%,26.3,OECD
Romania,1992,births_by_birth_order,Third birth or higher,%,19.8,OECD
Austria,1993,births_by_birth_order,First birth,%,45.2,OECD
Austria,1993,births_by_birth_order,Second birth,%,35.8,OECD
Austria,1993,births_by_birth_order,Third birth or higher,%,18.9,OECD
Belgium,1993,births_by_birth_order,First birth,%,46.9,OECD
Belgium,1993,births_by_birth_order,Second birth,%,33.5,OECD
Belgium,1993,births_by_birth_order,Third birth or higher,%,19.6,OECD
Czechia,1993,births_by_birth_order,First birth,%,48.5,OECD
Czechia,1993,births_by_birth_order,Second birth,%,36.8,OECD
Czechia,1993,births_by_birth_order,Third birth or higher,%,14.8,OECD
Estonia,1993,births_by_birth_order,First birth,%,49.6,OECD
Estonia,1993,births_by_birth_order,Second birth,%,31.2,OECD
Estonia,1993,births_by_birth_order,Third birth or higher,%,19.2,OECD
Finland,1993,births_by_birth_order,First birth,%,39.5,OECD
Finland,1993,births_by_birth_order,Second birth,%,34.4,OECD
Finland,1993,births_by_birth_order,Third birth or higher,%,26.1,OECD
Greece,1993,births_by_birth_order,First birth,%,45.5,OECD
Greece,1993,births_by_birth_order,Second birth,%,37.1,OECD
Greece,1993,births_by_birth_order,Third birth or higher,%,17.4,OECD
Iceland,1993,births_by_birth_order,First birth,%,35.0,OECD
Iceland,1993,births_by_birth_order,Second birth,%,32.9,OECD
Iceland,1993,births_by_birth_order,Third birth or higher,%,32.2,OECD
Latvia,1993,births_by_birth_order,First birth,%,50.6,OECD
Latvia,1993,births_by_birth_order,Second birth,%,30.5,OECD
Latvia,1993,births_by_birth_order,Third birth or higher,%,18.9,OECD
Lithuania,1993,births_by_birth_order,First birth,%,49.7,OECD
Lithuania,1993,births_by_birth_order,Second birth,%,34.7,OECD
Lithuania,1993,births_by_birth_order,Third birth or higher,%,15.6,OECD
Luxembourg,1993,births_by_birth_order,First birth,%,39.5,OECD
Luxembourg,1993,births_by_birth_order,Second birth,%,32.4,OECD
Luxembourg,1993,births_by_birth_order,Third birth or higher,%,15.2,OECD
Netherlands,1993,births_by_birth_order,First birth,%,44.4,OECD
Netherlands,1993,births_by_birth_order,Second birth,%,35.9,OECD
Netherlands,1993,births_by_birth_order,Third birth or higher,%,19.7,OECD
Norway,1993,births_by_birth_order,First birth,%,41.2,OECD
Norway,1993,births_by_birth_order,Second birth,%,35.8,OECD
Norway,1993,births_by_birth_order,Third birth or higher,%,23.0,OECD
Poland,1993,births_by_birth_order,First birth,%,38.8,OECD
Poland,1993,births_by_birth_order,Second birth,%,30.7,OECD
Poland,1993,births_by_birth_order,Third birth or higher,%,30.5,OECD
Slovenia,1993,births_by_birth_order,First birth,%,47.4,OECD
Slovenia,1993,births_by_birth_order,Second birth,%,39.1,OECD
Slovenia,1993,births_by_birth_order,Third birth or higher,%,13.4,OECD
Spain,1993,births_by_birth_order,First birth,%,52.1,OECD
Spain,1993,births_by_birth_order,Second birth,%,35.1,OECD
Spain,1993,births_by_birth_order,Third birth or higher,%,12.8,OECD
Switzerland,1993,births_by_birth_order,First birth,%,42.2,OECD
Switzerland,1993,births_by_birth_order,Second birth,%,34.6,OECD
Switzerland,1993,births_by_birth_order,Third birth or higher,%,16.9,OECD
Romania,1993,births_by_birth_order,First birth,%,56.0,OECD
Romania,1993,births_by_birth_order,Second birth,%,26.0,OECD
Romania,1993,births_by_birth_order,Third birth or higher,%,18.1,OECD
Austria,1994,births_by_birth_order,First birth,%,44.5,OECD
Austria,1994,births_by_birth_order,Second birth,%,36.4,OECD
Austria,1994,births_by_birth_order,Third birth or higher,%,19.1,OECD
Belgium,1994,births_by_birth_order,First birth,%,47.2,OECD
Belgium,1994,births_by_birth_order,Second birth,%,33.0,OECD
Belgium,1994,births_by_birth_order,Third birth or higher,%,19.8,OECD
Czechia,1994,births_by_birth_order,First birth,%,47.7,OECD
Czechia,1994,births_by_birth_order,Second birth,%,36.9,OECD
Czechia,1994,births_by_birth_order,Third birth or higher,%,15.4,OECD
Estonia,1994,births_by_birth_order,First birth,%,49.6,OECD
Estonia,1994,births_by_birth_order,Second birth,%,31.3,OECD
Estonia,1994,births_by_birth_order,Third birth or higher,%,19.1,OECD
Finland,1994,births_by_birth_order,First birth,%,38.2,OECD
Finland,1994,births_by_birth_order,Second birth,%,35.0,OECD
Finland,1994,births_by_birth_order,Third birth or higher,%,26.8,OECD
Greece,1994,births_by_birth_order,First birth,%,45.3,OECD
Greece,1994,births_by_birth_order,Second birth,%,37.1,OECD
Greece,1994,births_by_birth_order,Third birth or higher,%,17.6,OECD
Iceland,1994,births_by_birth_order,First birth,%,35.9,OECD
Iceland,1994,births_by_birth_order,Second birth,%,31.6,OECD
Iceland,1994,births_by_birth_order,Third birth or higher,%,32.5,OECD
Latvia,1994,births_by_birth_order,First birth,%,50.9,OECD
Latvia,1994,births_by_birth_order,Second birth,%,30.9,OECD
Latvia,1994,births_by_birth_order,Third birth or higher,%,18.2,OECD
Lithuania,1994,births_by_birth_order,First birth,%,50.4,OECD
Lithuania,1994,births_by_birth_order,Second birth,%,34.3,OECD
Lithuania,1994,births_by_birth_order,Third birth or higher,%,15.3,OECD
Luxembourg,1994,births_by_birth_order,First birth,%,37.8,OECD
Luxembourg,1994,births_by_birth_order,Second birth,%,33.7,OECD
Luxembourg,1994,births_by_birth_order,Third birth or higher,%,15.6,OECD
Netherlands,1994,births_by_birth_order,First birth,%,44.5,OECD
Netherlands,1994,births_by_birth_order,Second birth,%,35.7,OECD
Netherlands,1994,births_by_birth_order,Third birth or higher,%,19.8,OECD
Norway,1994,births_by_birth_order,First birth,%,40.6,OECD
Norway,1994,births_by_birth_order,Second birth,%,36.3,OECD
Norway,1994,births_by_birth_order,Third birth or higher,%,23.1,OECD
Poland,1994,births_by_birth_order,First birth,%,39.3,OECD
Poland,1994,births_by_birth_order,Second birth,%,30.3,OECD
Poland,1994,births_by_birth_order,Third birth or higher,%,30.5,OECD
Slovenia,1994,births_by_birth_order,First birth,%,46.8,OECD
Slovenia,1994,births_by_birth_order,Second birth,%,39.6,OECD
Slovenia,1994,births_by_birth_order,Third birth or higher,%,13.6,OECD
Spain,1994,births_by_birth_order,First birth,%,51.8,OECD
Spain,1994,births_by_birth_order,Second birth,%,35.7,OECD
Spain,1994,births_by_birth_order,Third birth or higher,%,12.6,OECD
Switzerland,1994,births_by_birth_order,First birth,%,41.2,OECD
Switzerland,1994,births_by_birth_order,Second birth,%,35.6,OECD
Switzerland,1994,births_by_birth_order,Third birth or higher,%,16.7,OECD
Romania,1994,births_by_birth_order,First birth,%,54.5,OECD
Romania,1994,births_by_birth_order,Second birth,%,27.2,OECD
Romania,1994,births_by_birth_order,Third birth or higher,%,18.3,OECD
Austria,1995,births_by_birth_order,First birth,%,44.5,OECD
Austria,1995,births_by_birth_order,Second birth,%,36.4,OECD
Austria,1995,births_by_birth_order,Third birth or higher,%,19.2,OECD
Belgium,1995,births_by_birth_order,First birth,%,47.3,OECD
Belgium,1995,births_by_birth_order,Second birth,%,33.1,OECD
Belgium,1995,births_by_birth_order,Third birth or higher,%,19.7,OECD
Czechia,1995,births_by_birth_order,First birth,%,46.3,OECD
Czechia,1995,births_by_birth_order,Second birth,%,38.5,OECD
Czechia,1995,births_by_birth_order,Third birth or higher,%,15.1,OECD
Estonia,1995,births_by_birth_order,First birth,%,49.6,OECD
Estonia,1995,births_by_birth_order,Second birth,%,31.9,OECD
Estonia,1995,births_by_birth_order,Third birth or higher,%,18.4,OECD
Finland,1995,births_by_birth_order,First birth,%,38.7,OECD
Finland,1995,births_by_birth_order,Second birth,%,34.4,OECD
Finland,1995,births_by_birth_order,Third birth or higher,%,26.9,OECD
Greece,1995,births_by_birth_order,First birth,%,46.4,OECD
Greece,1995,births_by_birth_order,Second birth,%,37.3,OECD
Greece,1995,births_by_birth_order,Third birth or higher,%,16.4,OECD
Iceland,1995,births_by_birth_order,First birth,%,37.0,OECD
Iceland,1995,births_by_birth_order,Second birth,%,31.1,OECD
