country,age_group,year,value,indicator,unit
Australia,40-44,1961,19.2,fertility_by_age,per_1000
Australia,45-49,1961,1.4,fertility_by_age,per_1000
Austria,15-19,1961,52.7,fertility_by_age,per_1000
Austria,20-24,1961,163.4,fertility_by_age,per_1000
Austria,25-29,1961,163.0,fertility_by_age,per_1000
Austria,30-34,1961,103.9,fertility_by_age,per_1000
Austria,35-39,1961,54.5,fertility_by_age,per_1000
Austria,40-44,1961,18.7,fertility_by_age,per_1000
Austria,45-49,1961,1.0,fertility_by_age,per_1000
Belgium,15-19,1961,25.9,fertility_by_age,per_1000
Belgium,20-24,1961,158.4,fertility_by_age,per_1000
Belgium,25-29,1961,168.1,fertility_by_age,per_1000
Belgium,30-34,1961,103.7,fertility_by_age,per_1000
Belgium,35-39,1961,51.7,fertility_by_age,per_1000
Belgium,40-44,1961,17.8,fertility_by_age,per_1000
Belgium,45-49,1961,1.0,fertility_by_age,per_1000
Canada,15-19,1961,58.2,fertility_by_age,per_1000
Canada,20-24,1961,233.6,fertility_by_age,per_1000
Canada,25-29,1961,219.2,fertility_by_age,per_1000
Canada,30-34,1961,144.9,fertility_by_age,per_1000
Canada,35-39,1961,81.1,fertility_by_age,per_1000
Canada,40-44,1961,28.5,fertility_by_age,per_1000
Canada,45-49,1961,2.4,fertility_by_age,per_1000
Czech Republic,15-19,1961,43.3,fertility_by_age,per_1000
Czech Republic,20-24,1961,187.4,fertility_by_age,per_1000
Czech Republic,25-29,1961,115.8,fertility_by_age,per_1000
Czech Republic,30-34,1961,51.1,fertility_by_age,per_1000
Czech Republic,35-39,1961,19.2,fertility_by_age,per_1000
Czech Republic,40-44,1961,5.4,fertility_by_age,per_1000
Czech Republic,45-49,1961,0.2,fertility_by_age,per_1000
Denmark,15-19,1961,42.0,fertility_by_age,per_1000
Denmark,20-24,1961,170.0,fertility_by_age,per_1000
Denmark,25-29,1961,157.2,fertility_by_age,per_1000
Denmark,30-34,1961,87.2,fertility_by_age,per_1000
Denmark,35-39,1961,38.4,fertility_by_age,per_1000
Denmark,40-44,1961,11.0,fertility_by_age,per_1000
Denmark,45-49,1961,0.7,fertility_by_age,per_1000
Estonia,15-19,1961,24.1,fertility_by_age,per_1000
Estonia,20-24,1961,130.4,fertility_by_age,per_1000
Estonia,25-29,1961,120.3,fertility_by_age,per_1000
Estonia,30-34,1961,73.4,fertility_by_age,per_1000
Estonia,35-39,1961,39.4,fertility_by_age,per_1000
Estonia,40-44,1961,11.6,fertility_by_age,per_1000
Estonia,45-49,1961,0.7,fertility_by_age,per_1000
Finland,15-19,1961,27.9,fertility_by_age,per_1000
Finland,20-24,1961,159.8,fertility_by_age,per_1000
Finland,25-29,1961,160.1,fertility_by_age,per_1000
Finland,30-34,1961,102.6,fertility_by_age,per_1000
Finland,35-39,1961,61.2,fertility_by_age,per_1000
Finland,40-44,1961,25.4,fertility_by_age,per_1000
Finland,45-49,1961,2.4,fertility_by_age,per_1000
Greece,15-19,1961,15.9,fertility_by_age,per_1000
Greece,20-24,1961,100.8,fertility_by_age,per_1000
Greece,25-29,1961,142.9,fertility_by_age,per_1000
Greece,30-34,1961,103.2,fertility_by_age,per_1000
Greece,35-39,1961,48.8,fertility_by_age,per_1000
Greece,40-44,1961,13.7,fertility_by_age,per_1000
Greece,45-49,1961,1.5,fertility_by_age,per_1000
Hungary,15-19,1961,52.0,fertility_by_age,per_1000
Hungary,20-24,1961,153.9,fertility_by_age,per_1000
Hungary,25-29,1961,100.7,fertility_by_age,per_1000
Hungary,30-34,1961,50.3,fertility_by_age,per_1000
Hungary,35-39,1961,23.0,fertility_by_age,per_1000
Hungary,40-44,1961,7.6,fertility_by_age,per_1000
Hungary,45-49,1961,0.4,fertility_by_age,per_1000
Ireland,15-19,1961,9.4,fertility_by_age,per_1000
Ireland,20-24,1961,106.6,fertility_by_age,per_1000
Ireland,25-29,1961,215.8,fertility_by_age,per_1000
Ireland,30-34,1961,209.9,fertility_by_age,per_1000
Ireland,35-39,1961,152.9,fertility_by_age,per_1000
Ireland,40-44,1961,57.8,fertility_by_age,per_1000
Ireland,45-49,1961,4.2,fertility_by_age,per_1000
Israel,15-19,1961,47.9,fertility_by_age,per_1000
Israel,20-24,1961,221.9,fertility_by_age,per_1000
Israel,25-29,1961,230.5,fertility_by_age,per_1000
Israel,30-34,1961,147.5,fertility_by_age,per_1000
Israel,35-39,1961,79.9,fertility_by_age,per_1000
Israel,40-44,1961,27.2,fertility_by_age,per_1000
Israel,45-49,1961,4.1,fertility_by_age,per_1000
Italy,15-19,1961,18.9,fertility_by_age,per_1000
Italy,20-24,1961,111.7,fertility_by_age,per_1000
Italy,25-29,1961,156.3,fertility_by_age,per_1000
Italy,30-34,1961,112.6,fertility_by_age,per_1000
Italy,35-39,1961,61.3,fertility_by_age,per_1000
Italy,40-44,1961,23.0,fertility_by_age,per_1000
Italy,45-49,1961,1.6,fertility_by_age,per_1000
Netherlands,15-19,1961,17.3,fertility_by_age,per_1000
Netherlands,20-24,1961,127.8,fertility_by_age,per_1000
Netherlands,25-29,1961,214.7,fertility_by_age,per_1000
Netherlands,30-34,1961,157.8,fertility_by_age,per_1000
Netherlands,35-39,1961,88.6,fertility_by_age,per_1000
Netherlands,40-44,1961,32.4,fertility_by_age,per_1000
Netherlands,45-49,1961,2.8,fertility_by_age,per_1000
Portugal,15-19,1961,26.2,fertility_by_age,per_1000
Portugal,20-24,1961,152.7,fertility_by_age,per_1000
Portugal,25-29,1961,180.3,fertility_by_age,per_1000
Portugal,30-34,1961,138.0,fertility_by_age,per_1000
Portugal,35-39,1961,97.1,fertility_by_age,per_1000
Portugal,40-44,1961,43.9,fertility_by_age,per_1000
Portugal,45-49,1961,3.7,fertility_by_age,per_1000
Slovak Republic,15-19,1961,49.8,fertility_by_age,per_1000
Slovak Republic,20-24,1961,221.3,fertility_by_age,per_1000
Slovak Republic,25-29,1961,161.2,fertility_by_age,per_1000
Slovak Republic,30-34,1961,94.0,fertility_by_age,per_1000
Slovak Republic,35-39,1961,48.9,fertility_by_age,per_1000
Slovak Republic,40-44,1961,16.0,fertility_by_age,per_1000
Slovak Republic,45-49,1961,0.9,fertility_by_age,per_1000
Switzerland,15-19,1961,24.5,fertility_by_age,per_1000
Switzerland,20-24,1961,142.4,fertility_by_age,per_1000
Switzerland,25-29,1961,168.5,fertility_by_age,per_1000
Switzerland,30-34,1961,104.6,fertility_by_age,per_1000
Switzerland,35-39,1961,49.1,fertility_by_age,per_1000
Switzerland,40-44,1961,14.4,fertility_by_age,per_1000
Switzerland,45-49,1961,1.0,fertility_by_age,per_1000
United States,15-19,1961,88.1,fertility_by_age,per_1000
United States,20-24,1961,251.5,fertility_by_age,per_1000
United States,25-29,1961,197.1,fertility_by_age,per_1000
United States,30-34,1961,113.2,fertility_by_age,per_1000
United States,35-39,1961,55.7,fertility_by_age,per_1000
United States,40-44,1961,15.6,fertility_by_age,per_1000
United States,45-49,1961,0.9,fertility_by_age,per_1000
Bulgaria,15-19,1961,71.9,fertility_by_age,per_1000
Bulgaria,20-24,1961,185.2,fertility_by_age,per_1000
Bulgaria,25-29,1961,119.3,fertility_by_age,per_1000
Bulgaria,30-34,1961,52.1,fertility_by_age,per_1000
Bulgaria,35-39,1961,19.4,fertility_by_age,per_1000
Bulgaria,40-44,1961,6.4,fertility_by_age,per_1000
Bulgaria,45-49,1961,0.8,fertility_by_age,per_1000
Australia,15-19,1962,44.7,fertility_by_age,per_1000
Australia,20-24,1962,216.0,fertility_by_age,per_1000
Australia,25-29,1962,216.7,fertility_by_age,per_1000
Australia,30-34,1962,127.7,fertility_by_age,per_1000
Australia,35-39,1962,61.4,fertility_by_age,per_1000
Australia,40-44,1962,18.4,fertility_by_age,per_1000
Australia,45-49,1962,1.2,fertility_by_age,per_1000
Austria,15-19,1962,53.9,fertility_by_age,per_1000
Austria,20-24,1962,165.3,fertility_by_age,per_1000
Austria,25-29,1962,164.0,fertility_by_age,per_1000
Austria,30-34,1962,104.3,fertility_by_age,per_1000
Austria,35-39,1962,53.2,fertility_by_age,per_1000
Austria,40-44,1962,18.7,fertility_by_age,per_1000
Austria,45-49,1962,0.8,fertility_by_age,per_1000
Belgium,15-19,1962,26.4,fertility_by_age,per_1000
Belgium,20-24,1962,158.8,fertility_by_age,per_1000
Belgium,25-29,1962,163.8,fertility_by_age,per_1000
Belgium,30-34,1962,101.9,fertility_by_age,per_1000
Belgium,35-39,1962,50.7,fertility_by_age,per_1000
Belgium,40-44,1962,16.8,fertility_by_age,per_1000
Belgium,45-49,1962,0.9,fertility_by_age,per_1000
Canada,15-19,1962,55.1,fertility_by_age,per_1000
Canada,20-24,1962,231.6,fertility_by_age,per_1000
Canada,25-29,1962,214.6,fertility_by_age,per_1000
Canada,30-34,1962,143.1,fertility_by_age,per_1000
Canada,35-39,1962,77.1,fertility_by_age,per_1000
Canada,40-44,1962,27.6,fertility_by_age,per_1000
Canada,45-49,1962,2.1,fertility_by_age,per_1000
Czech Republic,15-19,1962,44.1,fertility_by_age,per_1000
Czech Republic,20-24,1962,189.9,fertility_by_age,per_1000
Czech Republic,25-29,1962,118.0,fertility_by_age,per_1000
Czech Republic,30-34,1962,48.9,fertility_by_age,per_1000
Czech Republic,35-39,1962,18.1,fertility_by_age,per_1000
Czech Republic,40-44,1962,4.6,fertility_by_age,per_1000
Czech Republic,45-49,1962,0.2,fertility_by_age,per_1000
Denmark,15-19,1962,42.6,fertility_by_age,per_1000
Denmark,20-24,1962,171.4,fertility_by_age,per_1000
Denmark,25-29,1962,157.3,fertility_by_age,per_1000
Denmark,30-34,1962,86.8,fertility_by_age,per_1000
Denmark,35-39,1962,37.7,fertility_by_age,per_1000
Denmark,40-44,1962,10.6,fertility_by_age,per_1000
Denmark,45-49,1962,0.6,fertility_by_age,per_1000
Estonia,15-19,1962,21.3,fertility_by_age,per_1000
Estonia,20-24,1962,132.0,fertility_by_age,per_1000
Estonia,25-29,1962,117.6,fertility_by_age,per_1000
Estonia,30-34,1962,72.6,fertility_by_age,per_1000
Estonia,35-39,1962,35.7,fertility_by_age,per_1000
Estonia,40-44,1962,12.0,fertility_by_age,per_1000
Estonia,45-49,1962,0.7,fertility_by_age,per_1000
Finland,15-19,1962,27.9,fertility_by_age,per_1000
Finland,20-24,1962,162.6,fertility_by_age,per_1000
Finland,25-29,1962,158.2,fertility_by_age,per_1000
Finland,30-34,1962,100.7,fertility_by_age,per_1000
Finland,35-39,1962,56.0,fertility_by_age,per_1000
Finland,40-44,1962,23.5,fertility_by_age,per_1000
Finland,45-49,1962,2.2,fertility_by_age,per_1000
Greece,15-19,1962,16.3,fertility_by_age,per_1000
Greece,20-24,1962,107.5,fertility_by_age,per_1000
Greece,25-29,1962,145.0,fertility_by_age,per_1000
Greece,30-34,1962,105.0,fertility_by_age,per_1000
Greece,35-39,1962,47.3,fertility_by_age,per_1000
Greece,40-44,1962,12.7,fertility_by_age,per_1000
Greece,45-49,1962,1.3,fertility_by_age,per_1000
Hungary,15-19,1962,46.4,fertility_by_age,per_1000
Hungary,20-24,1962,143.1,fertility_by_age,per_1000
Hungary,25-29,1962,94.8,fertility_by_age,per_1000
Hungary,30-34,1962,47.0,fertility_by_age,per_1000
Hungary,35-39,1962,20.3,fertility_by_age,per_1000
Hungary,40-44,1962,6.9,fertility_by_age,per_1000
Hungary,45-49,1962,0.3,fertility_by_age,per_1000
Ireland,15-19,1962,11.2,fertility_by_age,per_1000
Ireland,20-24,1962,113.2,fertility_by_age,per_1000
Ireland,25-29,1962,223.8,fertility_by_age,per_1000
Ireland,30-34,1962,215.1,fertility_by_age,per_1000
Ireland,35-39,1962,156.4,fertility_by_age,per_1000
Ireland,40-44,1962,59.6,fertility_by_age,per_1000
Ireland,45-49,1962,4.5,fertility_by_age,per_1000
Israel,15-19,1962,46.3,fertility_by_age,per_1000
Israel,20-24,1962,219.7,fertility_by_age,per_1000
Israel,25-29,1962,233.2,fertility_by_age,per_1000
Israel,30-34,1962,151.7,fertility_by_age,per_1000
Israel,35-39,1962,77.6,fertility_by_age,per_1000
Israel,40-44,1962,25.9,fertility_by_age,per_1000
Israel,45-49,1962,5.2,fertility_by_age,per_1000
Italy,15-19,1962,18.9,fertility_by_age,per_1000
Italy,20-24,1962,114.5,fertility_by_age,per_1000
Italy,25-29,1962,157.1,fertility_by_age,per_1000
Italy,30-34,1962,113.8,fertility_by_age,per_1000
Italy,35-39,1962,61.4,fertility_by_age,per_1000
Italy,40-44,1962,22.9,fertility_by_age,per_1000
Italy,45-49,1962,1.5,fertility_by_age,per_1000
Netherlands,15-19,1962,17.7,fertility_by_age,per_1000
Netherlands,20-24,1962,132.2,fertility_by_age,per_1000
Netherlands,25-29,1962,212.8,fertility_by_age,per_1000
Netherlands,30-34,1962,153.2,fertility_by_age,per_1000
Netherlands,35-39,1962,83.9,fertility_by_age,per_1000
Netherlands,40-44,1962,30.6,fertility_by_age,per_1000
Netherlands,45-49,1962,2.5,fertility_by_age,per_1000
Portugal,15-19,1962,27.9,fertility_by_age,per_1000
Portugal,20-24,1962,155.8,fertility_by_age,per_1000
Portugal,25-29,1962,182.0,fertility_by_age,per_1000
Portugal,30-34,1962,138.3,fertility_by_age,per_1000
Portugal,35-39,1962,96.4,fertility_by_age,per_1000
Portugal,40-44,1962,44.3,fertility_by_age,per_1000
Portugal,45-49,1962,3.7,fertility_by_age,per_1000
Slovak Republic,15-19,1962,46.9,fertility_by_age,per_1000
Slovak Republic,20-24,1962,215.6,fertility_by_age,per_1000
Slovak Republic,25-29,1962,156.6,fertility_by_age,per_1000
Slovak Republic,30-34,1962,86.9,fertility_by_age,per_1000
Slovak Republic,35-39,1962,43.9,fertility_by_age,per_1000
Slovak Republic,40-44,1962,15.5,fertility_by_age,per_1000
Slovak Republic,45-49,1962,0.8,fertility_by_age,per_1000
Switzerland,15-19,1962,25.4,fertility_by_age,per_1000
Switzerland,20-24,1962,150.1,fertility_by_age,per_1000
Switzerland,25-29,1962,172.2,fertility_by_age,per_1000
Switzerland,30-34,1962,103.1,fertility_by_age,per_1000
Switzerland,35-39,1962,49.9,fertility_by_age,per_1000
Switzerland,40-44,1962,14.5,fertility_by_age,per_1000
Switzerland,45-49,1962,0.9,fertility_by_age,per_1000
United States,15-19,1962,81.8,fertility_by_age,per_1000
United States,20-24,1962,241.5,fertility_by_age,per_1000
United States,25-29,1962,190.5,fertility_by_age,per_1000
United States,30-34,1962,108.6,fertility_by_age,per_1000
United States,35-39,1962,52.7,fertility_by_age,per_1000
United States,40-44,1962,14.9,fertility_by_age,per_1000
United States,45-49,1962,0.9,fertility_by_age,per_1000
Bulgaria,15-19,1962,68.5,fertility_by_age,per_1000
Bulgaria,20-24,1962,182.4,fertility_by_age,per_1000
Bulgaria,25-29,1962,114.8,fertility_by_age,per_1000
Bulgaria,30-34,1962,51.7,fertility_by_age,per_1000
Bulgaria,35-39,1962,19.2,fertility_by_age,per_1000
Bulgaria,40-44,1962,6.3,fertility_by_age,per_1000
Bulgaria,45-49,1962,0.8,fertility_by_age,per_1000
Australia,15-19,1963,45.9,fertility_by_age,per_1000
Australia,20-24,1963,208.2,fertility_by_age,per_1000
Australia,25-29,1963,211.2,fertility_by_age,per_1000
Australia,30-34,1963,123.9,fertility_by_age,per_1000
Australia,35-39,1963,59.7,fertility_by_age,per_1000
Australia,40-44,1963,18.6,fertility_by_age,per_1000
Australia,45-49,1963,1.1,fertility_by_age,per_1000
Austria,15-19,1963,55.3,fertility_by_age,per_1000
Austria,20-24,1963,165.9,fertility_by_age,per_1000
Austria,25-29,1963,165.2,fertility_by_age,per_1000
Austria,30-34,1963,106.0,fertility_by_age,per_1000
Austria,35-39,1963,52.7,fertility_by_age,per_1000
Austria,40-44,1963,17.2,fertility_by_age,per_1000
Austria,45-49,1963,0.8,fertility_by_age,per_1000
Belgium,15-19,1963,27.8,fertility_by_age,per_1000
Belgium,20-24,1963,166.8,fertility_by_age,per_1000
Belgium,25-29,1963,170.0,fertility_by_age,per_1000
Belgium,30-34,1963,103.3,fertility_by_age,per_1000
Belgium,35-39,1963,50.6,fertility_by_age,per_1000
Belgium,40-44,1963,15.8,fertility_by_age,per_1000
Belgium,45-49,1963,0.8,fertility_by_age,per_1000
Canada,15-19,1963,53.1,fertility_by_age,per_1000
Canada,20-24,1963,226.0,fertility_by_age,per_1000
Canada,25-29,1963,210.6,fertility_by_age,per_1000
Canada,30-34,1963,140.3,fertility_by_age,per_1000
Canada,35-39,1963,75.8,fertility_by_age,per_1000
Canada,40-44,1963,25.9,fertility_by_age,per_1000
Canada,45-49,1963,2.1,fertility_by_age,per_1000
Czech Republic,15-19,1963,47.5,fertility_by_age,per_1000
Czech Republic,20-24,1963,200.8,fertility_by_age,per_1000
Czech Republic,25-29,1963,132.0,fertility_by_age,per_1000
Czech Republic,30-34,1963,56.9,fertility_by_age,per_1000
Czech Republic,35-39,1963,20.2,fertility_by_age,per_1000
Czech Republic,40-44,1963,4.5,fertility_by_age,per_1000
Czech Republic,45-49,1963,0.2,fertility_by_age,per_1000
Denmark,15-19,1963,35.0,fertility_by_age,per_1000
Denmark,20-24,1963,171.4,fertility_by_age,per_1000
Denmark,25-29,1963,173.0,fertility_by_age,per_1000
Denmark,30-34,1963,95.2,fertility_by_age,per_1000
Denmark,35-39,1963,43.6,fertility_by_age,per_1000
Denmark,40-44,1963,12.3,fertility_by_age,per_1000
Denmark,45-49,1963,0.7,fertility_by_age,per_1000
Estonia,15-19,1963,21.0,fertility_by_age,per_1000
Estonia,20-24,1963,125.3,fertility_by_age,per_1000
Estonia,25-29,1963,115.7,fertility_by_age,per_1000
Estonia,30-34,1963,71.0,fertility_by_age,per_1000
Estonia,35-39,1963,34.5,fertility_by_age,per_1000
Estonia,40-44,1963,11.2,fertility_by_age,per_1000
Estonia,45-49,1963,0.8,fertility_by_age,per_1000
Finland,15-19,1963,30.4,fertility_by_age,per_1000
Finland,20-24,1963,161.2,fertility_by_age,per_1000
Finland,25-29,1963,159.4,fertility_by_age,per_1000
Finland,30-34,1963,101.3,fertility_by_age,per_1000
Finland,35-39,1963,55.6,fertility_by_age,per_1000
Finland,40-44,1963,22.7,fertility_by_age,per_1000
Finland,45-49,1963,2.3,fertility_by_age,per_1000
Greece,15-19,1963,18.0,fertility_by_age,per_1000
Greece,20-24,1963,111.3,fertility_by_age,per_1000
Greece,25-29,1963,141.6,fertility_by_age,per_1000
Greece,30-34,1963,100.9,fertility_by_age,per_1000
Greece,35-39,1963,45.0,fertility_by_age,per_1000
Greece,40-44,1963,11.9,fertility_by_age,per_1000
Greece,45-49,1963,1.4,fertility_by_age,per_1000
Hungary,15-19,1963,43.3,fertility_by_age,per_1000
Hungary,20-24,1963,143.9,fertility_by_age,per_1000
Hungary,25-29,1963,100.7,fertility_by_age,per_1000
Hungary,30-34,1963,48.4,fertility_by_age,per_1000
Hungary,35-39,1963,21.1,fertility_by_age,per_1000
Hungary,40-44,1963,6.0,fertility_by_age,per_1000
Hungary,45-49,1963,0.2,fertility_by_age,per_1000
Ireland,15-19,1963,12.2,fertility_by_age,per_1000
Ireland,20-24,1963,119.2,fertility_by_age,per_1000
Ireland,25-29,1963,229.0,fertility_by_age,per_1000
Ireland,30-34,1963,223.9,fertility_by_age,per_1000
Ireland,35-39,1963,154.6,fertility_by_age,per_1000
Ireland,40-44,1963,60.3,fertility_by_age,per_1000
Ireland,45-49,1963,3.5,fertility_by_age,per_1000
Israel,15-19,1963,45.4,fertility_by_age,per_1000
Israel,20-24,1963,225.1,fertility_by_age,per_1000
Israel,25-29,1963,233.9,fertility_by_age,per_1000
Israel,30-34,1963,157.5,fertility_by_age,per_1000
Israel,35-39,1963,76.3,fertility_by_age,per_1000
Israel,40-44,1963,25.8,fertility_by_age,per_1000
