country,year,value,category,sex,indicator,unit,source
Switzerland,1970,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1970,10.7,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1970,8.5,total,all,mean_age_first_marriage,%,OECD
Croatia,1970,5.4,total,all,mean_age_first_marriage,%,OECD
Austria,1971,13.0,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1971,5.3,total,all,mean_age_first_marriage,%,OECD
Denmark,1971,12.3,total,all,mean_age_first_marriage,%,OECD
Finland,1971,5.5,total,all,mean_age_first_marriage,%,OECD
Germany,1971,8.0,total,all,mean_age_first_marriage,%,OECD
Greece,1971,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1971,5.8,total,all,mean_age_first_marriage,%,OECD
Italy,1971,2.3,total,all,mean_age_first_marriage,%,OECD
Latvia,1971,11.1,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1971,3.9,total,all,mean_age_first_marriage,%,OECD
Netherlands,1971,2.0,total,all,mean_age_first_marriage,%,OECD
New Zealand,1971,13.9,total,all,mean_age_first_marriage,%,OECD
Norway,1971,7.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1971,7.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1971,6.0,total,all,mean_age_first_marriage,%,OECD
Slovenia,1971,8.7,total,all,mean_age_first_marriage,%,OECD
Spain,1971,1.3,total,all,mean_age_first_marriage,%,OECD
Sweden,1971,21.9,total,all,mean_age_first_marriage,%,OECD
Switzerland,1971,3.7,total,all,mean_age_first_marriage,%,OECD
United States,1971,11.3,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1971,9.6,total,all,mean_age_first_marriage,%,OECD
Croatia,1971,5.2,total,all,mean_age_first_marriage,%,OECD
Austria,1972,13.7,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1972,5.0,total,all,mean_age_first_marriage,%,OECD
Denmark,1972,14.4,total,all,mean_age_first_marriage,%,OECD
Finland,1972,6.7,total,all,mean_age_first_marriage,%,OECD
Germany,1972,8.3,total,all,mean_age_first_marriage,%,OECD
Greece,1972,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1972,6.0,total,all,mean_age_first_marriage,%,OECD
Italy,1972,2.5,total,all,mean_age_first_marriage,%,OECD
Latvia,1972,11.7,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1972,4.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1972,1.9,total,all,mean_age_first_marriage,%,OECD
New Zealand,1972,14.9,total,all,mean_age_first_marriage,%,OECD
Norway,1972,8.7,total,all,mean_age_first_marriage,%,OECD
Portugal,1972,7.1,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1972,5.7,total,all,mean_age_first_marriage,%,OECD
Slovenia,1972,9.7,total,all,mean_age_first_marriage,%,OECD
Spain,1972,1.4,total,all,mean_age_first_marriage,%,OECD
Sweden,1972,25.4,total,all,mean_age_first_marriage,%,OECD
Switzerland,1972,3.7,total,all,mean_age_first_marriage,%,OECD
United States,1972,12.4,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1972,9.9,total,all,mean_age_first_marriage,%,OECD
Croatia,1972,5.2,total,all,mean_age_first_marriage,%,OECD
Austria,1973,13.7,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1973,4.4,total,all,mean_age_first_marriage,%,OECD
Denmark,1973,17.1,total,all,mean_age_first_marriage,%,OECD
Finland,1973,7.9,total,all,mean_age_first_marriage,%,OECD
Germany,1973,8.3,total,all,mean_age_first_marriage,%,OECD
Greece,1973,1.3,total,all,mean_age_first_marriage,%,OECD
Hungary,1973,5.9,total,all,mean_age_first_marriage,%,OECD
Italy,1973,2.5,total,all,mean_age_first_marriage,%,OECD
Latvia,1973,11.7,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1973,4.1,total,all,mean_age_first_marriage,%,OECD
Netherlands,1973,1.9,total,all,mean_age_first_marriage,%,OECD
New Zealand,1973,15.2,total,all,mean_age_first_marriage,%,OECD
Norway,1973,9.1,total,all,mean_age_first_marriage,%,OECD
Portugal,1973,7.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1973,5.1,total,all,mean_age_first_marriage,%,OECD
Slovenia,1973,9.8,total,all,mean_age_first_marriage,%,OECD
Spain,1973,1.6,total,all,mean_age_first_marriage,%,OECD
Sweden,1973,28.6,total,all,mean_age_first_marriage,%,OECD
Switzerland,1973,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1973,13.0,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1973,10.7,total,all,mean_age_first_marriage,%,OECD
Croatia,1973,5.0,total,all,mean_age_first_marriage,%,OECD
Austria,1974,13.8,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1974,4.3,total,all,mean_age_first_marriage,%,OECD
Denmark,1974,18.8,total,all,mean_age_first_marriage,%,OECD
Finland,1974,9.0,total,all,mean_age_first_marriage,%,OECD
Germany,1974,8.5,total,all,mean_age_first_marriage,%,OECD
Greece,1974,1.2,total,all,mean_age_first_marriage,%,OECD
Hungary,1974,5.7,total,all,mean_age_first_marriage,%,OECD
Italy,1974,2.6,total,all,mean_age_first_marriage,%,OECD
Latvia,1974,11.6,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1974,4.4,total,all,mean_age_first_marriage,%,OECD
Netherlands,1974,2.0,total,all,mean_age_first_marriage,%,OECD
New Zealand,1974,15.8,total,all,mean_age_first_marriage,%,OECD
Norway,1974,9.3,total,all,mean_age_first_marriage,%,OECD
Portugal,1974,7.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1974,5.3,total,all,mean_age_first_marriage,%,OECD
Slovenia,1974,9.9,total,all,mean_age_first_marriage,%,OECD
Spain,1974,1.5,total,all,mean_age_first_marriage,%,OECD
Sweden,1974,31.7,total,all,mean_age_first_marriage,%,OECD
Switzerland,1974,3.7,total,all,mean_age_first_marriage,%,OECD
United States,1974,13.2,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1974,9.6,total,all,mean_age_first_marriage,%,OECD
Croatia,1974,5.0,total,all,mean_age_first_marriage,%,OECD
Austria,1975,13.5,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1975,4.5,total,all,mean_age_first_marriage,%,OECD
Denmark,1975,21.7,total,all,mean_age_first_marriage,%,OECD
Finland,1975,10.1,total,all,mean_age_first_marriage,%,OECD
Germany,1975,8.5,total,all,mean_age_first_marriage,%,OECD
Greece,1975,1.3,total,all,mean_age_first_marriage,%,OECD
Hungary,1975,5.6,total,all,mean_age_first_marriage,%,OECD
Italy,1975,2.6,total,all,mean_age_first_marriage,%,OECD
Latvia,1975,11.7,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1975,4.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1975,2.1,total,all,mean_age_first_marriage,%,OECD
New Zealand,1975,16.6,total,all,mean_age_first_marriage,%,OECD
Norway,1975,10.3,total,all,mean_age_first_marriage,%,OECD
Portugal,1975,7.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1975,5.2,total,all,mean_age_first_marriage,%,OECD
Slovenia,1975,9.9,total,all,mean_age_first_marriage,%,OECD
Spain,1975,2.0,total,all,mean_age_first_marriage,%,OECD
Sweden,1975,32.8,total,all,mean_age_first_marriage,%,OECD
Switzerland,1975,3.7,total,all,mean_age_first_marriage,%,OECD
United States,1975,14.3,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1975,9.3,total,all,mean_age_first_marriage,%,OECD
Croatia,1975,4.9,total,all,mean_age_first_marriage,%,OECD
Austria,1976,13.8,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1976,4.5,total,all,mean_age_first_marriage,%,OECD
Denmark,1976,24.0,total,all,mean_age_first_marriage,%,OECD
Finland,1976,10.9,total,all,mean_age_first_marriage,%,OECD
Germany,1976,8.8,total,all,mean_age_first_marriage,%,OECD
Greece,1976,1.3,total,all,mean_age_first_marriage,%,OECD
Hungary,1976,5.7,total,all,mean_age_first_marriage,%,OECD
Italy,1976,3.1,total,all,mean_age_first_marriage,%,OECD
Latvia,1976,12.2,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1976,4.6,total,all,mean_age_first_marriage,%,OECD
Netherlands,1976,2.5,total,all,mean_age_first_marriage,%,OECD
New Zealand,1976,17.4,total,all,mean_age_first_marriage,%,OECD
Norway,1976,10.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1976,7.3,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1976,5.1,total,all,mean_age_first_marriage,%,OECD
Slovenia,1976,10.5,total,all,mean_age_first_marriage,%,OECD
Spain,1976,2.2,total,all,mean_age_first_marriage,%,OECD
Sweden,1976,33.5,total,all,mean_age_first_marriage,%,OECD
Switzerland,1976,3.8,total,all,mean_age_first_marriage,%,OECD
United States,1976,14.8,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1976,9.5,total,all,mean_age_first_marriage,%,OECD
Croatia,1976,4.9,total,all,mean_age_first_marriage,%,OECD
Austria,1977,14.2,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1977,4.6,total,all,mean_age_first_marriage,%,OECD
Denmark,1977,25.9,total,all,mean_age_first_marriage,%,OECD
Finland,1977,11.1,total,all,mean_age_first_marriage,%,OECD
Germany,1977,9.0,total,all,mean_age_first_marriage,%,OECD
Greece,1977,1.3,total,all,mean_age_first_marriage,%,OECD
Hungary,1977,5.9,total,all,mean_age_first_marriage,%,OECD
Italy,1977,3.5,total,all,mean_age_first_marriage,%,OECD
Latvia,1977,12.1,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1977,4.6,total,all,mean_age_first_marriage,%,OECD
Netherlands,1977,2.7,total,all,mean_age_first_marriage,%,OECD
New Zealand,1977,18.9,total,all,mean_age_first_marriage,%,OECD
Norway,1977,11.6,total,all,mean_age_first_marriage,%,OECD
Portugal,1977,7.2,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1977,5.2,total,all,mean_age_first_marriage,%,OECD
Slovenia,1977,10.6,total,all,mean_age_first_marriage,%,OECD
Spain,1977,2.3,total,all,mean_age_first_marriage,%,OECD
Sweden,1977,34.7,total,all,mean_age_first_marriage,%,OECD
Switzerland,1977,3.9,total,all,mean_age_first_marriage,%,OECD
United States,1977,15.5,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1977,9.8,total,all,mean_age_first_marriage,%,OECD
Croatia,1977,4.8,total,all,mean_age_first_marriage,%,OECD
Austria,1978,14.8,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1978,4.7,total,all,mean_age_first_marriage,%,OECD
Denmark,1978,27.9,total,all,mean_age_first_marriage,%,OECD
Finland,1978,11.4,total,all,mean_age_first_marriage,%,OECD
Germany,1978,9.9,total,all,mean_age_first_marriage,%,OECD
Greece,1978,1.4,total,all,mean_age_first_marriage,%,OECD
Hungary,1978,6.3,total,all,mean_age_first_marriage,%,OECD
Italy,1978,3.9,total,all,mean_age_first_marriage,%,OECD
Latvia,1978,12.0,total,all,mean_age_first_marriage,%,OECD
Luxembourg,1978,4.2,total,all,mean_age_first_marriage,%,OECD
Netherlands,1978,3.1,total,all,mean_age_first_marriage,%,OECD
New Zealand,1978,20.1,total,all,mean_age_first_marriage,%,OECD
Norway,1978,11.9,total,all,mean_age_first_marriage,%,OECD
Portugal,1978,7.7,total,all,mean_age_first_marriage,%,OECD
Slovak Republic,1978,5.2,total,all,mean_age_first_marriage,%,OECD
Slovenia,1978,11.0,total,all,mean_age_first_marriage,%,OECD
Spain,1978,2.5,total,all,mean_age_first_marriage,%,OECD
Sweden,1978,35.9,total,all,mean_age_first_marriage,%,OECD
Switzerland,1978,4.1,total,all,mean_age_first_marriage,%,OECD
United States,1978,16.3,total,all,mean_age_first_marriage,%,OECD
Bulgaria,1978,9.9,total,all,mean_age_first_marriage,%,OECD
Croatia,1978,4.7,total,all,mean_age_first_marriage,%,OECD
Austria,1979,16.5,total,all,mean_age_first_marriage,%,OECD
Czech Republic,1979,5.0,total,all,mean_age_first_marriage,%,OECD
