country,isocode,sex,agegroup,age_start,age_end,datavalue,dataprocess,datasource
Afghanistan,4,Women,[50-54],50,54,99.73,Survey,DHS_HH
Afghanistan,4,Women,[55-59],55,59,99.84,Survey,DHS_HH
Afghanistan,4,Women,[60-64],60,64,99.71,Survey,DHS_HH
Afghanistan,4,Women,[65-69],65,69,99.93,Survey,DHS_HH
Afghanistan,4,Women,[70-74],70,74,98.86,Survey,DHS_HH
Afghanistan,4,Women,[75+],75,999,98.92,Survey,DHS_HH
Albania,8,Men,[15-19],15,19,1.0,Census,US Census Bureau
Albania,8,Men,[20-24],20,24,11.2,Census,US Census Bureau
Albania,8,Men,[25-29],25,29,57.0,Census,US Census Bureau
Albania,8,Men,[30-34],30,34,87.62,Census,US Census Bureau
Albania,8,Men,[35-39],35,39,95.17,Census,US Census Bureau
Albania,8,Men,[40-44],40,44,96.7,Census,US Census Bureau
Albania,8,Men,[45-49],45,49,96.83,Census,US Census Bureau
Albania,8,Men,[50-54],50,54,96.79,Census,US Census Bureau
Albania,8,Men,[55-59],55,59,96.66,Census,US Census Bureau
Albania,8,Men,[60-64],60,64,96.5,Census,US Census Bureau
Albania,8,Men,[65+],65,999,96.3,Census,US Census Bureau
Albania,8,Women,[15-19],15,19,8.34,Census,US Census Bureau
Albania,8,Women,[20-24],20,24,52.23,Census,US Census Bureau
Albania,8,Women,[25-29],25,29,85.89,Census,US Census Bureau
Albania,8,Women,[30-34],30,34,94.02,Census,US Census Bureau
Albania,8,Women,[35-39],35,39,96.77,Census,US Census Bureau
Albania,8,Women,[40-44],40,44,98.24,Census,US Census Bureau
Albania,8,Women,[45-49],45,49,98.63,Census,US Census Bureau
Albania,8,Women,[50-54],50,54,98.61,Census,US Census Bureau
Albania,8,Women,[55-59],55,59,98.61,Census,US Census Bureau
Albania,8,Women,[60-64],60,64,98.56,Census,US Census Bureau
Albania,8,Women,[65+],65,999,98.87,Census,US Census Bureau
Albania,8,Women,[15-19],15,19,8.77,Survey,MICS
Albania,8,Women,[20-24],20,24,43.55,Survey,MICS
Albania,8,Women,[25-29],25,29,76.45,Survey,MICS
Albania,8,Women,[30-34],30,34,92.11,Survey,MICS
Albania,8,Women,[35-39],35,39,96.63,Survey,MICS
Albania,8,Women,[40-44],40,44,97.3,Survey,MICS
Albania,8,Women,[45-49],45,49,98.15,Survey,MICS
Albania,8,Men,[15-19],15,19,1.3,Survey,MICS_HH
Albania,8,Men,[20-24],20,24,8.4,Survey,MICS_HH
Albania,8,Men,[25-29],25,29,43.89,Survey,MICS_HH
Albania,8,Men,[30-34],30,34,81.88,Survey,MICS_HH
Albania,8,Men,[35-39],35,39,93.28,Survey,MICS_HH
Albania,8,Men,[40-44],40,44,97.52,Survey,MICS_HH
Albania,8,Men,[45-49],45,49,98.71,Survey,MICS_HH
Albania,8,Men,[50-54],50,54,99.3,Survey,MICS_HH
Albania,8,Men,[55-59],55,59,99.12,Survey,MICS_HH
Albania,8,Men,[60-64],60,64,99.11,Survey,MICS_HH
Albania,8,Men,[65-69],65,69,99.72,Survey,MICS_HH
Albania,8,Men,[70-74],70,74,99.4,Survey,MICS_HH
Albania,8,Men,[75+],75,999,97.71,Survey,MICS_HH
Albania,8,Women,[15-19],15,19,6.74,Survey,MICS_HH
Albania,8,Women,[20-24],20,24,39.79,Survey,MICS_HH
Albania,8,Women,[25-29],25,29,75.33,Survey,MICS_HH
Albania,8,Women,[30-34],30,34,90.85,Survey,MICS_HH
Albania,8,Women,[35-39],35,39,96.67,Survey,MICS_HH
Albania,8,Women,[40-44],40,44,97.29,Survey,MICS_HH
Albania,8,Women,[45-49],45,49,97.73,Survey,MICS_HH
Albania,8,Women,[50-54],50,54,98.59,Survey,MICS_HH
Albania,8,Women,[55-59],55,59,99.5,Survey,MICS_HH
Albania,8,Women,[60-64],60,64,99.59,Survey,MICS_HH
Albania,8,Women,[65-69],65,69,99.57,Survey,MICS_HH
Albania,8,Women,[70-74],70,74,99.22,Survey,MICS_HH
Albania,8,Women,[75+],75,999,99.54,Survey,MICS_HH
Albania,8,Men,[10-14],10,14,0.03,Census,UNSD
Albania,8,Men,[15-19],15,19,0.9,Census,UNSD
Albania,8,Men,[20-24],20,24,13.68,Census,UNSD
Albania,8,Men,[25-29],25,29,54.95,Census,UNSD
Albania,8,Men,[30-34],30,34,85.35,Census,UNSD
Albania,8,Men,[35-39],35,39,94.46,Census,UNSD
Albania,8,Men,[40-44],40,44,96.78,Census,UNSD
Albania,8,Men,[45-49],45,49,97.7,Census,UNSD
Albania,8,Men,[50-54],50,54,98.09,Census,UNSD
Albania,8,Men,[55-59],55,59,98.18,Census,UNSD
Albania,8,Men,[60-64],60,64,98.13,Census,UNSD
Albania,8,Men,[65-69],65,69,98.18,Census,UNSD
Albania,8,Men,[70-74],70,74,98.07,Census,UNSD
Albania,8,Men,[75+],75,999,97.87,Census,UNSD
Albania,8,Women,[10-14],10,14,0.07,Census,UNSD
Albania,8,Women,[15-19],15,19,9.6,Census,UNSD
Albania,8,Women,[20-24],20,24,49.99,Census,UNSD
Albania,8,Women,[25-29],25,29,80.62,Census,UNSD
Albania,8,Women,[30-34],30,34,91.75,Census,UNSD
Albania,8,Women,[35-39],35,39,95.42,Census,UNSD
Albania,8,Women,[40-44],40,44,96.57,Census,UNSD
Albania,8,Women,[45-49],45,49,97.31,Census,UNSD
Albania,8,Women,[50-54],50,54,98.14,Census,UNSD
Albania,8,Women,[55-59],55,59,98.42,Census,UNSD
Albania,8,Women,[60-64],60,64,98.46,Census,UNSD
Albania,8,Women,[65-69],65,69,98.31,Census,UNSD
Albania,8,Women,[70-74],70,74,98.24,Census,UNSD
Albania,8,Women,[75+],75,999,98.16,Census,UNSD
Albania,8,Men,[15-19],15,19,0.0,Survey,RHS
Albania,8,Men,[20-24],20,24,13.7,Survey,RHS
Albania,8,Men,[25-29],25,29,61.2,Survey,RHS
Albania,8,Men,[30-34],30,34,87.7,Survey,RHS
Albania,8,Men,[35-39],35,39,95.6,Survey,RHS
Albania,8,Men,[40-44],40,44,99.4,Survey,RHS
Albania,8,Men,[45-49],45,49,98.9,Survey,RHS
Albania,8,Women,[15-19],15,19,9.5,Survey,RHS
Albania,8,Women,[20-24],20,24,49.8,Survey,RHS
Albania,8,Women,[25-29],25,29,81.7,Survey,RHS
Albania,8,Women,[30-34],30,34,91.3,Survey,RHS
Albania,8,Women,[35-39],35,39,96.2,Survey,RHS
Albania,8,Women,[40-44],40,44,97.1,Survey,RHS
Albania,8,Women,[15-19],15,19,5.24,Survey,MICS
Albania,8,Women,[20-24],20,24,35.89,Survey,MICS
Albania,8,Women,[25-29],25,29,75.13,Survey,MICS
Albania,8,Women,[30-34],30,34,91.54,Survey,MICS
Albania,8,Women,[35-39],35,39,94.48,Survey,MICS
Albania,8,Women,[40-44],40,44,97.31,Survey,MICS
Albania,8,Women,[45-49],45,49,97.95,Survey,MICS
Albania,8,Men,[15-19],15,19,0.9,Survey,DHS_HH
Albania,8,Men,[15-19],15,19,0.9,Survey,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,8.3,Survey,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,9.1,Survey,DHS_HH
Albania,8,Men,[25-29],25,29,42.8,Survey,DHS_HH
Albania,8,Men,[25-29],25,29,42.2,Survey,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,78.7,Survey,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,76.9,Survey,DHS_HH
Albania,8,Men,[35-39],35,39,90.6,Survey,DHS_HH
Albania,8,Men,[35-39],35,39,91.9,Survey,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,97.1,Survey,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,96.0,Survey,DHS_HH
Albania,8,Men,[45-49],45,49,98.3,Survey,DHS_HH
Albania,8,Men,[45-49],45,49,98.3,Survey,DHS_STATcompiler
Albania,8,Men,[50-54],50,54,98.4,Survey,DHS_HH
Albania,8,Men,[55-59],55,59,99.2,Survey,DHS_HH
Albania,8,Men,[60-64],60,64,99.5,Survey,DHS_HH
Albania,8,Men,[65-69],65,69,99.3,Survey,DHS_HH
Albania,8,Men,[70-74],70,74,99.2,Survey,DHS_HH
Albania,8,Men,[75+],75,999,99.6,Survey,DHS_HH
Albania,8,Women,[15-19],15,19,6.7,Survey,DHS_HH
Albania,8,Women,[15-19],15,19,7.7,Survey,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,37.7,Survey,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,35.6,Survey,DHS_HH
Albania,8,Women,[25-29],25,29,71.6,Survey,DHS_HH
Albania,8,Women,[25-29],25,29,73.2,Survey,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,90.6,Survey,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,89.4,Survey,DHS_HH
Albania,8,Women,[35-39],35,39,95.8,Survey,DHS_HH
Albania,8,Women,[35-39],35,39,96.8,Survey,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,97.8,Survey,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,96.7,Survey,DHS_HH
Albania,8,Women,[45-49],45,49,98.2,Survey,DHS_HH
Albania,8,Women,[45-49],45,49,98.9,Survey,DHS_STATcompiler
Albania,8,Women,[50-54],50,54,97.8,Survey,DHS_HH
Albania,8,Women,[55-59],55,59,98.0,Survey,DHS_HH
Albania,8,Women,[60-64],60,64,99.1,Survey,DHS_HH
Albania,8,Women,[65-69],65,69,98.7,Survey,DHS_HH
Albania,8,Women,[70-74],70,74,98.6,Survey,DHS_HH
Albania,8,Women,[75+],75,999,98.6,Survey,DHS_HH
Albania,8,Men,[10-14],10,14,0.0,Census,UNSD
Albania,8,Men,[15-19],15,19,1.97,Census,UNSD
Albania,8,Men,[20-24],20,24,9.79,Census,UNSD
Albania,8,Men,[25-29],25,29,38.96,Census,UNSD
Albania,8,Men,[30-34],30,34,73.67,Census,UNSD
Albania,8,Men,[35-39],35,39,88.88,Census,UNSD
Albania,8,Men,[40-44],40,44,94.58,Census,UNSD
Albania,8,Men,[45-49],45,49,96.91,Census,UNSD
Albania,8,Men,[50-54],50,54,97.82,Census,UNSD
Albania,8,Men,[55-59],55,59,98.35,Census,UNSD
Albania,8,Men,[60-64],60,64,98.76,Census,UNSD
Albania,8,Men,[65-69],65,69,98.74,Census,UNSD
Albania,8,Men,[70-74],70,74,98.65,Census,UNSD
Albania,8,Men,[75+],75,999,98.41,Census,UNSD
Albania,8,Women,[10-14],10,14,0.0,Census,UNSD
Albania,8,Women,[15-19],15,19,7.24,Census,UNSD
Albania,8,Women,[20-24],20,24,37.45,Census,UNSD
Albania,8,Women,[25-29],25,29,68.9,Census,UNSD
Albania,8,Women,[30-34],30,34,85.32,Census,UNSD
Albania,8,Women,[35-39],35,39,92.66,Census,UNSD
Albania,8,Women,[40-44],40,44,95.66,Census,UNSD
Albania,8,Women,[45-49],45,49,96.91,Census,UNSD
Albania,8,Women,[50-54],50,54,97.37,Census,UNSD
Albania,8,Women,[55-59],55,59,97.65,Census,UNSD
Albania,8,Women,[60-64],60,64,98.35,Census,UNSD
Albania,8,Women,[65-69],65,69,98.65,Census,UNSD
Albania,8,Women,[70-74],70,74,98.33,Census,UNSD
Albania,8,Women,[75+],75,999,97.95,Census,UNSD
Albania,8,Men,[15-19],15,19,1.51,Survey,DHS_HH
Albania,8,Men,[15-19],15,19,0.2,Survey,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,7.3,Survey,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,8.01,Survey,DHS_HH
Albania,8,Men,[25-29],25,29,29.36,Survey,DHS_HH
Albania,8,Men,[25-29],25,29,27.2,Survey,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,65.2,Survey,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,61.75,Survey,DHS_HH
Albania,8,Men,[35-39],35,39,81.55,Survey,DHS_HH
Albania,8,Men,[35-39],35,39,82.2,Survey,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,93.4,Survey,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,91.52,Survey,DHS_HH
Albania,8,Men,[45-49],45,49,95.95,Survey,DHS_HH
Albania,8,Men,[45-49],45,49,97.3,Survey,DHS_STATcompiler
Albania,8,Men,[50-54],50,54,97.28,Survey,DHS_HH
Albania,8,Men,[55-59],55,59,97.75,Survey,DHS_HH
Albania,8,Men,[60-64],60,64,95.44,Survey,DHS_HH
Albania,8,Men,[65-69],65,69,95.75,Survey,DHS_HH
Albania,8,Men,[70-74],70,74,90.08,Survey,DHS_HH
Albania,8,Men,[75+],75,999,81.92,Survey,DHS_HH
Albania,8,Women,[15-19],15,19,7.17,Survey,DHS_HH
Albania,8,Women,[15-19],15,19,7.0,Survey,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,42.3,Survey,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,37.63,Survey,DHS_HH
Albania,8,Women,[25-29],25,29,68.13,Survey,DHS_HH
Albania,8,Women,[25-29],25,29,73.8,Survey,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,89.6,Survey,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,84.66,Survey,DHS_HH
Albania,8,Women,[35-39],35,39,89.79,Survey,DHS_HH
Albania,8,Women,[35-39],35,39,93.1,Survey,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,97.4,Survey,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,92.8,Survey,DHS_HH
Albania,8,Women,[45-49],45,49,93.28,Survey,DHS_HH
Albania,8,Women,[45-49],45,49,97.0,Survey,DHS_STATcompiler
Albania,8,Women,[50-54],50,54,93.54,Survey,DHS_HH
Albania,8,Women,[55-59],55,59,87.96,Survey,DHS_HH
Albania,8,Women,[60-64],60,64,82.71,Survey,DHS_HH
Albania,8,Women,[65-69],65,69,76.18,Survey,DHS_HH
Albania,8,Women,[70-74],70,74,61.89,Survey,DHS_HH
Albania,8,Women,[75+],75,999,34.48,Survey,DHS_HH
Algeria,12,Men,[15-19],15,19,2.5,Census,US Census Bureau
Algeria,12,Men,[20-24],20,24,29.0,Census,US Census Bureau
Algeria,12,Men,[25-29],25,29,70.3,Census,US Census Bureau
Algeria,12,Men,[30-34],30,34,91.51,Census,US Census Bureau
Algeria,12,Men,[35-39],35,39,96.31,Census,US Census Bureau
Algeria,12,Men,[40-44],40,44,97.5,Census,US Census Bureau
Algeria,12,Men,[45-49],45,49,98.1,Census,US Census Bureau
Algeria,12,Men,[50-54],50,54,98.6,Census,US Census Bureau
Algeria,12,Men,[55-59],55,59,98.51,Census,US Census Bureau
Algeria,12,Men,[60-64],60,64,98.81,Census,US Census Bureau
Algeria,12,Men,[65+],65,999,98.6,Census,US Census Bureau
Algeria,12,Men,[65-69],65,69,98.6,Census,US Census Bureau
Algeria,12,Women,[15-19],15,19,23.6,Census,US Census Bureau
Algeria,12,Women,[20-24],20,24,69.0,Census,US Census Bureau
Algeria,12,Women,[25-29],25,29,89.1,Census,US Census Bureau
Algeria,12,Women,[30-34],30,34,96.4,Census,US Census Bureau
Algeria,12,Women,[35-39],35,39,98.2,Census,US Census Bureau
Algeria,12,Women,[40-44],40,44,98.71,Census,US Census Bureau
Algeria,12,Women,[45-49],45,49,99.0,Census,US Census Bureau
Algeria,12,Women,[50-54],50,54,99.2,Census,US Census Bureau
Algeria,12,Women,[55-59],55,59,99.0,Census,US Census Bureau
Algeria,12,Women,[60-64],60,64,99.3,Census,US Census Bureau
Algeria,12,Women,[65+],65,999,99.2,Census,US Census Bureau
Algeria,12,Women,[65-69],65,69,99.2,Census,US Census Bureau
Algeria,12,Men,[10-14],10,14,0.0,Census,UNSD
Algeria,12,Men,[15-19],15,19,0.76,Census,UNSD
Algeria,12,Men,[20-24],20,24,10.88,Census,UNSD
Algeria,12,Men,[25-29],25,29,50.61,Census,UNSD
Algeria,12,Men,[30-34],30,34,83.79,Census,UNSD
Algeria,12,Men,[35-39],35,39,94.35,Census,UNSD
Algeria,12,Men,[40-44],40,44,97.02,Census,UNSD
Algeria,12,Men,[45-49],45,49,97.59,Census,UNSD
Algeria,12,Men,[50-54],50,54,97.56,Census,UNSD
Algeria,12,Men,[55-59],55,59,98.06,Census,UNSD
Algeria,12,Men,[60-64],60,64,97.82,Census,UNSD
Algeria,12,Men,[65+],65,999,96.0,Census,UNSD
Algeria,12,Women,[10-14],10,14,0.2,Census,UNSD
Algeria,12,Women,[15-19],15,19,9.61,Census,UNSD
Algeria,12,Women,[20-24],20,24,47.9,Census,UNSD
Algeria,12,Women,[25-29],25,29,77.93,Census,UNSD
Algeria,12,Women,[30-34],30,34,90.92,Census,UNSD
Algeria,12,Women,[35-39],35,39,95.7,Census,UNSD
Algeria,12,Women,[40-44],40,44,97.93,Census,UNSD
Algeria,12,Women,[45-49],45,49,98.57,Census,UNSD
Algeria,12,Women,[50-54],50,54,98.65,Census,UNSD
Algeria,12,Women,[55-59],55,59,98.74,Census,UNSD
Algeria,12,Women,[60-64],60,64,98.53,Census,UNSD
Algeria,12,Women,[65+],65,999,96.93,Census,UNSD
Algeria,12,Women,[15-19],15,19,3.5,Survey,PAPCHILD
Algeria,12,Women,[20-24],20,24,29.67,Survey,PAPCHILD
Algeria,12,Women,[25-29],25,29,65.2,Survey,PAPCHILD
Algeria,12,Women,[30-34],30,34,86.82,Survey,PAPCHILD
Algeria,12,Women,[35-39],35,39,93.6,Survey,PAPCHILD
Algeria,12,Women,[40-44],40,44,96.91,Survey,PAPCHILD
Algeria,12,Women,[45-49],45,49,98.1,Survey,PAPCHILD
Algeria,12,Men,[15-19],15,19,0.2,Survey,PAPFAM
Algeria,12,Men,[20-24],20,24,1.6,Survey,PAPFAM
Algeria,12,Men,[25-29],25,29,14.61,Survey,PAPFAM
Algeria,12,Men,[30-34],30,34,46.35,Survey,PAPFAM
Algeria,12,Men,[35-39],35,39,81.1,Survey,PAPFAM
Algeria,12,Men,[40-44],40,44,92.7,Survey,PAPFAM
Algeria,12,Men,[45-49],45,49,97.7,Survey,PAPFAM
Algeria,12,Men,[50-54],50,54,98.7,Survey,PAPFAM
Algeria,12,Men,[55-59],55,59,99.1,Survey,PAPFAM
Algeria,12,Men,[60-64],60,64,99.7,Survey,PAPFAM
Algeria,12,Men,[65-69],65,69,99.8,Survey,PAPFAM
Algeria,12,Women,[15-19],15,19,1.8,Survey,PAPFAM
Algeria,12,Women,[20-24],20,24,16.6,Survey,PAPFAM
Algeria,12,Women,[25-29],25,29,42.44,Survey,PAPFAM
Algeria,12,Women,[30-34],30,34,66.26,Survey,PAPFAM
Algeria,12,Women,[35-39],35,39,83.4,Survey,PAPFAM
Algeria,12,Women,[40-44],40,44,90.88,Survey,PAPFAM
Algeria,12,Women,[45-49],45,49,96.2,Survey,PAPFAM
Algeria,12,Women,[50-54],50,54,97.4,Survey,PAPFAM
Algeria,12,Women,[55-59],55,59,98.5,Survey,PAPFAM
Algeria,12,Women,[60-64],60,64,99.4,Survey,PAPFAM
Algeria,12,Women,[65-69],65,69,99.1,Survey,PAPFAM
Algeria,12,Men,[15-19],15,19,0.3,Survey,INED
Algeria,12,Men,[20-24],20,24,1.8,Survey,INED
Algeria,12,Men,[25-29],25,29,14.5,Survey,INED
Algeria,12,Men,[30-34],30,34,43.7,Survey,INED
Algeria,12,Men,[35-39],35,39,74.0,Survey,INED
Algeria,12,Men,[40-44],40,44,91.5,Survey,INED
Algeria,12,Men,[45-49],45,49,96.6,Survey,INED
Algeria,12,Men,[50-54],50,54,98.2,Survey,INED
Algeria,12,Men,[55-59],55,59,99.1,Survey,INED
Algeria,12,Men,[60-64],60,64,98.7,Survey,INED
Algeria,12,Men,[65-69],65,69,99.0,Survey,INED
Algeria,12,Men,[70+],70,999,99.3,Survey,INED
Algeria,12,Women,[15-19],15,19,1.9,Survey,INED
Algeria,12,Women,[20-24],20,24,17.2,Survey,INED
Algeria,12,Women,[25-29],25,29,42.6,Survey,INED
Algeria,12,Women,[30-34],30,34,64.0,Survey,INED
Algeria,12,Women,[35-39],35,39,78.6,Survey,INED
Algeria,12,Women,[40-44],40,44,89.6,Survey,INED
Algeria,12,Women,[45-49],45,49,94.9,Survey,INED
Algeria,12,Women,[50-54],50,54,96.8,Survey,INED
Algeria,12,Women,[55-59],55,59,98.4,Survey,INED
Algeria,12,Women,[60-64],60,64,98.7,Survey,INED
Algeria,12,Women,[65-69],65,69,99.2,Survey,INED
Algeria,12,Women,[70+],70,999,99.0,Survey,INED
Algeria,12,Men,[10-14],10,14,0.0,Census,UNSD
Algeria,12,Men,[15-19],15,19,0.12,Census,UNSD
Algeria,12,Men,[20-24],20,24,1.98,Census,UNSD
Algeria,12,Men,[25-29],25,29,17.47,Census,UNSD
Algeria,12,Men,[30-34],30,34,50.02,Census,UNSD
Algeria,12,Men,[35-39],35,39,75.7,Census,UNSD
Algeria,12,Men,[40-44],40,44,89.85,Census,UNSD
Algeria,12,Men,[45-49],45,49,95.28,Census,UNSD
Algeria,12,Men,[50-54],50,54,97.69,Census,UNSD
Algeria,12,Men,[55-59],55,59,98.59,Census,UNSD
Algeria,12,Men,[60-64],60,64,99.04,Census,UNSD
