country,mothers_education,living_arrangement,value,unit,source,indicator,year
France,low,cohabiting,19.9,%,OECD,children_by_mothers_level_of_education,2016
Greece,low,cohabiting,1.48,%,OECD,children_by_mothers_level_of_education,2016
Hungary,low,cohabiting,30.85,%,OECD,children_by_mothers_level_of_education,2016
Iceland,low,cohabiting,28.69,%,OECD,children_by_mothers_level_of_education,2016
Ireland,low,cohabiting,13.78,%,OECD,children_by_mothers_level_of_education,2016
Italy,low,cohabiting,6.33,%,OECD,children_by_mothers_level_of_education,2016
Latvia,low,cohabiting,34.61,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,low,cohabiting,28.21,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,low,cohabiting,9.87,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,low,cohabiting,7.25,%,OECD,children_by_mothers_level_of_education,2016
Norway,low,cohabiting,20.84,%,OECD,children_by_mothers_level_of_education,2016
Poland,low,cohabiting,13.4,%,OECD,children_by_mothers_level_of_education,2016
Portugal,low,cohabiting,15.5,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,low,cohabiting,15.51,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,low,cohabiting,18.5,%,OECD,children_by_mothers_level_of_education,2016
Spain,low,cohabiting,12.85,%,OECD,children_by_mothers_level_of_education,2016
Sweden,low,cohabiting,15.78,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,low,cohabiting,7.23,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,low,cohabiting,20.9,%,OECD,children_by_mothers_level_of_education,2016
United States,low,cohabiting,7.76,%,OECD,children_by_mothers_level_of_education,2016
OECD average,low,cohabiting,18.28,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,low,cohabiting,49.2,%,OECD,children_by_mothers_level_of_education,2016
Croatia,low,cohabiting,5.96,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,low,cohabiting,9.58,%,OECD,children_by_mothers_level_of_education,2016
Malta,low,cohabiting,1.35,%,OECD,children_by_mothers_level_of_education,2016
Romania,low,cohabiting,13.64,%,OECD,children_by_mothers_level_of_education,2016
EU average,low,cohabiting,18.23,%,OECD,children_by_mothers_level_of_education,2016
Austria,low,mother,18.08,%,OECD,children_by_mothers_level_of_education,2016
Belgium,low,mother,31.39,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,low,mother,20.99,%,OECD,children_by_mothers_level_of_education,2016
Estonia,low,mother,17.19,%,OECD,children_by_mothers_level_of_education,2016
Finland,low,mother,23.13,%,OECD,children_by_mothers_level_of_education,2016
France,low,mother,24.01,%,OECD,children_by_mothers_level_of_education,2016
Greece,low,mother,6.27,%,OECD,children_by_mothers_level_of_education,2016
Hungary,low,mother,25.2,%,OECD,children_by_mothers_level_of_education,2016
Iceland,low,mother,21.75,%,OECD,children_by_mothers_level_of_education,2016
Ireland,low,mother,28.67,%,OECD,children_by_mothers_level_of_education,2016
Italy,low,mother,9.06,%,OECD,children_by_mothers_level_of_education,2016
Latvia,low,mother,38.47,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,low,mother,24.42,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,low,mother,19.28,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,low,mother,19.02,%,OECD,children_by_mothers_level_of_education,2016
Norway,low,mother,37.92,%,OECD,children_by_mothers_level_of_education,2016
Poland,low,mother,23.17,%,OECD,children_by_mothers_level_of_education,2016
Portugal,low,mother,22.89,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,low,mother,24.28,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,low,mother,10.46,%,OECD,children_by_mothers_level_of_education,2016
Spain,low,mother,18.63,%,OECD,children_by_mothers_level_of_education,2016
Sweden,low,mother,30.19,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,low,mother,4.63,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,low,mother,32.8,%,OECD,children_by_mothers_level_of_education,2016
United States,low,mother,34.12,%,OECD,children_by_mothers_level_of_education,2016
OECD average,low,mother,21.95,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,low,mother,17.02,%,OECD,children_by_mothers_level_of_education,2016
Croatia,low,mother,9.11,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,low,mother,16.15,%,OECD,children_by_mothers_level_of_education,2016
Malta,low,mother,24.63,%,OECD,children_by_mothers_level_of_education,2016
Romania,low,mother,10.52,%,OECD,children_by_mothers_level_of_education,2016
EU average,low,mother,20.01,%,OECD,children_by_mothers_level_of_education,2016
Austria,medium,married,71.38,%,OECD,children_by_mothers_level_of_education,2016
Belgium,medium,married,55.17,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,medium,married,68.66,%,OECD,children_by_mothers_level_of_education,2016
Estonia,medium,married,51.28,%,OECD,children_by_mothers_level_of_education,2016
Finland,medium,married,62.39,%,OECD,children_by_mothers_level_of_education,2016
France,medium,married,50.01,%,OECD,children_by_mothers_level_of_education,2016
Greece,medium,married,91.73,%,OECD,children_by_mothers_level_of_education,2016
Hungary,medium,married,61.27,%,OECD,children_by_mothers_level_of_education,2016
Iceland,medium,married,52.61,%,OECD,children_by_mothers_level_of_education,2016
Ireland,medium,married,64.3,%,OECD,children_by_mothers_level_of_education,2016
Italy,medium,married,77.97,%,OECD,children_by_mothers_level_of_education,2016
Latvia,medium,married,48.92,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,medium,married,64.73,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,medium,married,80.42,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,medium,married,74.66,%,OECD,children_by_mothers_level_of_education,2016
Norway,medium,married,52.26,%,OECD,children_by_mothers_level_of_education,2016
Poland,medium,married,73.41,%,OECD,children_by_mothers_level_of_education,2016
Portugal,medium,married,67.5,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,medium,married,79.66,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,medium,married,51.56,%,OECD,children_by_mothers_level_of_education,2016
Spain,medium,married,71.68,%,OECD,children_by_mothers_level_of_education,2016
Sweden,medium,married,55.78,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,medium,married,79.09,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,medium,married,51.69,%,OECD,children_by_mothers_level_of_education,2016
United States,medium,married,61.04,%,OECD,children_by_mothers_level_of_education,2016
OECD average,medium,married,66.41,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,medium,married,70.31,%,OECD,children_by_mothers_level_of_education,2016
Croatia,medium,married,90.67,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,medium,married,84.09,%,OECD,children_by_mothers_level_of_education,2016
Malta,medium,married,87.72,%,OECD,children_by_mothers_level_of_education,2016
Romania,medium,married,87.57,%,OECD,children_by_mothers_level_of_education,2016
EU average,medium,married,70.49,%,OECD,children_by_mothers_level_of_education,2016
Austria,medium,cohabiting,14.19,%,OECD,children_by_mothers_level_of_education,2016
Belgium,medium,cohabiting,20.82,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,medium,cohabiting,18.88,%,OECD,children_by_mothers_level_of_education,2016
Estonia,medium,cohabiting,30.84,%,OECD,children_by_mothers_level_of_education,2016
Finland,medium,cohabiting,22.57,%,OECD,children_by_mothers_level_of_education,2016
France,medium,cohabiting,29.15,%,OECD,children_by_mothers_level_of_education,2016
Greece,medium,cohabiting,0.21,%,OECD,children_by_mothers_level_of_education,2016
Hungary,medium,cohabiting,14.94,%,OECD,children_by_mothers_level_of_education,2016
Iceland,medium,cohabiting,29.14,%,OECD,children_by_mothers_level_of_education,2016
Ireland,medium,cohabiting,13.24,%,OECD,children_by_mothers_level_of_education,2016
Italy,medium,cohabiting,8.75,%,OECD,children_by_mothers_level_of_education,2016
Latvia,medium,cohabiting,19.53,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,medium,cohabiting,9.59,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,medium,cohabiting,6.2,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,medium,cohabiting,14.12,%,OECD,children_by_mothers_level_of_education,2016
Norway,medium,cohabiting,25.79,%,OECD,children_by_mothers_level_of_education,2016
Poland,medium,cohabiting,16.47,%,OECD,children_by_mothers_level_of_education,2016
Portugal,medium,cohabiting,16.31,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,medium,cohabiting,6.17,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,medium,cohabiting,33.65,%,OECD,children_by_mothers_level_of_education,2016
Spain,medium,cohabiting,11.48,%,OECD,children_by_mothers_level_of_education,2016
Sweden,medium,cohabiting,32.54,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,medium,cohabiting,8.64,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,medium,cohabiting,20.33,%,OECD,children_by_mothers_level_of_education,2016
United States,medium,cohabiting,5.83,%,OECD,children_by_mothers_level_of_education,2016
OECD average,medium,cohabiting,15.26,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,medium,cohabiting,15.86,%,OECD,children_by_mothers_level_of_education,2016
Croatia,medium,cohabiting,2.24,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,medium,cohabiting,2.98,%,OECD,children_by_mothers_level_of_education,2016
Malta,medium,cohabiting,1.96,%,OECD,children_by_mothers_level_of_education,2016
Romania,medium,cohabiting,5.14,%,OECD,children_by_mothers_level_of_education,2016
EU average,medium,cohabiting,13.58,%,OECD,children_by_mothers_level_of_education,2016
Austria,medium,mother,14.44,%,OECD,children_by_mothers_level_of_education,2016
Belgium,medium,mother,24.01,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,medium,mother,12.47,%,OECD,children_by_mothers_level_of_education,2016
Estonia,medium,mother,17.88,%,OECD,children_by_mothers_level_of_education,2016
Finland,medium,mother,15.04,%,OECD,children_by_mothers_level_of_education,2016
France,medium,mother,20.84,%,OECD,children_by_mothers_level_of_education,2016
Greece,medium,mother,8.06,%,OECD,children_by_mothers_level_of_education,2016
Hungary,medium,mother,23.8,%,OECD,children_by_mothers_level_of_education,2016
Iceland,medium,mother,18.25,%,OECD,children_by_mothers_level_of_education,2016
Ireland,medium,mother,22.46,%,OECD,children_by_mothers_level_of_education,2016
Italy,medium,mother,13.27,%,OECD,children_by_mothers_level_of_education,2016
Latvia,medium,mother,31.55,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,medium,mother,25.68,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,medium,mother,13.38,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,medium,mother,11.22,%,OECD,children_by_mothers_level_of_education,2016
Norway,medium,mother,21.95,%,OECD,children_by_mothers_level_of_education,2016
Poland,medium,mother,10.13,%,OECD,children_by_mothers_level_of_education,2016
Portugal,medium,mother,16.19,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,medium,mother,14.17,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,medium,mother,14.79,%,OECD,children_by_mothers_level_of_education,2016
Spain,medium,mother,16.84,%,OECD,children_by_mothers_level_of_education,2016
Sweden,medium,mother,11.68,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,medium,mother,12.27,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,medium,mother,27.98,%,OECD,children_by_mothers_level_of_education,2016
United States,medium,mother,33.13,%,OECD,children_by_mothers_level_of_education,2016
OECD average,medium,mother,18.33,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,medium,mother,13.83,%,OECD,children_by_mothers_level_of_education,2016
Croatia,medium,mother,7.09,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,medium,mother,12.93,%,OECD,children_by_mothers_level_of_education,2016
Malta,medium,mother,10.32,%,OECD,children_by_mothers_level_of_education,2016
Romania,medium,mother,7.28,%,OECD,children_by_mothers_level_of_education,2016
EU average,medium,mother,15.94,%,OECD,children_by_mothers_level_of_education,2016
Austria,high,married,74.76,%,OECD,children_by_mothers_level_of_education,2016
Belgium,high,married,64.22,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,high,married,80.04,%,OECD,children_by_mothers_level_of_education,2016
Estonia,high,married,59.41,%,OECD,children_by_mothers_level_of_education,2016
Finland,high,married,77.02,%,OECD,children_by_mothers_level_of_education,2016
France,high,married,61.01,%,OECD,children_by_mothers_level_of_education,2016
Greece,high,married,93.62,%,OECD,children_by_mothers_level_of_education,2016
Hungary,high,married,81.07,%,OECD,children_by_mothers_level_of_education,2016
Iceland,high,married,63.7,%,OECD,children_by_mothers_level_of_education,2016
Ireland,high,married,79.16,%,OECD,children_by_mothers_level_of_education,2016
Italy,high,married,81.7,%,OECD,children_by_mothers_level_of_education,2016
Latvia,high,married,66.42,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,high,married,79.06,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,high,married,86.17,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,high,married,73.79,%,OECD,children_by_mothers_level_of_education,2016
Norway,high,married,66.2,%,OECD,children_by_mothers_level_of_education,2016
Poland,high,married,80.1,%,OECD,children_by_mothers_level_of_education,2016
Portugal,high,married,78.34,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,high,married,85.77,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,high,married,61.76,%,OECD,children_by_mothers_level_of_education,2016
Spain,high,married,83.48,%,OECD,children_by_mothers_level_of_education,2016
Sweden,high,married,65.09,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,high,married,80.38,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,high,married,78.63,%,OECD,children_by_mothers_level_of_education,2016
United States,high,married,81.91,%,OECD,children_by_mothers_level_of_education,2016
OECD average,high,married,77.17,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,high,married,81.24,%,OECD,children_by_mothers_level_of_education,2016
Croatia,high,married,90.12,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,high,married,91.58,%,OECD,children_by_mothers_level_of_education,2016
Malta,high,married,87.89,%,OECD,children_by_mothers_level_of_education,2016
Romania,high,married,91.88,%,OECD,children_by_mothers_level_of_education,2016
EU average,high,married,79.44,%,OECD,children_by_mothers_level_of_education,2016
Austria,high,cohabiting,13.8,%,OECD,children_by_mothers_level_of_education,2016
Belgium,high,cohabiting,23.75,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,high,cohabiting,13.1,%,OECD,children_by_mothers_level_of_education,2016
Estonia,high,cohabiting,28.64,%,OECD,children_by_mothers_level_of_education,2016
Finland,high,cohabiting,15.31,%,OECD,children_by_mothers_level_of_education,2016
France,high,cohabiting,27.65,%,OECD,children_by_mothers_level_of_education,2016
Greece,high,cohabiting,0.69,%,OECD,children_by_mothers_level_of_education,2016
Hungary,high,cohabiting,7.57,%,OECD,children_by_mothers_level_of_education,2016
Iceland,high,cohabiting,23.26,%,OECD,children_by_mothers_level_of_education,2016
Ireland,high,cohabiting,9.23,%,OECD,children_by_mothers_level_of_education,2016
Italy,high,cohabiting,8.56,%,OECD,children_by_mothers_level_of_education,2016
Latvia,high,cohabiting,13.67,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,high,cohabiting,3.62,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,high,cohabiting,6.63,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,high,cohabiting,17.91,%,OECD,children_by_mothers_level_of_education,2016
Norway,high,cohabiting,23.45,%,OECD,children_by_mothers_level_of_education,2016
Poland,high,cohabiting,14.16,%,OECD,children_by_mothers_level_of_education,2016
Portugal,high,cohabiting,11.2,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,high,cohabiting,7.77,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,high,cohabiting,29.3,%,OECD,children_by_mothers_level_of_education,2016
Spain,high,cohabiting,7.49,%,OECD,children_by_mothers_level_of_education,2016
Sweden,high,cohabiting,26.01,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,high,cohabiting,7.64,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,high,cohabiting,8.97,%,OECD,children_by_mothers_level_of_education,2016
United States,high,cohabiting,1.88,%,OECD,children_by_mothers_level_of_education,2016
OECD average,high,cohabiting,12.2,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,high,cohabiting,9.25,%,OECD,children_by_mothers_level_of_education,2016
Croatia,high,cohabiting,3.75,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,high,cohabiting,1.75,%,OECD,children_by_mothers_level_of_education,2016
Malta,high,cohabiting,2.49,%,OECD,children_by_mothers_level_of_education,2016
Romania,high,cohabiting,0.44,%,OECD,children_by_mothers_level_of_education,2016
EU average,high,cohabiting,10.77,%,OECD,children_by_mothers_level_of_education,2016
Austria,high,mother,11.44,%,OECD,children_by_mothers_level_of_education,2016
Belgium,high,mother,12.02,%,OECD,children_by_mothers_level_of_education,2016
Czech Republic,high,mother,6.85,%,OECD,children_by_mothers_level_of_education,2016
Estonia,high,mother,11.95,%,OECD,children_by_mothers_level_of_education,2016
Finland,high,mother,7.67,%,OECD,children_by_mothers_level_of_education,2016
France,high,mother,11.34,%,OECD,children_by_mothers_level_of_education,2016
Greece,high,mother,5.69,%,OECD,children_by_mothers_level_of_education,2016
Hungary,high,mother,11.36,%,OECD,children_by_mothers_level_of_education,2016
Iceland,high,mother,13.04,%,OECD,children_by_mothers_level_of_education,2016
Ireland,high,mother,11.61,%,OECD,children_by_mothers_level_of_education,2016
Italy,high,mother,9.74,%,OECD,children_by_mothers_level_of_education,2016
Latvia,high,mother,19.91,%,OECD,children_by_mothers_level_of_education,2016
Lithuania,high,mother,17.32,%,OECD,children_by_mothers_level_of_education,2016
Luxembourg,high,mother,7.2,%,OECD,children_by_mothers_level_of_education,2016
Netherlands,high,mother,8.31,%,OECD,children_by_mothers_level_of_education,2016
Norway,high,mother,10.36,%,OECD,children_by_mothers_level_of_education,2016
Poland,high,mother,5.74,%,OECD,children_by_mothers_level_of_education,2016
Portugal,high,mother,10.46,%,OECD,children_by_mothers_level_of_education,2016
Slovak Republic,high,mother,6.45,%,OECD,children_by_mothers_level_of_education,2016
Slovenia,high,mother,8.94,%,OECD,children_by_mothers_level_of_education,2016
Spain,high,mother,9.03,%,OECD,children_by_mothers_level_of_education,2016
Sweden,high,mother,8.9,%,OECD,children_by_mothers_level_of_education,2016
Switzerland,high,mother,11.98,%,OECD,children_by_mothers_level_of_education,2016
United Kingdom,high,mother,12.4,%,OECD,children_by_mothers_level_of_education,2016
United States,high,mother,16.21,%,OECD,children_by_mothers_level_of_education,2016
OECD average,high,mother,10.63,%,OECD,children_by_mothers_level_of_education,2016
Bulgaria,high,mother,9.51,%,OECD,children_by_mothers_level_of_education,2016
Croatia,high,mother,6.13,%,OECD,children_by_mothers_level_of_education,2016
Cyprus,high,mother,6.67,%,OECD,children_by_mothers_level_of_education,2016
Malta,high,mother,9.62,%,OECD,children_by_mothers_level_of_education,2016
Romania,high,mother,7.67,%,OECD,children_by_mothers_level_of_education,2016
EU average,high,mother,9.8,%,OECD,children_by_mothers_level_of_education,2016
