country,isocode,sex,agegroup,age_start,ageend,data_value,dataprocess,datacatalogshortname,data_source
Afghanistan,4,Men,[30-34],30,34,81.99,Census,1979 Census,UNSD
Afghanistan,4,Men,[35-39],35,39,88.92,Census,1979 Census,UNSD
Afghanistan,4,Men,[40-44],40,44,91.46,Census,1979 Census,UNSD
Afghanistan,4,Men,[45-49],45,49,92.88,Census,1979 Census,UNSD
Afghanistan,4,Men,[50-54],50,54,91.81,Census,1979 Census,UNSD
Afghanistan,4,Men,[55-59],55,59,90.74,Census,1979 Census,UNSD
Afghanistan,4,Men,[60-64],60,64,87.59,Census,1979 Census,UNSD
Afghanistan,4,Men,[65+],65,999,79.73,Census,1979 Census,UNSD
Afghanistan,4,Women,[10-14],10,14,1.13,Census,1979 Census,UNSD
Afghanistan,4,Women,[15-19],15,19,53.35,Census,1979 Census,UNSD
Afghanistan,4,Women,[20-24],20,24,89.75,Census,1979 Census,UNSD
Afghanistan,4,Women,[25-29],25,29,95.72,Census,1979 Census,UNSD
Afghanistan,4,Women,[30-34],30,34,95.84,Census,1979 Census,UNSD
Afghanistan,4,Women,[35-39],35,39,94.47,Census,1979 Census,UNSD
Afghanistan,4,Women,[40-44],40,44,89.16,Census,1979 Census,UNSD
Afghanistan,4,Women,[45-49],45,49,84.12,Census,1979 Census,UNSD
Afghanistan,4,Women,[50-54],50,54,74.61,Census,1979 Census,UNSD
Afghanistan,4,Women,[55-59],55,59,66.1,Census,1979 Census,UNSD
Afghanistan,4,Women,[60-64],60,64,48.5,Census,1979 Census,UNSD
Afghanistan,4,Women,[65+],65,999,29.35,Census,1979 Census,UNSD
Afghanistan,4,Women,[15-19],15,19,17.3,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[20-24],20,24,65.7,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[25-29],25,29,89.0,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[30-34],30,34,94.8,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[35-39],35,39,95.4,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[40-44],40,44,93.6,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[45-49],45,49,91.2,Survey,2010 DHS Special,National statistics
Afghanistan,4,Women,[15-19],15,19,19.76,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[20-24],20,24,67.14,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[25-29],25,29,90.48,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[30-34],30,34,95.43,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[35-39],35,39,97.34,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[40-44],40,44,94.26,Survey,2010-2011 MICS,MICS
Afghanistan,4,Women,[45-49],45,49,90.8,Survey,2010-2011 MICS,MICS
Afghanistan,4,Men,[15-19],15,19,3.34,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[15-19],15,19,3.1,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[20-24],20,24,30.5,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[20-24],20,24,33.9,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[25-29],25,29,80.88,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[25-29],25,29,79.6,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[30-34],30,34,93.4,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[30-34],30,34,94.16,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[35-39],35,39,98.42,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[35-39],35,39,98.1,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[40-44],40,44,97.9,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[40-44],40,44,98.66,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[45-49],45,49,98.14,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[45-49],45,49,98.1,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Men,[50-54],50,54,95.89,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[55-59],55,59,95.78,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[60-64],60,64,93.64,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[65-69],65,69,91.31,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[70-74],70,74,88.85,Survey,2015 DHS,DHS_HH
Afghanistan,4,Men,[75+],75,999,81.1,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[15-19],15,19,17.33,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[15-19],15,19,16.9,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[20-24],20,24,66.2,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[20-24],20,24,67.66,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[25-29],25,29,89.61,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[25-29],25,29,88.9,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[30-34],30,34,95.8,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[30-34],30,34,96.17,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[35-39],35,39,97.11,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[35-39],35,39,97.1,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[40-44],40,44,95.4,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[40-44],40,44,95.6,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[45-49],45,49,90.55,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[45-49],45,49,90.8,Survey,2015 DHS,DHS_STATcompiler
Afghanistan,4,Women,[50-54],50,54,83.14,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[55-59],55,59,75.27,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[60-64],60,64,63.83,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[65-69],65,69,61.93,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[70-74],70,74,47.08,Survey,2015 DHS,DHS_HH
Afghanistan,4,Women,[75+],75,999,29.65,Survey,2015 DHS,DHS_HH
Albania,8,Men,[15-19],15,19,0.97,Census,1989 Census,US Census Bureau
Albania,8,Men,[20-24],20,24,11.09,Census,1989 Census,US Census Bureau
Albania,8,Men,[25-29],25,29,56.46,Census,1989 Census,US Census Bureau
Albania,8,Men,[30-34],30,34,86.81,Census,1989 Census,US Census Bureau
Albania,8,Men,[35-39],35,39,94.29,Census,1989 Census,US Census Bureau
Albania,8,Men,[40-44],40,44,95.59,Census,1989 Census,US Census Bureau
Albania,8,Men,[45-49],45,49,95.35,Census,1989 Census,US Census Bureau
Albania,8,Men,[50-54],50,54,94.6,Census,1989 Census,US Census Bureau
Albania,8,Men,[55-59],55,59,93.59,Census,1989 Census,US Census Bureau
Albania,8,Men,[60-64],60,64,91.58,Census,1989 Census,US Census Bureau
Albania,8,Men,[65+],65,999,84.43,Census,1989 Census,US Census Bureau
Albania,8,Women,[15-19],15,19,8.2,Census,1989 Census,US Census Bureau
Albania,8,Women,[20-24],20,24,51.52,Census,1989 Census,US Census Bureau
Albania,8,Women,[25-29],25,29,84.38,Census,1989 Census,US Census Bureau
Albania,8,Women,[30-34],30,34,91.46,Census,1989 Census,US Census Bureau
Albania,8,Women,[35-39],35,39,93.16,Census,1989 Census,US Census Bureau
Albania,8,Women,[40-44],40,44,93.37,Census,1989 Census,US Census Bureau
Albania,8,Women,[45-49],45,49,91.38,Census,1989 Census,US Census Bureau
Albania,8,Women,[50-54],50,54,86.92,Census,1989 Census,US Census Bureau
Albania,8,Women,[55-59],55,59,79.76,Census,1989 Census,US Census Bureau
Albania,8,Women,[60-64],60,64,69.09,Census,1989 Census,US Census Bureau
Albania,8,Women,[65+],65,999,42.09,Census,1989 Census,US Census Bureau
Albania,8,Women,[15-19],15,19,8.54,Survey,2000 MICS,MICS
Albania,8,Women,[20-24],20,24,42.86,Survey,2000 MICS,MICS
Albania,8,Women,[25-29],25,29,75.59,Survey,2000 MICS,MICS
Albania,8,Women,[30-34],30,34,89.23,Survey,2000 MICS,MICS
Albania,8,Women,[35-39],35,39,93.8,Survey,2000 MICS,MICS
Albania,8,Women,[40-44],40,44,92.48,Survey,2000 MICS,MICS
Albania,8,Women,[45-49],45,49,92.2,Survey,2000 MICS,MICS
Albania,8,Men,[15-19],15,19,1.24,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[20-24],20,24,8.19,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[25-29],25,29,42.81,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[30-34],30,34,81.35,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[35-39],35,39,92.64,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[40-44],40,44,96.49,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[45-49],45,49,97.66,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[50-54],50,54,97.63,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[55-59],55,59,95.78,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[60-64],60,64,93.75,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[65-69],65,69,93.68,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[70-74],70,74,87.24,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[75+],75,999,78.46,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[15-19],15,19,6.5,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[20-24],20,24,39.17,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[25-29],25,29,74.45,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[30-34],30,34,88.04,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[35-39],35,39,94.19,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[40-44],40,44,92.36,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[45-49],45,49,91.62,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[50-54],50,54,90.19,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[55-59],55,59,87.35,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[60-64],60,64,76.17,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[65-69],65,69,66.2,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[70-74],70,74,45.42,Survey,2000 MICS_HH,MICS_HH
Albania,8,Women,[75+],75,999,16.93,Survey,2000 MICS_HH,MICS_HH
Albania,8,Men,[10-14],10,14,0.03,Census,2001 Census,UNSD
Albania,8,Men,[15-19],15,19,0.88,Census,2001 Census,UNSD
Albania,8,Men,[20-24],20,24,13.56,Census,2001 Census,UNSD
Albania,8,Men,[25-29],25,29,54.6,Census,2001 Census,UNSD
Albania,8,Men,[30-34],30,34,84.8,Census,2001 Census,UNSD
Albania,8,Men,[35-39],35,39,93.68,Census,2001 Census,UNSD
Albania,8,Men,[40-44],40,44,95.84,Census,2001 Census,UNSD
Albania,8,Men,[45-49],45,49,96.54,Census,2001 Census,UNSD
Albania,8,Men,[50-54],50,54,96.37,Census,2001 Census,UNSD
Albania,8,Men,[55-59],55,59,95.5,Census,2001 Census,UNSD
Albania,8,Men,[60-64],60,64,93.79,Census,2001 Census,UNSD
Albania,8,Men,[65-69],65,69,91.8,Census,2001 Census,UNSD
Albania,8,Men,[70-74],70,74,87.67,Census,2001 Census,UNSD
Albania,8,Men,[75+],75,999,77.28,Census,2001 Census,UNSD
Albania,8,Women,[10-14],10,14,0.06,Census,2001 Census,UNSD
Albania,8,Women,[15-19],15,19,9.47,Census,2001 Census,UNSD
Albania,8,Women,[20-24],20,24,49.3,Census,2001 Census,UNSD
Albania,8,Women,[25-29],25,29,79.1,Census,2001 Census,UNSD
Albania,8,Women,[30-34],30,34,89.55,Census,2001 Census,UNSD
Albania,8,Women,[35-39],35,39,92.35,Census,2001 Census,UNSD
Albania,8,Women,[40-44],40,44,92.35,Census,2001 Census,UNSD
Albania,8,Women,[45-49],45,49,91.37,Census,2001 Census,UNSD
Albania,8,Women,[50-54],50,54,89.24,Census,2001 Census,UNSD
Albania,8,Women,[55-59],55,59,84.19,Census,2001 Census,UNSD
Albania,8,Women,[60-64],60,64,75.75,Census,2001 Census,UNSD
Albania,8,Women,[65-69],65,69,64.33,Census,2001 Census,UNSD
Albania,8,Women,[70-74],70,74,49.14,Census,2001 Census,UNSD
Albania,8,Women,[75+],75,999,28.44,Census,2001 Census,UNSD
Albania,8,Men,[15-19],15,19,0.0,Survey,2002 RHS,RHS
Albania,8,Men,[20-24],20,24,13.3,Survey,2002 RHS,RHS
Albania,8,Men,[25-29],25,29,60.2,Survey,2002 RHS,RHS
Albania,8,Men,[30-34],30,34,87.3,Survey,2002 RHS,RHS
Albania,8,Men,[35-39],35,39,94.9,Survey,2002 RHS,RHS
Albania,8,Men,[40-44],40,44,98.7,Survey,2002 RHS,RHS
Albania,8,Men,[45-49],45,49,97.4,Survey,2002 RHS,RHS
Albania,8,Women,[15-19],15,19,9.5,Survey,2002 RHS,RHS
Albania,8,Women,[20-24],20,24,49.5,Survey,2002 RHS,RHS
Albania,8,Women,[25-29],25,29,78.9,Survey,2002 RHS,RHS
Albania,8,Women,[30-34],30,34,89.5,Survey,2002 RHS,RHS
Albania,8,Women,[35-39],35,39,92.3,Survey,2002 RHS,RHS
Albania,8,Women,[40-44],40,44,92.5,Survey,2002 RHS,RHS
Albania,8,Women,[15-19],15,19,4.95,Survey,2005 MICS,MICS
Albania,8,Women,[20-24],20,24,35.5,Survey,2005 MICS,MICS
Albania,8,Women,[25-29],25,29,74.48,Survey,2005 MICS,MICS
Albania,8,Women,[30-34],30,34,89.08,Survey,2005 MICS,MICS
Albania,8,Women,[35-39],35,39,92.36,Survey,2005 MICS,MICS
Albania,8,Women,[40-44],40,44,94.07,Survey,2005 MICS,MICS
Albania,8,Women,[45-49],45,49,93.42,Survey,2005 MICS,MICS
Albania,8,Men,[15-19],15,19,0.9,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[15-19],15,19,0.9,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,7.6,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,8.8,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[25-29],25,29,42.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[25-29],25,29,41.8,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,77.8,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,76.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[35-39],35,39,90.1,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[35-39],35,39,91.7,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,96.0,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,94.8,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[45-49],45,49,97.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[45-49],45,49,97.1,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Men,[50-54],50,54,96.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[55-59],55,59,97.7,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[60-64],60,64,96.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[65-69],65,69,93.8,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[70-74],70,74,89.2,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[75+],75,999,79.2,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[15-19],15,19,6.5,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[15-19],15,19,7.5,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,36.6,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,34.5,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[25-29],25,29,68.9,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[25-29],25,29,70.6,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,88.4,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,87.2,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[35-39],35,39,92.2,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[35-39],35,39,93.2,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,93.8,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,92.7,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[45-49],45,49,90.7,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[45-49],45,49,91.3,Survey,2008-2009 DHS,DHS_STATcompiler
Albania,8,Women,[50-54],50,54,90.6,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[55-59],55,59,84.8,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[60-64],60,64,79.3,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[65-69],65,69,64.1,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[70-74],70,74,52.5,Survey,2008-2009 DHS,DHS_HH
Albania,8,Women,[75+],75,999,27.6,Survey,2008-2009 DHS,DHS_HH
Albania,8,Men,[10-14],10,14,0.0,Census,2011 Census,UNSD
Albania,8,Men,[15-19],15,19,1.88,Census,2011 Census,UNSD
Albania,8,Men,[20-24],20,24,9.6,Census,2011 Census,UNSD
Albania,8,Men,[25-29],25,29,38.47,Census,2011 Census,UNSD
Albania,8,Men,[30-34],30,34,72.71,Census,2011 Census,UNSD
Albania,8,Men,[35-39],35,39,87.62,Census,2011 Census,UNSD
Albania,8,Men,[40-44],40,44,93.17,Census,2011 Census,UNSD
Albania,8,Men,[45-49],45,49,95.35,Census,2011 Census,UNSD
Albania,8,Men,[50-54],50,54,95.96,Census,2011 Census,UNSD
Albania,8,Men,[55-59],55,59,96.09,Census,2011 Census,UNSD
Albania,8,Men,[60-64],60,64,95.38,Census,2011 Census,UNSD
Albania,8,Men,[65-69],65,69,93.33,Census,2011 Census,UNSD
Albania,8,Men,[70-74],70,74,89.61,Census,2011 Census,UNSD
Albania,8,Men,[75+],75,999,78.98,Census,2011 Census,UNSD
Albania,8,Women,[10-14],10,14,0.0,Census,2011 Census,UNSD
Albania,8,Women,[15-19],15,19,7.0,Census,2011 Census,UNSD
Albania,8,Women,[20-24],20,24,36.7,Census,2011 Census,UNSD
Albania,8,Women,[25-29],25,29,67.02,Census,2011 Census,UNSD
Albania,8,Women,[30-34],30,34,82.51,Census,2011 Census,UNSD
Albania,8,Women,[35-39],35,39,88.82,Census,2011 Census,UNSD
Albania,8,Women,[40-44],40,44,91.09,Census,2011 Census,UNSD
Albania,8,Women,[45-49],45,49,91.0,Census,2011 Census,UNSD
Albania,8,Women,[50-54],50,54,89.57,Census,2011 Census,UNSD
Albania,8,Women,[55-59],55,59,86.08,Census,2011 Census,UNSD
Albania,8,Women,[60-64],60,64,80.19,Census,2011 Census,UNSD
Albania,8,Women,[65-69],65,69,69.67,Census,2011 Census,UNSD
Albania,8,Women,[70-74],70,74,56.32,Census,2011 Census,UNSD
Albania,8,Women,[75+],75,999,30.52,Census,2011 Census,UNSD
Albania,8,Men,[15-19],15,19,1.24,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[15-19],15,19,0.1,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,7.3,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[20-24],20,24,5.95,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[25-29],25,29,25.29,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[25-29],25,29,27.0,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,63.3,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[30-34],30,34,58.35,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[35-39],35,39,78.88,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[35-39],35,39,80.3,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,91.1,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[40-44],40,44,88.5,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[45-49],45,49,92.96,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[45-49],45,49,94.7,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Men,[50-54],50,54,95.0,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[55-59],55,59,95.13,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[60-64],60,64,93.33,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[65-69],65,69,94.71,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[70-74],70,74,89.15,Survey,2017-2018 DHS,DHS_HH
Albania,8,Men,[75+],75,999,81.28,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[15-19],15,19,5.61,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[15-19],15,19,6.7,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,40.4,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[20-24],20,24,32.18,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[25-29],25,29,64.91,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[25-29],25,29,70.9,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,85.8,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[30-34],30,34,79.29,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[35-39],35,39,85.89,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[35-39],35,39,89.0,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,91.6,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[40-44],40,44,89.5,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[45-49],45,49,90.77,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[45-49],45,49,91.9,Survey,2017-2018 DHS,DHS_STATcompiler
Albania,8,Women,[50-54],50,54,91.13,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[55-59],55,59,85.42,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[60-64],60,64,80.66,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[65-69],65,69,74.07,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[70-74],70,74,61.45,Survey,2017-2018 DHS,DHS_HH
Albania,8,Women,[75+],75,999,33.7,Survey,2017-2018 DHS,DHS_HH
Algeria,12,Men,[15-19],15,19,2.5,Census,1977 Census,US Census Bureau
Algeria,12,Men,[20-24],20,24,28.3,Census,1977 Census,US Census Bureau
Algeria,12,Men,[25-29],25,29,68.7,Census,1977 Census,US Census Bureau
Algeria,12,Men,[30-34],30,34,89.81,Census,1977 Census,US Census Bureau
Algeria,12,Men,[35-39],35,39,94.61,Census,1977 Census,US Census Bureau
Algeria,12,Men,[40-44],40,44,95.8,Census,1977 Census,US Census Bureau
Algeria,12,Men,[45-49],45,49,96.1,Census,1977 Census,US Census Bureau
Algeria,12,Men,[50-54],50,54,96.2,Census,1977 Census,US Census Bureau
Algeria,12,Men,[55-59],55,59,94.91,Census,1977 Census,US Census Bureau
Algeria,12,Men,[60-64],60,64,94.01,Census,1977 Census,US Census Bureau
Algeria,12,Men,[65+],65,999,91.3,Census,1977 Census,US Census Bureau
Algeria,12,Men,[65-69],65,69,91.3,Census,1977 Census,US Census Bureau
Algeria,12,Women,[15-19],15,19,22.5,Census,1977 Census,US Census Bureau
Algeria,12,Women,[20-24],20,24,64.9,Census,1977 Census,US Census Bureau
Algeria,12,Women,[25-29],25,29,83.3,Census,1977 Census,US Census Bureau
Algeria,12,Women,[30-34],30,34,89.72,Census,1977 Census,US Census Bureau
Algeria,12,Women,[35-39],35,39,88.8,Census,1977 Census,US Census Bureau
Algeria,12,Women,[40-44],40,44,84.02,Census,1977 Census,US Census Bureau
Algeria,12,Women,[45-49],45,49,77.12,Census,1977 Census,US Census Bureau
Algeria,12,Women,[50-54],50,54,69.57,Census,1977 Census,US Census Bureau
Algeria,12,Women,[55-59],55,59,58.4,Census,1977 Census,US Census Bureau
Algeria,12,Women,[60-64],60,64,49.2,Census,1977 Census,US Census Bureau
Algeria,12,Women,[65+],65,999,37.8,Census,1977 Census,US Census Bureau
Algeria,12,Women,[65-69],65,69,37.8,Census,1977 Census,US Census Bureau
Algeria,12,Men,[10-14],10,14,0.0,Census,1987 Census,UNSD
Algeria,12,Men,[15-19],15,19,0.74,Census,1987 Census,UNSD
