region,iso_code,indicator,year,age_group,percentage,number,process
World,900,Married or in-union women,1990,20-24,57.53,251849,Estimate
World,900,Married or in-union women,1990,25-29,82.89,323441,Estimate
World,900,Married or in-union women,1990,30-34,88.69,298541,Estimate
World,900,Married or in-union women,1990,35-39,89.32,269240,Estimate
World,900,Married or in-union women,1990,40-44,86.5,205871,Estimate
World,900,Married or in-union women,1990,45-49,83.15,159554,Estimate
World,900,Married or in-union women,1990,15-49,67.6,1596966,Estimate
World,900,Married or in-union women,1991,15-19,18.97,88334,Estimate
World,900,Married or in-union women,1991,20-24,57.03,253901,Estimate
World,900,Married or in-union women,1991,25-29,82.68,335554,Estimate
World,900,Married or in-union women,1991,30-34,88.34,298531,Estimate
World,900,Married or in-union women,1991,35-39,89.21,277259,Estimate
World,900,Married or in-union women,1991,40-44,86.55,216542,Estimate
World,900,Married or in-union women,1991,45-49,83.21,162994,Estimate
World,900,Married or in-union women,1991,15-49,67.72,1633117,Estimate
World,900,Married or in-union women,1992,15-19,18.95,88171,Estimate
World,900,Married or in-union women,1992,20-24,56.54,255978,Estimate
World,900,Married or in-union women,1992,25-29,82.38,343076,Estimate
World,900,Married or in-union women,1992,30-34,88.07,301706,Estimate
World,900,Married or in-union women,1992,35-39,89.09,284318,Estimate
World,900,Married or in-union women,1992,40-44,86.65,227183,Estimate
World,900,Married or in-union women,1992,45-49,83.25,168468,Estimate
World,900,Married or in-union women,1992,15-49,67.82,1668902,Estimate
World,900,Married or in-union women,1993,15-19,18.93,87960,Estimate
World,900,Married or in-union women,1993,20-24,56.13,257060,Estimate
World,900,Married or in-union women,1993,25-29,82.01,345281,Estimate
World,900,Married or in-union women,1993,30-34,88.0,311653,Estimate
World,900,Married or in-union women,1993,35-39,88.93,290093,Estimate
World,900,Married or in-union women,1993,40-44,86.73,238066,Estimate
World,900,Married or in-union women,1993,45-49,83.31,175498,Estimate
World,900,Married or in-union women,1993,15-49,67.97,1705615,Estimate
World,900,Married or in-union women,1994,15-19,18.82,87862,Estimate
World,900,Married or in-union women,1994,20-24,55.79,256958,Estimate
World,900,Married or in-union women,1994,25-29,81.64,347711,Estimate
World,900,Married or in-union women,1994,30-34,88.01,325379,Estimate
World,900,Married or in-union women,1994,35-39,88.71,292965,Estimate
World,900,Married or in-union women,1994,40-44,86.8,248061,Estimate
World,900,Married or in-union women,1994,45-49,83.38,183979,Estimate
World,900,Married or in-union women,1994,15-49,68.09,1742919,Estimate
World,900,Married or in-union women,1995,15-19,18.61,87963,Estimate
World,900,Married or in-union women,1995,20-24,55.52,256104,Estimate
World,900,Married or in-union women,1995,25-29,81.28,351693,Estimate
World,900,Married or in-union women,1995,30-34,88.03,339173,Estimate
World,900,Married or in-union women,1995,35-39,88.42,293429,Estimate
World,900,Married or in-union women,1995,40-44,86.83,257143,Estimate
World,900,Married or in-union women,1995,45-49,83.47,194227,Estimate
World,900,Married or in-union women,1995,15-49,68.12,1779735,Estimate
World,900,Married or in-union women,1996,15-19,18.32,88107,Estimate
World,900,Married or in-union women,1996,20-24,55.29,254749,Estimate
World,900,Married or in-union women,1996,25-29,80.91,355920,Estimate
World,900,Married or in-union women,1996,30-34,88.05,352762,Estimate
World,900,Married or in-union women,1996,35-39,88.13,293570,Estimate
World,900,Married or in-union women,1996,40-44,86.81,265060,Estimate
World,900,Married or in-union women,1996,45-49,83.6,204525,Estimate
World,900,Married or in-union women,1996,15-49,68.08,1814697,Estimate
World,900,Married or in-union women,1997,15-19,17.94,88286,Estimate
World,900,Married or in-union women,1997,20-24,55.06,253506,Estimate
World,900,Married or in-union women,1997,25-29,80.55,360192,Estimate
World,900,Married or in-union women,1997,30-34,87.98,361589,Estimate
World,900,Married or in-union women,1997,35-39,87.94,296874,Estimate
World,900,Married or in-union women,1997,40-44,86.77,272116,Estimate
World,900,Married or in-union women,1997,45-49,83.76,214844,Estimate
World,900,Married or in-union women,1997,15-49,67.96,1847410,Estimate
World,900,Married or in-union women,1998,15-19,17.56,88424,Estimate
World,900,Married or in-union women,1998,20-24,54.85,252591,Estimate
World,900,Married or in-union women,1998,25-29,80.19,362912,Estimate
World,900,Married or in-union women,1998,30-34,87.81,364971,Estimate
World,900,Married or in-union women,1998,35-39,87.95,307134,Estimate
World,900,Married or in-union women,1998,40-44,86.69,278044,Estimate
World,900,Married or in-union women,1998,45-49,83.93,225452,Estimate
World,900,Married or in-union women,1998,15-49,67.83,1879531,Estimate
World,900,Married or in-union women,1999,15-19,17.21,88404,Estimate
World,900,Married or in-union women,1999,20-24,54.59,252755,Estimate
World,900,Married or in-union women,1999,25-29,79.83,363397,Estimate
World,900,Married or in-union women,1999,30-34,87.65,368644,Estimate
World,900,Married or in-union women,1999,35-39,88.06,321218,Estimate
World,900,Married or in-union women,1999,40-44,86.53,281167,Estimate
World,900,Married or in-union women,1999,45-49,84.05,235270,Estimate
World,900,Married or in-union women,1999,15-49,67.71,1910857,Estimate
World,900,Married or in-union women,2000,15-19,16.85,88142,Estimate
World,900,Married or in-union women,2000,20-24,54.25,254311,Estimate
World,900,Married or in-union women,2000,25-29,79.46,362208,Estimate
World,900,Married or in-union women,2000,30-34,87.5,373838,Estimate
World,900,Married or in-union women,2000,35-39,88.18,335227,Estimate
World,900,Married or in-union women,2000,40-44,86.3,281826,Estimate
World,900,Married or in-union women,2000,45-49,84.15,244210,Estimate
World,900,Married or in-union women,2000,15-49,67.54,1939766,Estimate
World,900,Married or in-union women,2001,15-19,16.45,87650,Estimate
World,900,Married or in-union women,2001,20-24,53.82,256723,Estimate
World,900,Married or in-union women,2001,25-29,79.08,360039,Estimate
World,900,Married or in-union women,2001,30-34,87.31,379220,Estimate
World,900,Married or in-union women,2001,35-39,88.28,348956,Estimate
World,900,Married or in-union women,2001,40-44,86.05,282025,Estimate
World,900,Married or in-union women,2001,45-49,84.17,251927,Estimate
World,900,Married or in-union women,2001,15-49,67.31,1966543,Estimate
World,900,Married or in-union women,2002,15-19,16.08,87147,Estimate
World,900,Married or in-union women,2002,20-24,53.33,259971,Estimate
World,900,Married or in-union women,2002,25-29,78.7,357886,Estimate
World,900,Married or in-union women,2002,30-34,87.12,384574,Estimate
World,900,Married or in-union women,2002,35-39,88.28,357899,Estimate
World,900,Married or in-union women,2002,40-44,85.92,285303,Estimate
World,900,Married or in-union women,2002,45-49,84.16,258772,Estimate
World,900,Married or in-union women,2002,15-49,67.04,1991556,Estimate
World,900,Married or in-union women,2003,15-19,15.7,86418,Estimate
World,900,Married or in-union women,2003,20-24,52.83,263258,Estimate
World,900,Married or in-union women,2003,25-29,78.32,356052,Estimate
World,900,Married or in-union women,2003,30-34,86.91,388073,Estimate
World,900,Married or in-union women,2003,35-39,88.16,361312,Estimate
World,900,Married or in-union women,2003,40-44,86.01,295354,Estimate
World,900,Married or in-union women,2003,45-49,84.11,264429,Estimate
World,900,Married or in-union women,2003,15-49,66.77,2014899,Estimate
World,900,Married or in-union women,2004,15-19,15.31,85609,Estimate
World,900,Married or in-union women,2004,20-24,52.37,265941,Estimate
World,900,Married or in-union women,2004,25-29,77.96,356146,Estimate
World,900,Married or in-union women,2004,30-34,86.66,389154,Estimate
World,900,Married or in-union women,2004,35-39,88.04,365021,Estimate
World,900,Married or in-union women,2004,40-44,86.2,309085,Estimate
World,900,Married or in-union women,2004,45-49,83.96,267250,Estimate
World,900,Married or in-union women,2004,15-49,66.52,2038210,Estimate
World,900,Married or in-union women,2005,15-19,14.94,84652,Estimate
World,900,Married or in-union women,2005,20-24,51.9,268326,Estimate
World,900,Married or in-union women,2005,25-29,77.61,358818,Estimate
World,900,Married or in-union women,2005,30-34,86.4,388431,Estimate
World,900,Married or in-union women,2005,35-39,87.94,370358,Estimate
World,900,Married or in-union women,2005,40-44,86.39,322852,Estimate
World,900,Married or in-union women,2005,45-49,83.72,267664,Estimate
World,900,Married or in-union women,2005,15-49,66.27,2061104,Estimate
World,900,Married or in-union women,2006,15-19,14.65,83598,Estimate
World,900,Married or in-union women,2006,20-24,51.43,270652,Estimate
World,900,Married or in-union women,2006,25-29,77.28,363333,Estimate
World,900,Married or in-union women,2006,30-34,86.11,386680,Estimate
World,900,Married or in-union women,2006,35-39,87.82,376140,Estimate
World,900,Married or in-union women,2006,40-44,86.57,336648,Estimate
World,900,Married or in-union women,2006,45-49,83.48,267819,Estimate
World,900,Married or in-union women,2006,15-49,66.1,2084873,Estimate
World,900,Married or in-union women,2007,15-19,14.5,82595,Estimate
World,900,Married or in-union women,2007,20-24,50.86,272217,Estimate
World,900,Married or in-union women,2007,25-29,76.94,369638,Estimate
World,900,Married or in-union women,2007,30-34,85.83,385022,Estimate
World,900,Married or in-union women,2007,35-39,87.71,382143,Estimate
World,900,Married or in-union women,2007,40-44,86.64,345917,Estimate
World,900,Married or in-union women,2007,45-49,83.34,271059,Estimate
World,900,Married or in-union women,2007,15-49,66.01,2108593,Estimate
World,900,Married or in-union women,2008,15-19,14.39,81617,Estimate
World,900,Married or in-union women,2008,20-24,50.29,273526,Estimate
World,900,Married or in-union women,2008,25-29,76.6,376263,Estimate
World,900,Married or in-union women,2008,30-34,85.52,383587,Estimate
World,900,Married or in-union women,2008,35-39,87.57,386140,Estimate
World,900,Married or in-union women,2008,40-44,86.57,349794,Estimate
World,900,Married or in-union women,2008,45-49,83.45,281031,Estimate
World,900,Married or in-union women,2008,15-49,65.95,2131960,Estimate
World,900,Married or in-union women,2009,15-19,14.29,80532,Estimate
World,900,Married or in-union women,2009,20-24,49.71,274815,Estimate
World,900,Married or in-union women,2009,25-29,76.29,382035,Estimate
World,900,Married or in-union women,2009,30-34,85.25,384296,Estimate
World,900,Married or in-union women,2009,35-39,87.39,387455,Estimate
World,900,Married or in-union women,2009,40-44,86.51,353814,Estimate
World,900,Married or in-union women,2009,45-49,83.69,294712,Estimate
World,900,Married or in-union women,2009,15-49,65.93,2157663,Estimate
World,900,Married or in-union women,2010,15-19,14.21,79392,Estimate
World,900,Married or in-union women,2010,20-24,49.15,275787,Estimate
World,900,Married or in-union women,2010,25-29,75.99,387760,Estimate
World,900,Married or in-union women,2010,30-34,85.02,387990,Estimate
World,900,Married or in-union women,2010,35-39,87.18,386949,Estimate
World,900,Married or in-union women,2010,40-44,86.46,359254,Estimate
World,900,Married or in-union women,2010,45-49,83.94,308493,Estimate
World,900,Married or in-union women,2010,15-49,65.97,2185629,Estimate
World,900,Married or in-union women,2011,15-19,14.12,78386,Estimate
World,900,Married or in-union women,2011,20-24,48.52,274380,Estimate
World,900,Married or in-union women,2011,25-29,75.53,392627,Estimate
World,900,Married or in-union women,2011,30-34,84.79,393533,Estimate
World,900,Married or in-union women,2011,35-39,86.92,385346,Estimate
World,900,Married or in-union women,2011,40-44,86.37,364929,Estimate
World,900,Married or in-union women,2011,45-49,84.2,322192,Estimate
World,900,Married or in-union women,2011,15-49,65.95,2211394,Estimate
World,900,Married or in-union women,2012,15-19,13.99,77455,Estimate
World,900,Married or in-union women,2012,20-24,48.04,271272,Estimate
World,900,Married or in-union women,2012,25-29,75.06,397021,Estimate
World,900,Married or in-union women,2012,30-34,84.59,401333,Estimate
World,900,Married or in-union women,2012,35-39,86.65,383817,Estimate
World,900,Married or in-union women,2012,40-44,86.27,370706,Estimate
World,900,Married or in-union women,2012,45-49,84.31,331272,Estimate
World,900,Married or in-union women,2012,15-49,65.92,2232878,Estimate
World,900,Married or in-union women,2013,15-19,13.83,76537,Estimate
World,900,Married or in-union women,2013,20-24,47.63,267618,Estimate
World,900,Married or in-union women,2013,25-29,74.59,401007,Estimate
World,900,Married or in-union women,2013,30-34,84.4,409610,Estimate
World,900,Married or in-union women,2013,35-39,86.37,382554,Estimate
World,900,Married or in-union women,2013,40-44,86.13,374617,Estimate
World,900,Married or in-union women,2013,45-49,84.27,335019,Estimate
World,900,Married or in-union women,2013,15-49,65.82,2246965,Estimate
World,900,Married or in-union women,2014,15-19,13.66,75652,Estimate
World,900,Married or in-union women,2014,20-24,47.25,263686,Estimate
World,900,Married or in-union women,2014,25-29,74.09,404754,Estimate
World,900,Married or in-union women,2014,30-34,84.19,416624,Estimate
World,900,Married or in-union women,2014,35-39,86.11,383328,Estimate
World,900,Married or in-union women,2014,40-44,85.95,375908,Estimate
World,900,Married or in-union women,2014,45-49,84.23,338987,Estimate
World,900,Married or in-union women,2014,15-49,65.71,2258941,Estimate
World,900,Married or in-union women,2015,15-19,13.48,74847,Estimate
World,900,Married or in-union women,2015,20-24,46.95,259491,Estimate
World,900,Married or in-union women,2015,25-29,73.57,407727,Estimate
World,900,Married or in-union women,2015,30-34,83.99,423346,Estimate
World,900,Married or in-union women,2015,35-39,85.9,387044,Estimate
World,900,Married or in-union women,2015,40-44,85.72,375329,Estimate
World,900,Married or in-union women,2015,45-49,84.21,344418,Estimate
World,900,Married or in-union women,2015,15-49,65.6,2272205,Estimate
World,900,Married or in-union women,2016,15-19,13.29,74949,Estimate
World,900,Married or in-union women,2016,20-24,46.57,257887,Estimate
World,900,Married or in-union women,2016,25-29,72.93,410252,Estimate
World,900,Married or in-union women,2016,30-34,83.64,432282,Estimate
World,900,Married or in-union women,2016,35-39,85.56,394683,Estimate
World,900,Married or in-union women,2016,40-44,85.33,375133,Estimate
World,900,Married or in-union women,2016,45-49,84.06,351191,Estimate
World,900,Married or in-union women,2016,15-49,65.32,2296380,Estimate
World,900,Married or in-union women,2017,15-19,13.08,73389,Estimate
World,900,Married or in-union women,2017,20-24,46.22,253344,Estimate
World,900,Married or in-union women,2017,25-29,72.62,405108,Estimate
World,900,Married or in-union women,2017,30-34,83.63,436912,Estimate
World,900,Married or in-union women,2017,35-39,85.6,401084,Estimate
World,900,Married or in-union women,2017,40-44,85.21,372010,Estimate
World,900,Married or in-union women,2017,45-49,84.12,355835,Estimate
World,900,Married or in-union women,2017,15-49,65.32,2297684,Estimate
World,900,Married or in-union women,2018,15-19,12.86,72646,Estimate
World,900,Married or in-union women,2018,20-24,45.82,251316,Estimate
World,900,Married or in-union women,2018,25-29,72.2,401133,Estimate
World,900,Married or in-union women,2018,30-34,83.46,443495,Estimate
World,900,Married or in-union women,2018,35-39,85.48,409656,Estimate
World,900,Married or in-union women,2018,40-44,84.93,370480,Estimate
World,900,Married or in-union women,2018,45-49,84.03,359490,Estimate
World,900,Married or in-union women,2018,15-49,65.14,2308219,Estimate
World,900,Married or in-union women,2019,15-19,12.63,71860,Estimate
World,900,Married or in-union women,2019,20-24,45.41,249568,Estimate
World,900,Married or in-union women,2019,25-29,71.81,396628,Estimate
World,900,Married or in-union women,2019,30-34,83.28,449945,Estimate
World,900,Married or in-union women,2019,35-39,85.35,417105,Estimate
World,900,Married or in-union women,2019,40-44,84.69,370991,Estimate
World,900,Married or in-union women,2019,45-49,83.87,360499,Estimate
World,900,Married or in-union women,2019,15-49,64.94,2316600,Estimate
World,900,Married or in-union women,2020,15-19,12.4,71011,Estimate
World,900,Married or in-union women,2020,20-24,44.98,248270,Estimate
World,900,Married or in-union women,2020,25-29,71.49,391605,Estimate
World,900,Married or in-union women,2020,30-34,83.09,455695,Estimate
World,900,Married or in-union women,2020,35-39,85.24,424586,Estimate
World,900,Married or in-union women,2020,40-44,84.5,374520,Estimate
World,900,Married or in-union women,2020,45-49,83.65,359646,Estimate
World,900,Married or in-union women,2020,15-49,64.74,2325337,Estimate
World,900,Married or in-union women,2021,15-19,12.2,70352,Estimate
World,900,Married or in-union women,2021,20-24,44.53,247264,Estimate
World,900,Married or in-union women,2021,25-29,71.18,388007,Estimate
World,900,Married or in-union women,2021,30-34,82.85,458093,Estimate
World,900,Married or in-union women,2021,35-39,85.14,432328,Estimate
World,900,Married or in-union women,2021,40-44,84.36,380254,Estimate
World,900,Married or in-union women,2021,45-49,83.4,357564,Estimate
World,900,Married or in-union women,2021,15-49,64.52,2333865,Estimate
World,900,Married or in-union women,2022,15-19,11.99,69737,Estimate
World,900,Married or in-union women,2022,20-24,44.14,246513,Estimate
World,900,Married or in-union women,2022,25-29,70.8,385868,Estimate
World,900,Married or in-union women,2022,30-34,82.55,456075,Estimate
World,900,Married or in-union women,2022,35-39,85.02,439670,Estimate
World,900,Married or in-union women,2022,40-44,84.27,388626,Estimate
World,900,Married or in-union women,2022,45-49,83.13,355708,Estimate
World,900,Married or in-union women,2022,15-49,64.28,2342200,Estimate
World,900,Married or in-union women,2023,15-19,11.77,69200,Estimate
World,900,Married or in-union women,2023,20-24,43.75,245810,Estimate
World,900,Married or in-union women,2023,25-29,70.42,384073,Estimate
World,900,Married or in-union women,2023,30-34,82.24,452833,Estimate
World,900,Married or in-union women,2023,35-39,84.9,446750,Estimate
World,900,Married or in-union women,2023,40-44,84.19,397863,Estimate
World,900,Married or in-union women,2023,45-49,82.84,354551,Estimate
World,900,Married or in-union women,2023,15-49,64.02,2351082,Estimate
World,900,Married or in-union women,2024,15-19,11.56,68758,Estimate
World,900,Married or in-union women,2024,20-24,43.35,245237,Estimate
World,900,Married or in-union women,2024,25-29,70.06,382715,Estimate
World,900,Married or in-union women,2024,30-34,81.96,448905,Estimate
World,900,Married or in-union women,2024,35-39,84.78,453686,Estimate
World,900,Married or in-union women,2024,40-44,84.1,405856,Estimate
World,900,Married or in-union women,2024,45-49,82.58,355355,Estimate
World,900,Married or in-union women,2024,15-49,63.75,2360517,Estimate
World,900,Married or in-union women,2025,15-19,11.35,68342,Projection
World,900,Married or in-union women,2025,20-24,42.94,244562,Projection
World,900,Married or in-union women,2025,25-29,69.69,382164,Projection
World,900,Married or in-union women,2025,30-34,81.69,443882,Projection
World,900,Married or in-union women,2025,35-39,84.65,459893,Projection
World,900,Married or in-union women,2025,40-44,84.03,413586,Projection
World,900,Married or in-union women,2025,45-49,82.39,359098,Projection
World,900,Married or in-union women,2025,15-49,63.5,2371531,Projection
