country,year,indicator,category,sex,unit,value,source
Finland,2001,share_of_previous_marital_status,Divorced,all,%,21.4,OECD
Finland,2001,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Greece,2001,share_of_previous_marital_status,Single never married,all,%,88.9,OECD
Greece,2001,share_of_previous_marital_status,Divorced,all,%,10.0,OECD
Greece,2001,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Hungary,2001,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
Hungary,2001,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Hungary,2001,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Lithuania,2001,share_of_previous_marital_status,Single never married,all,%,78.8,OECD
Lithuania,2001,share_of_previous_marital_status,Divorced,all,%,19.1,OECD
Lithuania,2001,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Luxembourg,2001,share_of_previous_marital_status,Single never married,all,%,75.3,OECD
Luxembourg,2001,share_of_previous_marital_status,Divorced,all,%,23.4,OECD
Luxembourg,2001,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
New Zealand,2001,share_of_previous_marital_status,Single never married,all,%,73.5,OECD
New Zealand,2001,share_of_previous_marital_status,Divorced,all,%,23.5,OECD
New Zealand,2001,share_of_previous_marital_status,Widowed,all,%,2.9,OECD
Poland,2001,share_of_previous_marital_status,Single never married,all,%,90.4,OECD
Poland,2001,share_of_previous_marital_status,Divorced,all,%,7.1,OECD
Poland,2001,share_of_previous_marital_status,Widowed,all,%,2.5,OECD
Portugal,2001,share_of_previous_marital_status,Single never married,all,%,90.3,OECD
Portugal,2001,share_of_previous_marital_status,Divorced,all,%,8.4,OECD
Portugal,2001,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Slovak Republic,2001,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Slovak Republic,2001,share_of_previous_marital_status,Divorced,all,%,11.0,OECD
Slovak Republic,2001,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Slovenia,2001,share_of_previous_marital_status,Single never married,all,%,90.8,OECD
Slovenia,2001,share_of_previous_marital_status,Divorced,all,%,7.9,OECD
Slovenia,2001,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Spain,2001,share_of_previous_marital_status,Single never married,all,%,93.6,OECD
Spain,2001,share_of_previous_marital_status,Divorced,all,%,5.8,OECD
Spain,2001,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2001,share_of_previous_marital_status,Single never married,all,%,76.9,OECD
Sweden,2001,share_of_previous_marital_status,Divorced,all,%,22.0,OECD
Sweden,2001,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Switzerland,2001,share_of_previous_marital_status,Single never married,all,%,77.9,OECD
Switzerland,2001,share_of_previous_marital_status,Divorced,all,%,20.9,OECD
Switzerland,2001,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Bulgaria,2001,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Bulgaria,2001,share_of_previous_marital_status,Divorced,all,%,10.9,OECD
Bulgaria,2001,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Croatia,2001,share_of_previous_marital_status,Single never married,all,%,90.6,OECD
Croatia,2001,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2001,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Romania,2001,share_of_previous_marital_status,Single never married,all,%,85.1,OECD
Romania,2001,share_of_previous_marital_status,Divorced,all,%,7.8,OECD
Romania,2001,share_of_previous_marital_status,Widowed,all,%,7.1,OECD
Australia,2002,share_of_previous_marital_status,Single never married,all,%,75.5,OECD
Australia,2002,share_of_previous_marital_status,Divorced,all,%,22.4,OECD
Australia,2002,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Austria,2002,share_of_previous_marital_status,Single never married,all,%,74.1,OECD
Austria,2002,share_of_previous_marital_status,Divorced,all,%,24.7,OECD
Austria,2002,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Czechia,2002,share_of_previous_marital_status,Single never married,all,%,74.3,OECD
Czechia,2002,share_of_previous_marital_status,Divorced,all,%,24.4,OECD
Czechia,2002,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Denmark,2002,share_of_previous_marital_status,Single never married,all,%,76.2,OECD
Denmark,2002,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Denmark,2002,share_of_previous_marital_status,Widowed,all,%,2.0,OECD
Finland,2002,share_of_previous_marital_status,Single never married,all,%,77.2,OECD
Finland,2002,share_of_previous_marital_status,Divorced,all,%,21.4,OECD
Finland,2002,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Greece,2002,share_of_previous_marital_status,Single never married,all,%,88.5,OECD
Greece,2002,share_of_previous_marital_status,Divorced,all,%,5.9,OECD
Greece,2002,share_of_previous_marital_status,Widowed,all,%,5.6,OECD
Hungary,2002,share_of_previous_marital_status,Single never married,all,%,78.1,OECD
Hungary,2002,share_of_previous_marital_status,Divorced,all,%,20.3,OECD
Hungary,2002,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Lithuania,2002,share_of_previous_marital_status,Single never married,all,%,78.9,OECD
Lithuania,2002,share_of_previous_marital_status,Divorced,all,%,19.2,OECD
Lithuania,2002,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Luxembourg,2002,share_of_previous_marital_status,Single never married,all,%,76.1,OECD
Luxembourg,2002,share_of_previous_marital_status,Divorced,all,%,22.5,OECD
Luxembourg,2002,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
New Zealand,2002,share_of_previous_marital_status,Single never married,all,%,73.8,OECD
New Zealand,2002,share_of_previous_marital_status,Divorced,all,%,23.5,OECD
New Zealand,2002,share_of_previous_marital_status,Widowed,all,%,2.7,OECD
Poland,2002,share_of_previous_marital_status,Single never married,all,%,90.4,OECD
Poland,2002,share_of_previous_marital_status,Divorced,all,%,7.2,OECD
Poland,2002,share_of_previous_marital_status,Widowed,all,%,2.3,OECD
Portugal,2002,share_of_previous_marital_status,Single never married,all,%,90.5,OECD
Portugal,2002,share_of_previous_marital_status,Divorced,all,%,8.4,OECD
Portugal,2002,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Slovak Republic,2002,share_of_previous_marital_status,Single never married,all,%,87.7,OECD
Slovak Republic,2002,share_of_previous_marital_status,Divorced,all,%,11.4,OECD
Slovak Republic,2002,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Slovenia,2002,share_of_previous_marital_status,Single never married,all,%,89.7,OECD
Slovenia,2002,share_of_previous_marital_status,Divorced,all,%,8.9,OECD
Slovenia,2002,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Spain,2002,share_of_previous_marital_status,Single never married,all,%,93.1,OECD
Spain,2002,share_of_previous_marital_status,Divorced,all,%,6.2,OECD
Spain,2002,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2002,share_of_previous_marital_status,Single never married,all,%,77.1,OECD
Sweden,2002,share_of_previous_marital_status,Divorced,all,%,21.9,OECD
Sweden,2002,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Switzerland,2002,share_of_previous_marital_status,Single never married,all,%,77.9,OECD
Switzerland,2002,share_of_previous_marital_status,Divorced,all,%,20.9,OECD
Switzerland,2002,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Bulgaria,2002,share_of_previous_marital_status,Single never married,all,%,88.9,OECD
Bulgaria,2002,share_of_previous_marital_status,Divorced,all,%,10.2,OECD
Bulgaria,2002,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Croatia,2002,share_of_previous_marital_status,Single never married,all,%,90.9,OECD
Croatia,2002,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2002,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Romania,2002,share_of_previous_marital_status,Single never married,all,%,85.2,OECD
Romania,2002,share_of_previous_marital_status,Divorced,all,%,13.1,OECD
Romania,2002,share_of_previous_marital_status,Widowed,all,%,1.7,OECD
Australia,2003,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Australia,2003,share_of_previous_marital_status,Divorced,all,%,22.3,OECD
Australia,2003,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Austria,2003,share_of_previous_marital_status,Single never married,all,%,73.7,OECD
Austria,2003,share_of_previous_marital_status,Divorced,all,%,25.2,OECD
Austria,2003,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Czechia,2003,share_of_previous_marital_status,Single never married,all,%,74.0,OECD
Czechia,2003,share_of_previous_marital_status,Divorced,all,%,24.7,OECD
Czechia,2003,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Denmark,2003,share_of_previous_marital_status,Single never married,all,%,76.4,OECD
Denmark,2003,share_of_previous_marital_status,Divorced,all,%,21.7,OECD
Denmark,2003,share_of_previous_marital_status,Widowed,all,%,2.0,OECD
Finland,2003,share_of_previous_marital_status,Single never married,all,%,77.4,OECD
Finland,2003,share_of_previous_marital_status,Divorced,all,%,21.1,OECD
Finland,2003,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Greece,2003,share_of_previous_marital_status,Single never married,all,%,88.4,OECD
Greece,2003,share_of_previous_marital_status,Divorced,all,%,10.6,OECD
Greece,2003,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Hungary,2003,share_of_previous_marital_status,Single never married,all,%,78.4,OECD
Hungary,2003,share_of_previous_marital_status,Divorced,all,%,20.1,OECD
Hungary,2003,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Lithuania,2003,share_of_previous_marital_status,Single never married,all,%,79.3,OECD
Lithuania,2003,share_of_previous_marital_status,Divorced,all,%,18.7,OECD
Lithuania,2003,share_of_previous_marital_status,Widowed,all,%,2.0,OECD
Luxembourg,2003,share_of_previous_marital_status,Single never married,all,%,74.0,OECD
Luxembourg,2003,share_of_previous_marital_status,Divorced,all,%,24.5,OECD
Luxembourg,2003,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
New Zealand,2003,share_of_previous_marital_status,Single never married,all,%,73.9,OECD
New Zealand,2003,share_of_previous_marital_status,Divorced,all,%,23.5,OECD
New Zealand,2003,share_of_previous_marital_status,Widowed,all,%,2.5,OECD
Poland,2003,share_of_previous_marital_status,Single never married,all,%,90.4,OECD
Poland,2003,share_of_previous_marital_status,Divorced,all,%,7.3,OECD
Poland,2003,share_of_previous_marital_status,Widowed,all,%,2.2,OECD
Portugal,2003,share_of_previous_marital_status,Single never married,all,%,88.9,OECD
Portugal,2003,share_of_previous_marital_status,Divorced,all,%,9.9,OECD
Portugal,2003,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2003,share_of_previous_marital_status,Single never married,all,%,87.7,OECD
Slovak Republic,2003,share_of_previous_marital_status,Divorced,all,%,11.4,OECD
Slovak Republic,2003,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Slovenia,2003,share_of_previous_marital_status,Single never married,all,%,90.4,OECD
Slovenia,2003,share_of_previous_marital_status,Divorced,all,%,8.4,OECD
Slovenia,2003,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Spain,2003,share_of_previous_marital_status,Single never married,all,%,92.5,OECD
Spain,2003,share_of_previous_marital_status,Divorced,all,%,6.7,OECD
Spain,2003,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Sweden,2003,share_of_previous_marital_status,Single never married,all,%,77.8,OECD
Sweden,2003,share_of_previous_marital_status,Divorced,all,%,21.4,OECD
Sweden,2003,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Switzerland,2003,share_of_previous_marital_status,Single never married,all,%,77.4,OECD
Switzerland,2003,share_of_previous_marital_status,Divorced,all,%,21.3,OECD
Switzerland,2003,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Bulgaria,2003,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Bulgaria,2003,share_of_previous_marital_status,Divorced,all,%,10.9,OECD
Bulgaria,2003,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Croatia,2003,share_of_previous_marital_status,Single never married,all,%,91.0,OECD
Croatia,2003,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2003,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Romania,2003,share_of_previous_marital_status,Single never married,all,%,85.3,OECD
Romania,2003,share_of_previous_marital_status,Divorced,all,%,13.0,OECD
Romania,2003,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Australia,2004,share_of_previous_marital_status,Single never married,all,%,76.2,OECD
Australia,2004,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Australia,2004,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Austria,2004,share_of_previous_marital_status,Single never married,all,%,72.9,OECD
Austria,2004,share_of_previous_marital_status,Divorced,all,%,25.9,OECD
Austria,2004,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Czechia,2004,share_of_previous_marital_status,Single never married,all,%,73.9,OECD
Czechia,2004,share_of_previous_marital_status,Divorced,all,%,24.7,OECD
Czechia,2004,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Denmark,2004,share_of_previous_marital_status,Single never married,all,%,76.0,OECD
Denmark,2004,share_of_previous_marital_status,Divorced,all,%,22.1,OECD
Denmark,2004,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Finland,2004,share_of_previous_marital_status,Single never married,all,%,76.8,OECD
Finland,2004,share_of_previous_marital_status,Divorced,all,%,21.8,OECD
Finland,2004,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Greece,2004,share_of_previous_marital_status,Single never married,all,%,88.1,OECD
Greece,2004,share_of_previous_marital_status,Divorced,all,%,11.0,OECD
Greece,2004,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Hungary,2004,share_of_previous_marital_status,Single never married,all,%,78.0,OECD
Hungary,2004,share_of_previous_marital_status,Divorced,all,%,20.4,OECD
Hungary,2004,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Lithuania,2004,share_of_previous_marital_status,Single never married,all,%,78.1,OECD
Lithuania,2004,share_of_previous_marital_status,Divorced,all,%,20.0,OECD
Lithuania,2004,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Luxembourg,2004,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Luxembourg,2004,share_of_previous_marital_status,Divorced,all,%,23.2,OECD
Luxembourg,2004,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
New Zealand,2004,share_of_previous_marital_status,Single never married,all,%,73.9,OECD
New Zealand,2004,share_of_previous_marital_status,Divorced,all,%,23.4,OECD
New Zealand,2004,share_of_previous_marital_status,Widowed,all,%,2.7,OECD
Poland,2004,share_of_previous_marital_status,Single never married,all,%,90.7,OECD
Poland,2004,share_of_previous_marital_status,Divorced,all,%,7.1,OECD
Poland,2004,share_of_previous_marital_status,Widowed,all,%,2.1,OECD
Portugal,2004,share_of_previous_marital_status,Single never married,all,%,88.0,OECD
Portugal,2004,share_of_previous_marital_status,Divorced,all,%,10.7,OECD
Portugal,2004,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2004,share_of_previous_marital_status,Single never married,all,%,89.2,OECD
Slovak Republic,2004,share_of_previous_marital_status,Divorced,all,%,10.0,OECD
Slovak Republic,2004,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Slovenia,2004,share_of_previous_marital_status,Single never married,all,%,90.1,OECD
Slovenia,2004,share_of_previous_marital_status,Divorced,all,%,8.7,OECD
Slovenia,2004,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Spain,2004,share_of_previous_marital_status,Single never married,all,%,91.6,OECD
Spain,2004,share_of_previous_marital_status,Divorced,all,%,7.7,OECD
Spain,2004,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2004,share_of_previous_marital_status,Single never married,all,%,77.1,OECD
Sweden,2004,share_of_previous_marital_status,Divorced,all,%,21.9,OECD
Sweden,2004,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Switzerland,2004,share_of_previous_marital_status,Single never married,all,%,77.2,OECD
Switzerland,2004,share_of_previous_marital_status,Divorced,all,%,21.6,OECD
Switzerland,2004,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Bulgaria,2004,share_of_previous_marital_status,Single never married,all,%,87.8,OECD
Bulgaria,2004,share_of_previous_marital_status,Divorced,all,%,11.2,OECD
Bulgaria,2004,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Croatia,2004,share_of_previous_marital_status,Single never married,all,%,91.0,OECD
Croatia,2004,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Croatia,2004,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Romania,2004,share_of_previous_marital_status,Single never married,all,%,85.3,OECD
Romania,2004,share_of_previous_marital_status,Divorced,all,%,13.2,OECD
Romania,2004,share_of_previous_marital_status,Widowed,all,%,1.6,OECD
Australia,2005,share_of_previous_marital_status,Single never married,all,%,76.9,OECD
Australia,2005,share_of_previous_marital_status,Divorced,all,%,21.3,OECD
Australia,2005,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Austria,2005,share_of_previous_marital_status,Single never married,all,%,73.1,OECD
Austria,2005,share_of_previous_marital_status,Divorced,all,%,25.7,OECD
Austria,2005,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Czechia,2005,share_of_previous_marital_status,Single never married,all,%,74.2,OECD
Czechia,2005,share_of_previous_marital_status,Divorced,all,%,24.5,OECD
Czechia,2005,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Denmark,2005,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Denmark,2005,share_of_previous_marital_status,Divorced,all,%,22.2,OECD
Denmark,2005,share_of_previous_marital_status,Widowed,all,%,2.2,OECD
Finland,2005,share_of_previous_marital_status,Single never married,all,%,77.2,OECD
Finland,2005,share_of_previous_marital_status,Divorced,all,%,21.5,OECD
Finland,2005,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Greece,2005,share_of_previous_marital_status,Single never married,all,%,88.3,OECD
Greece,2005,share_of_previous_marital_status,Divorced,all,%,10.9,OECD
Greece,2005,share_of_previous_marital_status,Widowed,all,%,0.8,OECD
Hungary,2005,share_of_previous_marital_status,Single never married,all,%,78.8,OECD
Hungary,2005,share_of_previous_marital_status,Divorced,all,%,19.8,OECD
Hungary,2005,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
Lithuania,2005,share_of_previous_marital_status,Single never married,all,%,77.9,OECD
Lithuania,2005,share_of_previous_marital_status,Divorced,all,%,20.2,OECD
Lithuania,2005,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Luxembourg,2005,share_of_previous_marital_status,Single never married,all,%,74.8,OECD
Luxembourg,2005,share_of_previous_marital_status,Divorced,all,%,24.2,OECD
Luxembourg,2005,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
New Zealand,2005,share_of_previous_marital_status,Single never married,all,%,74.1,OECD
New Zealand,2005,share_of_previous_marital_status,Divorced,all,%,23.3,OECD
New Zealand,2005,share_of_previous_marital_status,Widowed,all,%,2.6,OECD
Poland,2005,share_of_previous_marital_status,Single never married,all,%,90.5,OECD
Poland,2005,share_of_previous_marital_status,Divorced,all,%,7.6,OECD
Poland,2005,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Portugal,2005,share_of_previous_marital_status,Single never married,all,%,87.2,OECD
Portugal,2005,share_of_previous_marital_status,Divorced,all,%,11.6,OECD
Portugal,2005,share_of_previous_marital_status,Widowed,all,%,1.2,OECD
Slovak Republic,2005,share_of_previous_marital_status,Single never married,all,%,87.6,OECD
Slovak Republic,2005,share_of_previous_marital_status,Divorced,all,%,11.6,OECD
Slovak Republic,2005,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Slovenia,2005,share_of_previous_marital_status,Single never married,all,%,91.7,OECD
Slovenia,2005,share_of_previous_marital_status,Divorced,all,%,7.2,OECD
Slovenia,2005,share_of_previous_marital_status,Widowed,all,%,1.0,OECD
Spain,2005,share_of_previous_marital_status,Single never married,all,%,91.2,OECD
Spain,2005,share_of_previous_marital_status,Divorced,all,%,8.1,OECD
Spain,2005,share_of_previous_marital_status,Widowed,all,%,0.7,OECD
Sweden,2005,share_of_previous_marital_status,Single never married,all,%,78.1,OECD
Sweden,2005,share_of_previous_marital_status,Divorced,all,%,21.0,OECD
Sweden,2005,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Switzerland,2005,share_of_previous_marital_status,Single never married,all,%,77.1,OECD
Switzerland,2005,share_of_previous_marital_status,Divorced,all,%,21.7,OECD
Switzerland,2005,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Bulgaria,2005,share_of_previous_marital_status,Single never married,all,%,87.4,OECD
Bulgaria,2005,share_of_previous_marital_status,Divorced,all,%,11.7,OECD
Bulgaria,2005,share_of_previous_marital_status,Widowed,all,%,0.9,OECD
Croatia,2005,share_of_previous_marital_status,Single never married,all,%,91.4,OECD
Croatia,2005,share_of_previous_marital_status,Divorced,all,%,7.3,OECD
Croatia,2005,share_of_previous_marital_status,Widowed,all,%,1.3,OECD
Romania,2005,share_of_previous_marital_status,Single never married,all,%,84.7,OECD
Romania,2005,share_of_previous_marital_status,Divorced,all,%,13.8,OECD
Romania,2005,share_of_previous_marital_status,Widowed,all,%,1.5,OECD
Australia,2006,share_of_previous_marital_status,Single never married,all,%,77.3,OECD
Australia,2006,share_of_previous_marital_status,Divorced,all,%,20.9,OECD
Australia,2006,share_of_previous_marital_status,Widowed,all,%,1.8,OECD
Austria,2006,share_of_previous_marital_status,Single never married,all,%,73.9,OECD
Austria,2006,share_of_previous_marital_status,Divorced,all,%,24.9,OECD
Austria,2006,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Czechia,2006,share_of_previous_marital_status,Single never married,all,%,74.5,OECD
Czechia,2006,share_of_previous_marital_status,Divorced,all,%,24.4,OECD
Czechia,2006,share_of_previous_marital_status,Widowed,all,%,1.1,OECD
Denmark,2006,share_of_previous_marital_status,Single never married,all,%,75.6,OECD
Denmark,2006,share_of_previous_marital_status,Divorced,all,%,22.4,OECD
Denmark,2006,share_of_previous_marital_status,Widowed,all,%,1.9,OECD
Finland,2006,share_of_previous_marital_status,Single never married,all,%,77.0,OECD
Finland,2006,share_of_previous_marital_status,Divorced,all,%,21.6,OECD
Finland,2006,share_of_previous_marital_status,Widowed,all,%,1.4,OECD
