indicatorname,year,country,code,time,variant,sex,age,estimate_method,estimatemethod,value
Currently married (Percent),2024,Algeria,DZA,1993,Median,Female,15-49,2,Interpolation,58.65
Currently married (Percent),2024,Algeria,DZA,1994,Median,Female,15-49,2,Interpolation,58.2
Currently married (Percent),2024,Algeria,DZA,1995,Median,Female,15-49,2,Interpolation,57.69
Currently married (Percent),2024,Algeria,DZA,1996,Median,Female,15-49,2,Interpolation,57.16
Currently married (Percent),2024,Algeria,DZA,1997,Median,Female,15-49,2,Interpolation,56.64
Currently married (Percent),2024,Algeria,DZA,1998,Median,Female,15-49,2,Interpolation,56.2
Currently married (Percent),2024,Algeria,DZA,1999,Median,Female,15-49,2,Interpolation,55.84
Currently married (Percent),2024,Algeria,DZA,2000,Median,Female,15-49,2,Interpolation,55.53
Currently married (Percent),2024,Algeria,DZA,2001,Median,Female,15-49,2,Interpolation,55.25
Currently married (Percent),2024,Algeria,DZA,2002,Median,Female,15-49,2,Interpolation,55.03
Currently married (Percent),2024,Algeria,DZA,2003,Median,Female,15-49,2,Interpolation,54.86
Currently married (Percent),2024,Algeria,DZA,2004,Median,Female,15-49,2,Interpolation,54.75
Currently married (Percent),2024,Algeria,DZA,2005,Median,Female,15-49,2,Interpolation,54.69
Currently married (Percent),2024,Algeria,DZA,2006,Median,Female,15-49,2,Interpolation,54.67
Currently married (Percent),2024,Algeria,DZA,2007,Median,Female,15-49,2,Interpolation,54.69
Currently married (Percent),2024,Algeria,DZA,2008,Median,Female,15-49,2,Interpolation,54.74
Currently married (Percent),2024,Algeria,DZA,2009,Median,Female,15-49,2,Interpolation,54.82
Currently married (Percent),2024,Algeria,DZA,2010,Median,Female,15-49,2,Interpolation,54.93
Currently married (Percent),2024,Algeria,DZA,2011,Median,Female,15-49,2,Interpolation,55.06
Currently married (Percent),2024,Algeria,DZA,2012,Median,Female,15-49,2,Interpolation,55.2
Currently married (Percent),2024,Algeria,DZA,2013,Median,Female,15-49,2,Interpolation,55.39
Currently married (Percent),2024,Algeria,DZA,2014,Median,Female,15-49,2,Interpolation,55.58
Currently married (Percent),2024,Algeria,DZA,2015,Median,Female,15-49,2,Interpolation,55.72
Currently married (Percent),2024,Algeria,DZA,2016,Median,Female,15-49,2,Interpolation,55.78
Currently married (Percent),2024,Algeria,DZA,2017,Median,Female,15-49,2,Interpolation,55.79
Currently married (Percent),2024,Algeria,DZA,2018,Median,Female,15-49,2,Interpolation,55.71
Currently married (Percent),2024,Algeria,DZA,2019,Median,Female,15-49,2,Interpolation,55.51
Currently married (Percent),2024,Algeria,DZA,2020,Median,Female,15-49,3,Projection,55.2
Currently married (Percent),2024,Algeria,DZA,2021,Median,Female,15-49,3,Projection,54.8
Currently married (Percent),2024,Algeria,DZA,2022,Median,Female,15-49,3,Projection,54.3
Currently married (Percent),2024,Algeria,DZA,2023,Median,Female,15-49,3,Projection,53.68
Currently married (Percent),2024,Algeria,DZA,2024,Median,Female,15-49,3,Projection,53.0
Currently married (Percent),2024,Algeria,DZA,2025,Median,Female,15-49,3,Projection,52.31
Currently married (Percent),2024,American Samoa,ASM,1970,Median,Female,15-49,2,Interpolation,58.12
Currently married (Percent),2024,American Samoa,ASM,1971,Median,Female,15-49,2,Interpolation,58.11
Currently married (Percent),2024,American Samoa,ASM,1972,Median,Female,15-49,2,Interpolation,58.18
Currently married (Percent),2024,American Samoa,ASM,1973,Median,Female,15-49,2,Interpolation,58.34
Currently married (Percent),2024,American Samoa,ASM,1974,Median,Female,15-49,2,Interpolation,58.52
Currently married (Percent),2024,American Samoa,ASM,1975,Median,Female,15-49,2,Interpolation,57.96
Currently married (Percent),2024,American Samoa,ASM,1976,Median,Female,15-49,2,Interpolation,57.21
Currently married (Percent),2024,American Samoa,ASM,1977,Median,Female,15-49,2,Interpolation,56.41
Currently married (Percent),2024,American Samoa,ASM,1978,Median,Female,15-49,2,Interpolation,55.61
Currently married (Percent),2024,American Samoa,ASM,1979,Median,Female,15-49,2,Interpolation,54.93
Currently married (Percent),2024,American Samoa,ASM,1980,Median,Female,15-49,2,Interpolation,54.45
Currently married (Percent),2024,American Samoa,ASM,1981,Median,Female,15-49,2,Interpolation,54.19
Currently married (Percent),2024,American Samoa,ASM,1982,Median,Female,15-49,2,Interpolation,54.03
Currently married (Percent),2024,American Samoa,ASM,1983,Median,Female,15-49,2,Interpolation,53.89
Currently married (Percent),2024,American Samoa,ASM,1984,Median,Female,15-49,2,Interpolation,53.76
Currently married (Percent),2024,American Samoa,ASM,1985,Median,Female,15-49,2,Interpolation,53.59
Currently married (Percent),2024,American Samoa,ASM,1986,Median,Female,15-49,2,Interpolation,53.45
Currently married (Percent),2024,American Samoa,ASM,1987,Median,Female,15-49,2,Interpolation,53.34
Currently married (Percent),2024,American Samoa,ASM,1988,Median,Female,15-49,2,Interpolation,53.22
Currently married (Percent),2024,American Samoa,ASM,1989,Median,Female,15-49,2,Interpolation,53.14
Currently married (Percent),2024,American Samoa,ASM,1990,Median,Female,15-49,2,Interpolation,53.15
Currently married (Percent),2024,American Samoa,ASM,1991,Median,Female,15-49,2,Interpolation,53.47
Currently married (Percent),2024,American Samoa,ASM,1992,Median,Female,15-49,2,Interpolation,53.79
Currently married (Percent),2024,American Samoa,ASM,1993,Median,Female,15-49,2,Interpolation,54.08
Currently married (Percent),2024,American Samoa,ASM,1994,Median,Female,15-49,2,Interpolation,54.33
Currently married (Percent),2024,American Samoa,ASM,1995,Median,Female,15-49,2,Interpolation,54.51
Currently married (Percent),2024,American Samoa,ASM,1996,Median,Female,15-49,2,Interpolation,54.61
Currently married (Percent),2024,American Samoa,ASM,1997,Median,Female,15-49,2,Interpolation,54.63
Currently married (Percent),2024,American Samoa,ASM,1998,Median,Female,15-49,2,Interpolation,54.55
Currently married (Percent),2024,American Samoa,ASM,1999,Median,Female,15-49,2,Interpolation,54.37
Currently married (Percent),2024,American Samoa,ASM,2000,Median,Female,15-49,2,Interpolation,54.11
Currently married (Percent),2024,American Samoa,ASM,2001,Median,Female,15-49,2,Interpolation,53.83
Currently married (Percent),2024,American Samoa,ASM,2002,Median,Female,15-49,2,Interpolation,53.55
Currently married (Percent),2024,American Samoa,ASM,2003,Median,Female,15-49,2,Interpolation,53.28
Currently married (Percent),2024,American Samoa,ASM,2004,Median,Female,15-49,2,Interpolation,52.98
Currently married (Percent),2024,American Samoa,ASM,2005,Median,Female,15-49,2,Interpolation,52.61
Currently married (Percent),2024,American Samoa,ASM,2006,Median,Female,15-49,2,Interpolation,52.1
Currently married (Percent),2024,American Samoa,ASM,2007,Median,Female,15-49,2,Interpolation,51.46
Currently married (Percent),2024,American Samoa,ASM,2008,Median,Female,15-49,2,Interpolation,50.69
Currently married (Percent),2024,American Samoa,ASM,2009,Median,Female,15-49,2,Interpolation,49.85
Currently married (Percent),2024,American Samoa,ASM,2010,Median,Female,15-49,2,Interpolation,49.13
Currently married (Percent),2024,American Samoa,ASM,2011,Median,Female,15-49,2,Interpolation,48.73
Currently married (Percent),2024,American Samoa,ASM,2012,Median,Female,15-49,2,Interpolation,48.57
Currently married (Percent),2024,American Samoa,ASM,2013,Median,Female,15-49,2,Interpolation,48.55
Currently married (Percent),2024,American Samoa,ASM,2014,Median,Female,15-49,2,Interpolation,48.63
Currently married (Percent),2024,American Samoa,ASM,2015,Median,Female,15-49,2,Interpolation,48.73
Currently married (Percent),2024,American Samoa,ASM,2016,Median,Female,15-49,2,Interpolation,48.76
Currently married (Percent),2024,American Samoa,ASM,2017,Median,Female,15-49,2,Interpolation,48.67
Currently married (Percent),2024,American Samoa,ASM,2018,Median,Female,15-49,2,Interpolation,48.44
Currently married (Percent),2024,American Samoa,ASM,2019,Median,Female,15-49,2,Interpolation,48.02
Currently married (Percent),2024,American Samoa,ASM,2020,Median,Female,15-49,2,Interpolation,47.43
Currently married (Percent),2024,American Samoa,ASM,2021,Median,Female,15-49,3,Projection,46.95
Currently married (Percent),2024,American Samoa,ASM,2022,Median,Female,15-49,3,Projection,46.66
Currently married (Percent),2024,American Samoa,ASM,2023,Median,Female,15-49,3,Projection,46.2
Currently married (Percent),2024,American Samoa,ASM,2024,Median,Female,15-49,3,Projection,45.46
Currently married (Percent),2024,American Samoa,ASM,2025,Median,Female,15-49,3,Projection,44.62
Currently married (Percent),2024,Angola,AGO,1970,Median,Female,15-49,2,Interpolation,76.07
Currently married (Percent),2024,Angola,AGO,1971,Median,Female,15-49,2,Interpolation,75.31
Currently married (Percent),2024,Angola,AGO,1972,Median,Female,15-49,2,Interpolation,74.53
Currently married (Percent),2024,Angola,AGO,1973,Median,Female,15-49,2,Interpolation,73.77
Currently married (Percent),2024,Angola,AGO,1974,Median,Female,15-49,2,Interpolation,73.02
Currently married (Percent),2024,Angola,AGO,1975,Median,Female,15-49,2,Interpolation,72.28
Currently married (Percent),2024,Angola,AGO,1976,Median,Female,15-49,2,Interpolation,71.56
Currently married (Percent),2024,Angola,AGO,1977,Median,Female,15-49,2,Interpolation,70.85
Currently married (Percent),2024,Angola,AGO,1978,Median,Female,15-49,2,Interpolation,70.18
Currently married (Percent),2024,Angola,AGO,1979,Median,Female,15-49,2,Interpolation,69.54
Currently married (Percent),2024,Angola,AGO,1980,Median,Female,15-49,2,Interpolation,68.92
Currently married (Percent),2024,Angola,AGO,1981,Median,Female,15-49,2,Interpolation,68.34
Currently married (Percent),2024,Angola,AGO,1982,Median,Female,15-49,2,Interpolation,67.78
Currently married (Percent),2024,Angola,AGO,1983,Median,Female,15-49,2,Interpolation,67.25
Currently married (Percent),2024,Angola,AGO,1984,Median,Female,15-49,2,Interpolation,66.73
Currently married (Percent),2024,Angola,AGO,1985,Median,Female,15-49,2,Interpolation,66.23
Currently married (Percent),2024,Angola,AGO,1986,Median,Female,15-49,2,Interpolation,65.78
Currently married (Percent),2024,Angola,AGO,1987,Median,Female,15-49,2,Interpolation,65.35
Currently married (Percent),2024,Angola,AGO,1988,Median,Female,15-49,2,Interpolation,64.94
Currently married (Percent),2024,Angola,AGO,1989,Median,Female,15-49,2,Interpolation,64.53
Currently married (Percent),2024,Angola,AGO,1990,Median,Female,15-49,2,Interpolation,64.11
Currently married (Percent),2024,Angola,AGO,1991,Median,Female,15-49,2,Interpolation,63.64
Currently married (Percent),2024,Angola,AGO,1992,Median,Female,15-49,2,Interpolation,63.15
Currently married (Percent),2024,Angola,AGO,1993,Median,Female,15-49,2,Interpolation,62.65
Currently married (Percent),2024,Angola,AGO,1994,Median,Female,15-49,2,Interpolation,62.14
Currently married (Percent),2024,Angola,AGO,1995,Median,Female,15-49,2,Interpolation,61.62
Currently married (Percent),2024,Angola,AGO,1996,Median,Female,15-49,2,Interpolation,61.08
Currently married (Percent),2024,Angola,AGO,1997,Median,Female,15-49,2,Interpolation,60.51
Currently married (Percent),2024,Angola,AGO,1998,Median,Female,15-49,2,Interpolation,59.93
Currently married (Percent),2024,Angola,AGO,1999,Median,Female,15-49,2,Interpolation,59.35
Currently married (Percent),2024,Angola,AGO,2000,Median,Female,15-49,2,Interpolation,58.75
Currently married (Percent),2024,Angola,AGO,2001,Median,Female,15-49,2,Interpolation,58.15
Currently married (Percent),2024,Angola,AGO,2002,Median,Female,15-49,2,Interpolation,58.0
Currently married (Percent),2024,Angola,AGO,2003,Median,Female,15-49,2,Interpolation,57.85
Currently married (Percent),2024,Angola,AGO,2004,Median,Female,15-49,2,Interpolation,57.72
Currently married (Percent),2024,Angola,AGO,2005,Median,Female,15-49,2,Interpolation,57.6
Currently married (Percent),2024,Angola,AGO,2006,Median,Female,15-49,2,Interpolation,57.51
Currently married (Percent),2024,Angola,AGO,2007,Median,Female,15-49,2,Interpolation,57.43
Currently married (Percent),2024,Angola,AGO,2008,Median,Female,15-49,2,Interpolation,57.37
Currently married (Percent),2024,Angola,AGO,2009,Median,Female,15-49,2,Interpolation,57.33
Currently married (Percent),2024,Angola,AGO,2010,Median,Female,15-49,2,Interpolation,57.31
Currently married (Percent),2024,Angola,AGO,2011,Median,Female,15-49,2,Interpolation,57.29
Currently married (Percent),2024,Angola,AGO,2012,Median,Female,15-49,2,Interpolation,57.28
Currently married (Percent),2024,Angola,AGO,2013,Median,Female,15-49,2,Interpolation,57.27
Currently married (Percent),2024,Angola,AGO,2014,Median,Female,15-49,2,Interpolation,57.25
Currently married (Percent),2024,Angola,AGO,2015,Median,Female,15-49,2,Interpolation,57.21
Currently married (Percent),2024,Angola,AGO,2016,Median,Female,15-49,2,Interpolation,57.16
Currently married (Percent),2024,Angola,AGO,2017,Median,Female,15-49,3,Projection,57.07
Currently married (Percent),2024,Angola,AGO,2018,Median,Female,15-49,3,Projection,56.95
Currently married (Percent),2024,Angola,AGO,2019,Median,Female,15-49,3,Projection,56.79
Currently married (Percent),2024,Angola,AGO,2020,Median,Female,15-49,3,Projection,56.61
Currently married (Percent),2024,Angola,AGO,2021,Median,Female,15-49,3,Projection,56.4
Currently married (Percent),2024,Angola,AGO,2022,Median,Female,15-49,3,Projection,56.17
Currently married (Percent),2024,Angola,AGO,2023,Median,Female,15-49,3,Projection,55.94
Currently married (Percent),2024,Angola,AGO,2024,Median,Female,15-49,3,Projection,55.68
Currently married (Percent),2024,Angola,AGO,2025,Median,Female,15-49,3,Projection,55.42
Currently married (Percent),2024,Antigua and Barbuda,ATG,1970,Median,Female,15-49,2,Interpolation,36.97
Currently married (Percent),2024,Antigua and Barbuda,ATG,1971,Median,Female,15-49,2,Interpolation,36.5
Currently married (Percent),2024,Antigua and Barbuda,ATG,1972,Median,Female,15-49,2,Interpolation,36.05
Currently married (Percent),2024,Antigua and Barbuda,ATG,1973,Median,Female,15-49,2,Interpolation,35.6
Currently married (Percent),2024,Antigua and Barbuda,ATG,1974,Median,Female,15-49,2,Interpolation,35.17
Currently married (Percent),2024,Antigua and Barbuda,ATG,1975,Median,Female,15-49,2,Interpolation,34.78
Currently married (Percent),2024,Antigua and Barbuda,ATG,1976,Median,Female,15-49,2,Interpolation,34.48
Currently married (Percent),2024,Antigua and Barbuda,ATG,1977,Median,Female,15-49,2,Interpolation,34.27
Currently married (Percent),2024,Antigua and Barbuda,ATG,1978,Median,Female,15-49,2,Interpolation,34.17
Currently married (Percent),2024,Antigua and Barbuda,ATG,1979,Median,Female,15-49,2,Interpolation,34.19
Currently married (Percent),2024,Antigua and Barbuda,ATG,1980,Median,Female,15-49,2,Interpolation,34.32
Currently married (Percent),2024,Antigua and Barbuda,ATG,1981,Median,Female,15-49,2,Interpolation,34.56
Currently married (Percent),2024,Antigua and Barbuda,ATG,1982,Median,Female,15-49,2,Interpolation,34.88
Currently married (Percent),2024,Antigua and Barbuda,ATG,1983,Median,Female,15-49,2,Interpolation,35.26
Currently married (Percent),2024,Antigua and Barbuda,ATG,1984,Median,Female,15-49,2,Interpolation,35.7
Currently married (Percent),2024,Antigua and Barbuda,ATG,1985,Median,Female,15-49,2,Interpolation,36.29
Currently married (Percent),2024,Antigua and Barbuda,ATG,1986,Median,Female,15-49,2,Interpolation,36.95
Currently married (Percent),2024,Antigua and Barbuda,ATG,1987,Median,Female,15-49,2,Interpolation,37.53
Currently married (Percent),2024,Antigua and Barbuda,ATG,1988,Median,Female,15-49,2,Interpolation,38.04
Currently married (Percent),2024,Antigua and Barbuda,ATG,1989,Median,Female,15-49,2,Interpolation,38.45
