country,year,indicator,unit,value,source
Switzerland,1961,total_fertility_rate,%,2.53,OECD
Türkiye,1961,total_fertility_rate,%,6.33,OECD
United States,1961,total_fertility_rate,%,3.62,OECD
OECD-38,1961,total_fertility_rate,%,3.33,OECD
Brazil,1961,total_fertility_rate,%,6.02,OECD
China,1961,total_fertility_rate,%,3.86,OECD
India,1961,total_fertility_rate,%,5.94,OECD
Indonesia,1961,total_fertility_rate,%,5.52,OECD
Peru,1961,total_fertility_rate,%,6.92,OECD
South Africa,1961,total_fertility_rate,%,6.08,OECD
Thailand,1961,total_fertility_rate,%,6.32,OECD
Argentina,1961,total_fertility_rate,%,3.12,OECD
Saudi Arabia,1961,total_fertility_rate,%,7.63,OECD
Bulgaria,1961,total_fertility_rate,%,2.29,OECD
Croatia,1961,total_fertility_rate,%,2.19,OECD
EU-27 average,1961,total_fertility_rate,%,2.62,OECD
Australia,1962,total_fertility_rate,%,3.43,OECD
Austria,1962,total_fertility_rate,%,2.8,OECD
Belgium,1962,total_fertility_rate,%,2.59,OECD
Canada,1962,total_fertility_rate,%,3.76,OECD
Chile,1962,total_fertility_rate,%,4.6,OECD
Colombia,1962,total_fertility_rate,%,6.66,OECD
Costa Rica,1962,total_fertility_rate,%,6.54,OECD
Czechia,1962,total_fertility_rate,%,2.14,OECD
Denmark,1962,total_fertility_rate,%,2.54,OECD
Estonia,1962,total_fertility_rate,%,1.95,OECD
Finland,1962,total_fertility_rate,%,2.66,OECD
France,1962,total_fertility_rate,%,2.8,OECD
Germany,1962,total_fertility_rate,%,2.44,OECD
Greece,1962,total_fertility_rate,%,2.16,OECD
Hungary,1962,total_fertility_rate,%,1.79,OECD
Iceland,1962,total_fertility_rate,%,3.98,OECD
Ireland,1962,total_fertility_rate,%,3.92,OECD
Italy,1962,total_fertility_rate,%,2.46,OECD
Japan,1962,total_fertility_rate,%,1.98,OECD
Korea,1962,total_fertility_rate,%,5.6,OECD
Latvia,1962,total_fertility_rate,%,1.91,OECD
Lithuania,1962,total_fertility_rate,%,2.4,OECD
Luxembourg,1962,total_fertility_rate,%,2.35,OECD
Mexico,1962,total_fertility_rate,%,6.76,OECD
Netherlands,1962,total_fertility_rate,%,3.18,OECD
New Zealand,1962,total_fertility_rate,%,4.19,OECD
Norway,1962,total_fertility_rate,%,2.91,OECD
Poland,1962,total_fertility_rate,%,2.72,OECD
Portugal,1962,total_fertility_rate,%,3.21,OECD
Slovak Republic,1962,total_fertility_rate,%,2.83,OECD
Slovenia,1962,total_fertility_rate,%,2.27,OECD
Spain,1962,total_fertility_rate,%,2.8,OECD
Sweden,1962,total_fertility_rate,%,2.26,OECD
Switzerland,1962,total_fertility_rate,%,2.6,OECD
Türkiye,1962,total_fertility_rate,%,6.26,OECD
United States,1962,total_fertility_rate,%,3.46,OECD
OECD-38,1962,total_fertility_rate,%,3.3,OECD
Brazil,1962,total_fertility_rate,%,5.98,OECD
China,1962,total_fertility_rate,%,6.09,OECD
India,1962,total_fertility_rate,%,5.95,OECD
Indonesia,1962,total_fertility_rate,%,5.53,OECD
Peru,1962,total_fertility_rate,%,6.9,OECD
South Africa,1962,total_fertility_rate,%,6.05,OECD
Thailand,1962,total_fertility_rate,%,6.33,OECD
Argentina,1962,total_fertility_rate,%,3.13,OECD
Saudi Arabia,1962,total_fertility_rate,%,7.64,OECD
Bulgaria,1962,total_fertility_rate,%,2.24,OECD
Croatia,1962,total_fertility_rate,%,2.17,OECD
EU-27 average,1962,total_fertility_rate,%,2.61,OECD
Australia,1963,total_fertility_rate,%,3.34,OECD
Austria,1963,total_fertility_rate,%,2.82,OECD
Belgium,1963,total_fertility_rate,%,2.68,OECD
Canada,1963,total_fertility_rate,%,3.67,OECD
Chile,1963,total_fertility_rate,%,4.54,OECD
Colombia,1963,total_fertility_rate,%,6.58,OECD
Costa Rica,1963,total_fertility_rate,%,6.39,OECD
Czechia,1963,total_fertility_rate,%,2.33,OECD
Denmark,1963,total_fertility_rate,%,2.64,OECD
Estonia,1963,total_fertility_rate,%,1.89,OECD
Finland,1963,total_fertility_rate,%,2.66,OECD
France,1963,total_fertility_rate,%,2.9,OECD
Germany,1963,total_fertility_rate,%,2.51,OECD
Greece,1963,total_fertility_rate,%,2.14,OECD
Hungary,1963,total_fertility_rate,%,1.82,OECD
Iceland,1963,total_fertility_rate,%,3.98,OECD
Ireland,1963,total_fertility_rate,%,4.01,OECD
Italy,1963,total_fertility_rate,%,2.56,OECD
Japan,1963,total_fertility_rate,%,2.0,OECD
Korea,1963,total_fertility_rate,%,5.4,OECD
Latvia,1963,total_fertility_rate,%,1.85,OECD
Lithuania,1963,total_fertility_rate,%,2.4,OECD
Luxembourg,1963,total_fertility_rate,%,2.33,OECD
Mexico,1963,total_fertility_rate,%,6.75,OECD
Netherlands,1963,total_fertility_rate,%,3.19,OECD
New Zealand,1963,total_fertility_rate,%,4.05,OECD
Norway,1963,total_fertility_rate,%,2.93,OECD
Poland,1963,total_fertility_rate,%,2.7,OECD
Portugal,1963,total_fertility_rate,%,3.11,OECD
Slovak Republic,1963,total_fertility_rate,%,2.93,OECD
Slovenia,1963,total_fertility_rate,%,2.28,OECD
Spain,1963,total_fertility_rate,%,2.88,OECD
Sweden,1963,total_fertility_rate,%,2.34,OECD
Switzerland,1963,total_fertility_rate,%,2.67,OECD
Türkiye,1963,total_fertility_rate,%,6.19,OECD
United States,1963,total_fertility_rate,%,3.32,OECD
OECD-38,1963,total_fertility_rate,%,3.3,OECD
Brazil,1963,total_fertility_rate,%,5.93,OECD
China,1963,total_fertility_rate,%,7.51,OECD
India,1963,total_fertility_rate,%,5.97,OECD
Indonesia,1963,total_fertility_rate,%,5.55,OECD
Peru,1963,total_fertility_rate,%,6.86,OECD
South Africa,1963,total_fertility_rate,%,6.01,OECD
Thailand,1963,total_fertility_rate,%,6.34,OECD
Argentina,1963,total_fertility_rate,%,3.11,OECD
Saudi Arabia,1963,total_fertility_rate,%,7.65,OECD
Bulgaria,1963,total_fertility_rate,%,2.21,OECD
Croatia,1963,total_fertility_rate,%,2.12,OECD
EU-27 average,1963,total_fertility_rate,%,2.65,OECD
Australia,1964,total_fertility_rate,%,3.15,OECD
Austria,1964,total_fertility_rate,%,2.79,OECD
Belgium,1964,total_fertility_rate,%,2.71,OECD
Canada,1964,total_fertility_rate,%,3.5,OECD
Chile,1964,total_fertility_rate,%,4.46,OECD
Colombia,1964,total_fertility_rate,%,6.48,OECD
Costa Rica,1964,total_fertility_rate,%,6.19,OECD
Czechia,1964,total_fertility_rate,%,2.36,OECD
Denmark,1964,total_fertility_rate,%,2.6,OECD
Estonia,1964,total_fertility_rate,%,1.94,OECD
Finland,1964,total_fertility_rate,%,2.58,OECD
France,1964,total_fertility_rate,%,2.91,OECD
Germany,1964,total_fertility_rate,%,2.53,OECD
Greece,1964,total_fertility_rate,%,2.24,OECD
Hungary,1964,total_fertility_rate,%,1.8,OECD
Iceland,1964,total_fertility_rate,%,3.86,OECD
Ireland,1964,total_fertility_rate,%,4.06,OECD
Italy,1964,total_fertility_rate,%,2.7,OECD
Japan,1964,total_fertility_rate,%,2.05,OECD
Korea,1964,total_fertility_rate,%,5.2,OECD
Latvia,1964,total_fertility_rate,%,1.79,OECD
Lithuania,1964,total_fertility_rate,%,2.4,OECD
Luxembourg,1964,total_fertility_rate,%,2.38,OECD
Mexico,1964,total_fertility_rate,%,6.75,OECD
Netherlands,1964,total_fertility_rate,%,3.17,OECD
New Zealand,1964,total_fertility_rate,%,3.8,OECD
Norway,1964,total_fertility_rate,%,2.98,OECD
Poland,1964,total_fertility_rate,%,2.57,OECD
Portugal,1964,total_fertility_rate,%,3.21,OECD
Slovak Republic,1964,total_fertility_rate,%,2.91,OECD
Slovenia,1964,total_fertility_rate,%,2.32,OECD
Spain,1964,total_fertility_rate,%,3.01,OECD
Sweden,1964,total_fertility_rate,%,2.48,OECD
Switzerland,1964,total_fertility_rate,%,2.68,OECD
Türkiye,1964,total_fertility_rate,%,6.01,OECD
United States,1964,total_fertility_rate,%,3.19,OECD
OECD-38,1964,total_fertility_rate,%,3.28,OECD
Brazil,1964,total_fertility_rate,%,5.82,OECD
China,1964,total_fertility_rate,%,6.67,OECD
India,1964,total_fertility_rate,%,5.98,OECD
Indonesia,1964,total_fertility_rate,%,5.57,OECD
Peru,1964,total_fertility_rate,%,6.81,OECD
South Africa,1964,total_fertility_rate,%,5.96,OECD
Thailand,1964,total_fertility_rate,%,6.31,OECD
Argentina,1964,total_fertility_rate,%,3.08,OECD
Saudi Arabia,1964,total_fertility_rate,%,7.67,OECD
Bulgaria,1964,total_fertility_rate,%,2.19,OECD
Croatia,1964,total_fertility_rate,%,2.12,OECD
EU-27 average,1964,total_fertility_rate,%,2.67,OECD
Australia,1965,total_fertility_rate,%,2.97,OECD
Austria,1965,total_fertility_rate,%,2.7,OECD
Belgium,1965,total_fertility_rate,%,2.61,OECD
Canada,1965,total_fertility_rate,%,3.15,OECD
Chile,1965,total_fertility_rate,%,4.36,OECD
Colombia,1965,total_fertility_rate,%,6.33,OECD
Costa Rica,1965,total_fertility_rate,%,5.96,OECD
Czechia,1965,total_fertility_rate,%,2.18,OECD
Denmark,1965,total_fertility_rate,%,2.61,OECD
Estonia,1965,total_fertility_rate,%,1.88,OECD
Finland,1965,total_fertility_rate,%,2.46,OECD
France,1965,total_fertility_rate,%,2.85,OECD
Germany,1965,total_fertility_rate,%,2.5,OECD
Greece,1965,total_fertility_rate,%,2.25,OECD
Hungary,1965,total_fertility_rate,%,1.81,OECD
Iceland,1965,total_fertility_rate,%,3.71,OECD
Ireland,1965,total_fertility_rate,%,4.03,OECD
Italy,1965,total_fertility_rate,%,2.67,OECD
Japan,1965,total_fertility_rate,%,2.14,OECD
Korea,1965,total_fertility_rate,%,5.0,OECD
Latvia,1965,total_fertility_rate,%,1.74,OECD
Lithuania,1965,total_fertility_rate,%,2.4,OECD
Luxembourg,1965,total_fertility_rate,%,2.42,OECD
Mexico,1965,total_fertility_rate,%,6.76,OECD
Netherlands,1965,total_fertility_rate,%,3.04,OECD
New Zealand,1965,total_fertility_rate,%,3.54,OECD
Norway,1965,total_fertility_rate,%,2.94,OECD
Poland,1965,total_fertility_rate,%,2.52,OECD
Portugal,1965,total_fertility_rate,%,3.14,OECD
Slovak Republic,1965,total_fertility_rate,%,2.8,OECD
Slovenia,1965,total_fertility_rate,%,2.45,OECD
Spain,1965,total_fertility_rate,%,2.94,OECD
Sweden,1965,total_fertility_rate,%,2.42,OECD
Switzerland,1965,total_fertility_rate,%,2.61,OECD
Türkiye,1965,total_fertility_rate,%,5.84,OECD
United States,1965,total_fertility_rate,%,2.91,OECD
OECD-38,1965,total_fertility_rate,%,3.2,OECD
Brazil,1965,total_fertility_rate,%,5.68,OECD
China,1965,total_fertility_rate,%,6.61,OECD
India,1965,total_fertility_rate,%,5.94,OECD
Indonesia,1965,total_fertility_rate,%,5.59,OECD
Peru,1965,total_fertility_rate,%,6.75,OECD
South Africa,1965,total_fertility_rate,%,5.89,OECD
Thailand,1965,total_fertility_rate,%,6.26,OECD
Argentina,1965,total_fertility_rate,%,3.01,OECD
Saudi Arabia,1965,total_fertility_rate,%,7.66,OECD
Bulgaria,1965,total_fertility_rate,%,2.09,OECD
Croatia,1965,total_fertility_rate,%,2.21,OECD
EU-27 average,1965,total_fertility_rate,%,2.62,OECD
Australia,1966,total_fertility_rate,%,2.89,OECD
Austria,1966,total_fertility_rate,%,2.66,OECD
Belgium,1966,total_fertility_rate,%,2.52,OECD
Canada,1966,total_fertility_rate,%,2.81,OECD
Chile,1966,total_fertility_rate,%,4.26,OECD
Colombia,1966,total_fertility_rate,%,6.16,OECD
Costa Rica,1966,total_fertility_rate,%,5.7,OECD
Czechia,1966,total_fertility_rate,%,2.01,OECD
Denmark,1966,total_fertility_rate,%,2.62,OECD
Estonia,1966,total_fertility_rate,%,1.87,OECD
Finland,1966,total_fertility_rate,%,2.41,OECD
France,1966,total_fertility_rate,%,2.8,OECD
Germany,1966,total_fertility_rate,%,2.51,OECD
Greece,1966,total_fertility_rate,%,2.32,OECD
Hungary,1966,total_fertility_rate,%,1.88,OECD
Iceland,1966,total_fertility_rate,%,3.58,OECD
Ireland,1966,total_fertility_rate,%,3.95,OECD
Italy,1966,total_fertility_rate,%,2.63,OECD
Japan,1966,total_fertility_rate,%,1.58,OECD
Korea,1966,total_fertility_rate,%,4.8,OECD
Latvia,1966,total_fertility_rate,%,1.76,OECD
Lithuania,1966,total_fertility_rate,%,2.4,OECD
Luxembourg,1966,total_fertility_rate,%,2.37,OECD
Mexico,1966,total_fertility_rate,%,6.77,OECD
Netherlands,1966,total_fertility_rate,%,2.9,OECD
New Zealand,1966,total_fertility_rate,%,3.41,OECD
Norway,1966,total_fertility_rate,%,2.9,OECD
Poland,1966,total_fertility_rate,%,2.34,OECD
Portugal,1966,total_fertility_rate,%,3.12,OECD
Slovak Republic,1966,total_fertility_rate,%,2.67,OECD
Slovenia,1966,total_fertility_rate,%,2.48,OECD
Spain,1966,total_fertility_rate,%,2.99,OECD
Sweden,1966,total_fertility_rate,%,2.36,OECD
Switzerland,1966,total_fertility_rate,%,2.52,OECD
Türkiye,1966,total_fertility_rate,%,5.66,OECD
United States,1966,total_fertility_rate,%,2.72,OECD
OECD-38,1966,total_fertility_rate,%,3.1,OECD
Brazil,1966,total_fertility_rate,%,5.52,OECD
China,1966,total_fertility_rate,%,6.31,OECD
India,1966,total_fertility_rate,%,5.88,OECD
Indonesia,1966,total_fertility_rate,%,5.59,OECD
Peru,1966,total_fertility_rate,%,6.68,OECD
South Africa,1966,total_fertility_rate,%,5.91,OECD
Thailand,1966,total_fertility_rate,%,6.18,OECD
Argentina,1966,total_fertility_rate,%,2.97,OECD
Saudi Arabia,1966,total_fertility_rate,%,7.66,OECD
Bulgaria,1966,total_fertility_rate,%,2.03,OECD
Croatia,1966,total_fertility_rate,%,2.21,OECD
EU-27 average,1966,total_fertility_rate,%,2.58,OECD
Australia,1967,total_fertility_rate,%,2.85,OECD
Austria,1967,total_fertility_rate,%,2.62,OECD
Belgium,1967,total_fertility_rate,%,2.41,OECD
Canada,1967,total_fertility_rate,%,2.6,OECD
Chile,1967,total_fertility_rate,%,4.14,OECD
Colombia,1967,total_fertility_rate,%,5.96,OECD
Costa Rica,1967,total_fertility_rate,%,5.42,OECD
Czechia,1967,total_fertility_rate,%,1.9,OECD
Denmark,1967,total_fertility_rate,%,2.35,OECD
Estonia,1967,total_fertility_rate,%,1.9,OECD
Finland,1967,total_fertility_rate,%,2.32,OECD
France,1967,total_fertility_rate,%,2.67,OECD
Germany,1967,total_fertility_rate,%,2.45,OECD
Greece,1967,total_fertility_rate,%,2.45,OECD
Hungary,1967,total_fertility_rate,%,2.01,OECD
Iceland,1967,total_fertility_rate,%,3.28,OECD
Ireland,1967,total_fertility_rate,%,3.84,OECD
Italy,1967,total_fertility_rate,%,2.54,OECD
Japan,1967,total_fertility_rate,%,2.23,OECD
Korea,1967,total_fertility_rate,%,4.66,OECD
Latvia,1967,total_fertility_rate,%,1.8,OECD
Lithuania,1967,total_fertility_rate,%,2.4,OECD
Luxembourg,1967,total_fertility_rate,%,2.25,OECD
Mexico,1967,total_fertility_rate,%,6.79,OECD
Netherlands,1967,total_fertility_rate,%,2.81,OECD
New Zealand,1967,total_fertility_rate,%,3.35,OECD
Norway,1967,total_fertility_rate,%,2.81,OECD
Poland,1967,total_fertility_rate,%,2.33,OECD
Portugal,1967,total_fertility_rate,%,3.08,OECD
Slovak Republic,1967,total_fertility_rate,%,2.49,OECD
Slovenia,1967,total_fertility_rate,%,2.38,OECD
Spain,1967,total_fertility_rate,%,3.03,OECD
Sweden,1967,total_fertility_rate,%,2.27,OECD
Switzerland,1967,total_fertility_rate,%,2.41,OECD
Türkiye,1967,total_fertility_rate,%,5.49,OECD
United States,1967,total_fertility_rate,%,2.56,OECD
OECD-38,1967,total_fertility_rate,%,3.03,OECD
Brazil,1967,total_fertility_rate,%,5.34,OECD
China,1967,total_fertility_rate,%,5.81,OECD
India,1967,total_fertility_rate,%,5.83,OECD
Indonesia,1967,total_fertility_rate,%,5.58,OECD
Peru,1967,total_fertility_rate,%,6.6,OECD
South Africa,1967,total_fertility_rate,%,5.85,OECD
Thailand,1967,total_fertility_rate,%,6.08,OECD
Argentina,1967,total_fertility_rate,%,2.98,OECD
Saudi Arabia,1967,total_fertility_rate,%,7.66,OECD
Bulgaria,1967,total_fertility_rate,%,2.02,OECD
Croatia,1967,total_fertility_rate,%,2.07,OECD
EU-27 average,1967,total_fertility_rate,%,2.53,OECD
Australia,1968,total_fertility_rate,%,2.89,OECD
Austria,1968,total_fertility_rate,%,2.58,OECD
Belgium,1968,total_fertility_rate,%,2.31,OECD
Canada,1968,total_fertility_rate,%,2.45,OECD
Chile,1968,total_fertility_rate,%,4.03,OECD
Colombia,1968,total_fertility_rate,%,5.74,OECD
Costa Rica,1968,total_fertility_rate,%,5.03,OECD
Czechia,1968,total_fertility_rate,%,1.83,OECD
Denmark,1968,total_fertility_rate,%,2.12,OECD
Estonia,1968,total_fertility_rate,%,2.03,OECD
Finland,1968,total_fertility_rate,%,2.15,OECD
France,1968,total_fertility_rate,%,2.59,OECD
Germany,1968,total_fertility_rate,%,2.36,OECD
Greece,1968,total_fertility_rate,%,2.42,OECD
Hungary,1968,total_fertility_rate,%,2.06,OECD
Iceland,1968,total_fertility_rate,%,3.07,OECD
Ireland,1968,total_fertility_rate,%,3.78,OECD
Italy,1968,total_fertility_rate,%,2.49,OECD
Japan,1968,total_fertility_rate,%,2.13,OECD
Korea,1968,total_fertility_rate,%,4.52,OECD
Latvia,1968,total_fertility_rate,%,1.83,OECD
Lithuania,1968,total_fertility_rate,%,2.4,OECD
Luxembourg,1968,total_fertility_rate,%,2.13,OECD
Mexico,1968,total_fertility_rate,%,6.81,OECD
Netherlands,1968,total_fertility_rate,%,2.72,OECD
New Zealand,1968,total_fertility_rate,%,3.34,OECD
Norway,1968,total_fertility_rate,%,2.75,OECD
Poland,1968,total_fertility_rate,%,2.24,OECD
Portugal,1968,total_fertility_rate,%,3.0,OECD
Slovak Republic,1968,total_fertility_rate,%,2.4,OECD
Slovenia,1968,total_fertility_rate,%,2.28,OECD
Spain,1968,total_fertility_rate,%,2.96,OECD
Sweden,1968,total_fertility_rate,%,2.07,OECD
Switzerland,1968,total_fertility_rate,%,2.3,OECD
Türkiye,1968,total_fertility_rate,%,5.31,OECD
United States,1968,total_fertility_rate,%,2.46,OECD
OECD-38,1968,total_fertility_rate,%,2.95,OECD
Brazil,1968,total_fertility_rate,%,5.17,OECD
China,1968,total_fertility_rate,%,6.51,OECD
India,1968,total_fertility_rate,%,5.76,OECD
Indonesia,1968,total_fertility_rate,%,5.57,OECD
Peru,1968,total_fertility_rate,%,6.51,OECD
South Africa,1968,total_fertility_rate,%,5.78,OECD
Thailand,1968,total_fertility_rate,%,5.93,OECD
Argentina,1968,total_fertility_rate,%,3.01,OECD
Saudi Arabia,1968,total_fertility_rate,%,7.63,OECD
Bulgaria,1968,total_fertility_rate,%,2.27,OECD
Croatia,1968,total_fertility_rate,%,1.99,OECD
EU-27 average,1968,total_fertility_rate,%,2.45,OECD
Australia,1969,total_fertility_rate,%,2.89,OECD
Austria,1969,total_fertility_rate,%,2.49,OECD
Belgium,1969,total_fertility_rate,%,2.27,OECD
Canada,1969,total_fertility_rate,%,2.41,OECD
Chile,1969,total_fertility_rate,%,3.9,OECD
Colombia,1969,total_fertility_rate,%,5.51,OECD
Costa Rica,1969,total_fertility_rate,%,4.84,OECD
Czechia,1969,total_fertility_rate,%,1.86,OECD
Denmark,1969,total_fertility_rate,%,2.0,OECD
Estonia,1969,total_fertility_rate,%,2.13,OECD
Finland,1969,total_fertility_rate,%,1.94,OECD
France,1969,total_fertility_rate,%,2.53,OECD
Germany,1969,total_fertility_rate,%,2.21,OECD
Greece,1969,total_fertility_rate,%,2.36,OECD
Hungary,1969,total_fertility_rate,%,2.04,OECD
Iceland,1969,total_fertility_rate,%,2.99,OECD
Ireland,1969,total_fertility_rate,%,3.85,OECD
Italy,1969,total_fertility_rate,%,2.51,OECD
Japan,1969,total_fertility_rate,%,2.13,OECD
Korea,1969,total_fertility_rate,%,4.53,OECD
Latvia,1969,total_fertility_rate,%,1.88,OECD
Lithuania,1969,total_fertility_rate,%,2.4,OECD
Luxembourg,1969,total_fertility_rate,%,2.02,OECD
Mexico,1969,total_fertility_rate,%,6.83,OECD
Netherlands,1969,total_fertility_rate,%,2.75,OECD
New Zealand,1969,total_fertility_rate,%,3.28,OECD
Norway,1969,total_fertility_rate,%,2.69,OECD
Poland,1969,total_fertility_rate,%,2.2,OECD
Portugal,1969,total_fertility_rate,%,2.95,OECD
Slovak Republic,1969,total_fertility_rate,%,2.43,OECD
Slovenia,1969,total_fertility_rate,%,2.17,OECD
Spain,1969,total_fertility_rate,%,2.93,OECD
Sweden,1969,total_fertility_rate,%,1.93,OECD
Switzerland,1969,total_fertility_rate,%,2.19,OECD
Türkiye,1969,total_fertility_rate,%,5.18,OECD
United States,1969,total_fertility_rate,%,2.46,OECD
OECD-38,1969,total_fertility_rate,%,2.89,OECD
Brazil,1969,total_fertility_rate,%,5.04,OECD
China,1969,total_fertility_rate,%,6.18,OECD
India,1969,total_fertility_rate,%,5.68,OECD
Indonesia,1969,total_fertility_rate,%,5.55,OECD
Peru,1969,total_fertility_rate,%,6.42,OECD
South Africa,1969,total_fertility_rate,%,5.72,OECD
Thailand,1969,total_fertility_rate,%,5.7,OECD
Argentina,1969,total_fertility_rate,%,3.05,OECD
Saudi Arabia,1969,total_fertility_rate,%,7.6,OECD
Bulgaria,1969,total_fertility_rate,%,2.27,OECD
Croatia,1969,total_fertility_rate,%,1.91,OECD
EU-27 average,1969,total_fertility_rate,%,2.41,OECD
Australia,1970,total_fertility_rate,%,2.86,OECD
Austria,1970,total_fertility_rate,%,2.29,OECD
Belgium,1970,total_fertility_rate,%,2.25,OECD
Canada,1970,total_fertility_rate,%,2.33,OECD
Chile,1970,total_fertility_rate,%,3.78,OECD
Colombia,1970,total_fertility_rate,%,5.28,OECD
Costa Rica,1970,total_fertility_rate,%,4.59,OECD
Czechia,1970,total_fertility_rate,%,1.91,OECD
Denmark,1970,total_fertility_rate,%,1.95,OECD
Estonia,1970,total_fertility_rate,%,2.17,OECD
Finland,1970,total_fertility_rate,%,1.83,OECD
France,1970,total_fertility_rate,%,2.48,OECD
Germany,1970,total_fertility_rate,%,2.03,OECD
Greece,1970,total_fertility_rate,%,2.4,OECD
Hungary,1970,total_fertility_rate,%,1.97,OECD
Iceland,1970,total_fertility_rate,%,2.81,OECD
Ireland,1970,total_fertility_rate,%,3.87,OECD
Italy,1970,total_fertility_rate,%,2.43,OECD
Japan,1970,total_fertility_rate,%,2.13,OECD
Korea,1970,total_fertility_rate,%,4.53,OECD
Latvia,1970,total_fertility_rate,%,2.02,OECD
Lithuania,1970,total_fertility_rate,%,2.4,OECD
Luxembourg,1970,total_fertility_rate,%,1.98,OECD
Mexico,1970,total_fertility_rate,%,6.83,OECD
Netherlands,1970,total_fertility_rate,%,2.57,OECD
New Zealand,1970,total_fertility_rate,%,3.17,OECD
Norway,1970,total_fertility_rate,%,2.5,OECD
Poland,1970,total_fertility_rate,%,2.2,OECD
